HJD	Epoch	O-C	O-Cerr	Source
2411335.189	-3816	0.1481	0.4415	Harvard
2412080.577	-3751	-0.4178	0.1236	Harvard
2412668.261	-3699	-0.4543	0.2806	Harvard
2414578.296	-3530	-0.5127	0.0509	Harvard
2415075.446	-3486	-0.6652	0.0791	Harvard
2415652.012	-3435	-0.5188	0.0455	Harvard
2416149.133	-3391	-0.6993	0.048	Harvard
2416736.873	-3339	-0.6813	0.0417	Harvard
2417234.115	-3295	-0.7411	0.0529	Harvard
2417866.973	-3239	-0.8135	0.0748	Harvard
2418364.405	-3195	-0.6839	0.0446	Harvard
2418963.219	-3142	-0.8934	0.0492	Harvard
2419460.565	-3098	-0.8497	0.0374	Harvard
2420014.323	-3049	-0.9059	0.0431	Harvard
2420511.655	-3005	-0.8765	0.0447	Harvard
2420726.34	-2986	-0.9354	0.08	Szabados1981 Arch.
2421133.335	-2950	-0.8246	0.0604	Harvard
2421630.418	-2906	-1.0436	0.0379	Harvard
2422206.85	-2855	-1.0308	0.0429	Harvard
2422704.065	-2811	-1.1177	0.0476	Harvard
2423325.938	-2756	-0.8731	0.0454	Harvard
2423823.116	-2712	-0.9974	0.0679	Harvard
2424388.097	-2662	-1.1326	0.0633	Harvard
2424885.619	-2618	-0.9131	0.0637	Harvard
2425133.785	-2596	-1.3983	0.04	Szabados1981 Arch.
2425348.97	-2577	-0.9576	0.04	Szabados1981 Arch.
2425495.744	-2564	-1.1136	0.0326	Harvard
2425993.065	-2520	-1.0955	0.0213	Harvard
2426015.515	-2518	-1.2499	0.04	Szabados1981 Arch.
2426592.119	-2467	-1.0651	0.022	Harvard
2427055.602	-2426	-0.9771	0.04	Szabados1981 Arch.
2427089.442	-2423	-1.0441	0.0434	Harvard
2427688.461	-2370	-1.0486	0.0435	Harvard
2428061.251	-2337	-1.2353	0.04	Szabados1981 Arch.
2428185.699	-2326	-1.113	0.0321	Harvard
2428683.197	-2282	-0.9173	0.04	Szabados1981 Arch.
2428784.583	-2273	-1.2527	0.0405	Harvard
2428953.877	-2258	-1.4932	0.04	Szabados1981 Arch.
2429157.579	-2240	-1.2331	0.04	Szabados1981 Arch.
2429281.954	-2229	-1.1842	0.0277	Harvard
2429439.991	-2215	-1.3793	0.04	Szabados1981 Arch.
2429530.5	-2207	-1.2889	0.04	Szabados1981 Arch.
2429869.649	-2177	-1.2095	0.0373	Harvard
2430118.358	-2155	-1.152	0.04	Szabados1981 Arch.
2430367.016	-2133	-1.1451	0.0408	Harvard
2430785.592	-2096	-0.7553	0.04	Szabados1981 Arch.
2430988.627	-2078	-1.1625	0.0374	Harvard
2431135.468	-2065	-1.2515	0.04	Szabados1981 Arch.
2431485.847	-2034	-1.2448	0.0482	Harvard
2432051.082	-1984	-1.1265	0.0536	Harvard
2432446.439	-1949	-1.3505	0.04	Szabados1981 Arch.
2432548.333	-1940	-1.1778	0.1023	Harvard
2433135.875	-1888	-1.3567	0.0511	Harvard
2433543.332	-1852	-0.7834	0.04	Szabados1981 Arch.
2433633.403	-1844	-1.1309	0.0449	Harvard
2433972.437	-1814	-1.1668	0.04	Szabados1981 Arch.
2434029.05	-1809	-1.0655	0.04	Szabados1981 Arch.
2434277.713	-1787	-1.0542	0.1107	Harvard
2434537.701	-1764	-1.0192	0.04	Szabados1981 Arch.
2434774.969	-1743	-1.0998	0.0885	Harvard
2436504.096	-1590	-1.2293	0.04	Szabados1981 Arch.
2436809.632	-1563	-0.8566	0.0118	Mitchell1964
2436831.705	-1561	-1.3878	0.02	Szabados1981 Arch.
2437566.83	-1496	-0.9141	0.08	Szabados1981 Arch.
2437589.451	-1494	-0.8982	0.0269	Mitchell1964
2437634.342	-1490	-1.2161	0.02	Szabados1981 Arch.
2438436.673	-1419	-1.3504	0.04	Szabados1981 Arch.
2439250.725	-1347	-1.066	0.02	Szabados1981 Arch.
2439499.258	-1325	-1.1849	0.0595	Harvard
2440561.382	-1231	-1.4794	0.3172	Harvard
2441692.208	-1131	-0.8864	0.3603	Harvard
2442336.183	-1074	-1.1434	0.0665	Harvard
2442833.652	-1030	-0.9771	0.2115	Harvard
2443455.591	-975	-0.6659	0.068	Szabados1980
2443737.679	-950	-1.1362	0.02	Szabados1981 Arch.
2443929.803	-933	-1.1516	0.0722	Harvard
2444213.067	-908	-0.4457	0.0473	Moffett1984
2444574.091	-876	-1.0968	0.1944	Harvard
2444902.359	-847	-0.5959	0.0196	Moffett1984
2445071.579	-832	-0.9109	0.1299	Harvard
2445579.952	-787	-1.1429	0.0815	Harvard
2445659.446	-780	-0.7651	0.0214	Berdnikov2008
2446077.336	-743	-1.0609	0.0826	Harvard
2446676.319	-690	-1.1015	0.074	Harvard
2447173.757	-646	-0.9658	0.0626	Harvard
2447400.039	-626	-0.731	0.0138	Berdnikov2008
2447965.207	-576	-0.6788	0.029	Hipp
2448485.364	-530	-0.4292	0.0117	Hipp
2448496.449	-529	-0.6466	0.0189	Berdnikov2008
2449999.811	-396	-0.4945	0.0153	Berdnikov2008
2452622.28	-164	-0.1656	0.0116	ASAS
2453266.512	-107	-0.1663	0.0197	ASAS
2453763.965	-63	-0.0149	0.0452	ASAS
2453831.786	-57	-0.0088	0.0056	SWASP
2454035.166	-39	-0.0699	0.0076	Kelt-e
2454035.277	-38	0.0405	0.036	Kelt-w
2454374.297	-9	-0.009	0.0068	ASAS
2454577.79	9	0.0415	0.0195	Kelt-w
2454724.802	22	0.1233	0.0131	Kelt-e
2454871.555	34	-0.0534	0.0575	ASAS
2455516.04	92	0.1989	0.0261	KWS
2456205.51	153	0.2265	0.0105	KWS
2456635.141	191	0.3692	0.02	Berdnikov2015
2456702.832	197	0.2462	0.0078	KWS
2457087.111	231	0.2458	0.0096	ASASSN-V
2457290.617	249	0.3107	0.0109	KWS
2457607.131	277	0.3594	0.0077	ASASSN-V
2457787.942	293	0.3326	0.0078	KWS
2458104.579	321	0.5043	0.0125	ASASSN-V
2458217.623	331	0.5255	0.0109	ASASSN-g
2458398.281	347	0.3465	0.0093	KWS
2458726.071	376	0.3683	0.0113	ASASSN-g
2458805.503	383	0.6846	0.0848	Piszkes
2458895.627	391	0.3898	0.0237	KWS
