HJD	Epoch	O-C	O-Cerr	Source
2419989.478	-1783	1.1606	0.1923	Harvard
2424651.834	-1511	0.9596	0.0668	Harvard
2425766.303	-1446	1.214	0.213	Harvard
2426228.667	-1419	0.751	0.2895	Harvard
2426811.598	-1385	0.8623	0.0783	Harvard
2427291.563	-1357	0.858	0.1025	Harvard
2427925.491	-1320	0.5409	0.2945	Harvard
2428371.468	-1294	0.8326	0.1375	Harvard
2429022.769	-1256	0.7473	0.1226	Harvard
2429468.463	-1230	0.7558	0.0911	Harvard
2430119.971	-1192	0.877	0.1035	Harvard
2431165.542	-1131	0.8004	0.1303	Harvard
2431611.067	-1105	0.6399	0.3176	Harvard
2432056.77	-1079	0.6577	0.0763	Harvard
2432673.652	-1043	0.4362	0.1003	Harvard
2432742.712	-1039	0.9294	0.0647	Kurochkin1954
2433119.675	-1017	0.7732	0.2057	Harvard
2433188.011	-1013	0.5428	0.142	Kurochkin1954
2442272.373	-484	-0.2256	1.401	Harvard
2444826.73	-334	0.0094	0.0212	Berdnikov2008
2444843.815	-333	-0.0468	0.3319	Harvard
2445632.295	-288	-0.0873	0.0223	Berdnikov2008
2446232.052	-253	-0.2917	0.4387	Harvard
2447397.968	-185	-0.015	0.0172	Berdnikov2008
2450569.202	0	-0.0063	0.0225	Berdnikov2008
2451237.702	38	-0.0349	0.026	Berdnikov2008
2451272.141	41	0.1211	0.0151	NSVS
2451957.328	80	-0.3623	0.0868	ASAS
2452351.913	103	-0.0376	0.0534	Berdnikov2008
2452437.545	108	-0.1147	0.0264	ASAS
2452712.146	125	0.219	0.014	IOMC
2452883.477	135	0.1326	0.0231	ASAS
2453072.042	146	0.1377	0.0651	Berdnikov2008
2453277.679	158	0.0737	0.0314	IOMC
2453414.939	166	0.2	0.0191	ASAS
2453860.79	192	0.3651	0.0288	ASAS
2454306.449	218	0.3388	0.0415	ASAS
2456054.551	319	-0.0183	0.0717	KWS
2456500.317	346	0.0616	0.1061	KWS
2456757.354	360	-0.0274	0.0457	Berdnikov2015
2456945.648	371	-0.293	0.0894	KWS
2457048.785	377	-0.0063	0.0099	ASASSN-V
2457494.372	403	-0.1046	0.0799	KWS
2457494.475	403	-0.0025	0.01	ASASSN-V
2457940.11	429	-0.0526	0.0739	KWS
2457940.202	430	0.0398	0.009	ASASSN-V
2458214.48	446	0.0495	0.0092	ASASSN-g
2458385.926	456	0.0775	0.0218	ASASSN-V
2458574.261	466	-0.1463	0.2167	KWS
2458660.094	471	-0.0226	0.0114	ASASSN-g
