HJD	Epoch	O-C	O-Cerr	Source
2434519.399	-1276	1.3203	0.1289	Mitchell1964
2435158.42	-1229	1.2843	0.2227	Mitchell1964
2440664.352	-824	0.4573	0.0222	Pel1976
2441085.704	-793	0.3045	0.2038	Pel1976
2441575.53	-757	0.6407	0.0287	Madore1975
2444253.844	-560	0.3581	0.0536	Eggen1983
2444607.388	-534	0.3822	0.2304	Eggen1983
2445667.757	-456	0.1902	0.0728	Berdnikov2008
2447897.548	-292	0.0838	0.011	Hipp
2448237.375	-267	-0.0132	0.0094	Hipp
2449801.052	-152	0.0169	0.0304	Berdnikov2008
2450807.129	-78	-0.0798	0.0215	Berdnikov2008
2451242.198	-46	-0.1127	0.0266	Berdnikov2008
2451609.303	-19	-0.1248	0.0246	Berdnikov2008
2451867.701	0	-0.0688	0.0175	ASAS
2451949.303	6	-0.0482	0.0407	Berdnikov2008
2452207.627	25	-0.0664	0.0188	ASAS
2452316.348	33	-0.1203	0.0217	Berdnikov2008
2452547.448	50	-0.1685	0.0168	ASAS
2452656.207	58	-0.1854	0.0231	Berdnikov2008
2452887.422	75	-0.1181	0.0133	ASAS
2452996.186	83	-0.129	0.0177	Berdnikov2008
2453295.271	105	-0.1767	0.0272	ASAS
2453635.235	130	-0.136	0.0436	ASAS
2454083.919	163	-0.1515	0.0206	ASAS
2454423.813	188	-0.1806	0.0265	ASAS
2454763.701	213	-0.2162	0.0446	ASAS
2456232.399	321	0.0125	0.0188	KWS
2456572.431	346	0.1219	0.0158	KWS
2456640.392	351	0.098	0.0373	Berdnikov2015
2456953.19	374	0.1665	0.0136	KWS
2457034.715	380	0.1095	0.0264	Bochum
2457306.681	400	0.1367	0.0172	KWS
2457415.406	408	0.0867	0.0084	ASASSN-V
2457673.929	427	0.2682	0.0177	KWS
2457755.386	433	0.1435	0.0088	ASASSN-V
2458054.601	455	0.225	0.0242	KWS
2458095.329	458	0.1624	0.0097	ASASSN-V
2458353.619	477	0.1105	0.0077	ASASSN-g
2458408.121	481	0.2251	0.0211	KWS
2458720.753	504	0.1278	0.0057	ASASSN-g
2458775.286	508	0.273	0.0144	KWS
