HJD	Epoch	O-C	O-Cerr	Source
2417257.227	-2930	-3.0118	0.04	Szabados1981 Arch.
2418738.937	-2786	-2.9413	0.07	Szabados1981 Arch.
2425510.227	-2128	-1.9205	0.07	Szabados1981 Arch.
2425726.607	-2107	-1.613	0.07	Szabados1981 Arch.
2426178.797	-2063	-2.1461	0.07	Szabados1981 Arch.
2426652.107	-2017	-2.1376	0.07	Szabados1981 Arch.
2429040.267	-1785	-1.0634	0.07	Szabados1981 Arch.
2436809.261	-1031	-0.3883	0.0701	Mitchell1964
2436829.794	-1028	-0.4328	0.03	Szabados1981 Arch.
2436829.928	-1028	-0.2988	0.02	Szabados1981 Arch.
2443415.229	-389	-0.0626	0.0441	Szabados1981
2443795.913	-351	-0.0772	0.02	Szabados1981 Arch.
2443806.195	-351	-0.0846	0.0584	Szabados1981
2446275.652	-111	-0.0265	0.0212	Berdnikov2008
2447397.197	-2	-0.0009	0.0161	Berdnikov2008
2447911.607	47	-0.0493	0.0172	Hipp
2448498.119	104	-0.0191	0.009	Berdnikov2008
2448889.095	142	-0.0313	0.0404	Berdnikov2008
2450319.254	281	-0.0664	0.0146	Berdnikov2008
2452243.27	468	-0.1234	0.1326	Schmidt2004
2452634.28	506	-0.1017	0.0159	Schmidt2004
2453210.531	562	-0.0436	0.0135	SWASP
2454002.831	639	-0.0093	0.0047	SWASP
2454702.371	707	-0.1327	0.0058	IOMC
2456297.141	862	-0.1826	0.0126	KWS
2456688.148	900	-0.1643	0.0139	KWS
2457079.163	938	-0.1366	0.0186	KWS
2457089.397	939	-0.1919	0.0046	ASASSN-V
2457593.572	988	-0.1862	0.0052	ASASSN-V
2457624.546	991	-0.0794	0.0222	KWS
2457984.531	1026	-0.2154	0.0059	ASASSN-V
2458015.41	1029	-0.2038	0.0161	KWS
2458221.144	1049	-0.253	0.0054	ASASSN-g
2458375.49	1064	-0.2446	0.0065	ASASSN-V
2458406.422	1067	-0.1804	0.0147	KWS
2458694.377	1095	-0.3213	0.0097	ASASSN-g
2458797.394	1105	-0.196	0.1188	Piszkes
2458797.417	1105	-0.1729	0.0195	KWS
2459085.313	1133	-0.3741	0.0122	ASASSN-g
