HJD	Epoch	O-C	O-Cerr	Source
2434846.619	-1149	-0.0877	0.0497	Mitchell1964
2435182.832	-1083	-0.0546	0.02	Szabados1989 Arch.
2435197.514	-1080	-0.007	0.0386	Mitchell1964
2435299.806	-1060	-0.0189	0.02	Szabados1989 Arch.
2440663.124	-5	0.0083	0.0098	Pel1976
2440740.008	10	0.0099	0.02	Szabados1989 Arch.
2442844.379	424	0.1092	0.0576	Dean1977
2442854.964	426	-0.092	0.06	Szabados1989 Arch.
2444293.295	709	0.0078	0.0045	Berdnikov2008
2447857.362	1410	-0.0018	0.0027	Hipp
2448203.102	1478	0.0075	0.0033	Hipp
2448548.837	1546	0.012	0.0031	Hipp
2448940.352	1623	0.0378	0.0201	Hipp
2450348.724	1900	0.066	0.003	Berdnikov2008
2450887.678	2006	0.0866	0.004	Berdnikov2008
2451243.568	2076	0.0779	0.0037	Berdnikov2008
2451614.721	2149	0.0793	0.0042	Berdnikov2008
2451960.469	2217	0.0959	0.0099	Berdnikov2008
2452163.794	2257	0.0507	0.0171	ASAS
2452316.342	2287	0.0697	0.0024	Berdnikov2008
2452519.697	2327	0.0537	0.0148	ASAS
2452662.092	2355	0.089	0.0078	Berdnikov2008
2452875.605	2397	0.0628	0.003	ASAS
2453007.817	2423	0.0836	0.0038	Berdnikov2008
2453272.169	2475	0.0535	0.0084	ASAS
2453617.919	2543	0.0734	0.0042	ASAS
2454085.683	2635	0.0841	0.0037	ASAS
2454431.408	2703	0.0781	0.0032	ASAS
2454777.176	2771	0.1157	0.0194	ASAS
2455122.91	2839	0.1187	0.0156	ASAS
2457624.349	3331	0.0955	0.0046	ASASSN-V
2457990.422	3403	0.0999	0.0043	ASASSN-V
2458356.52	3475	0.1303	0.0162	ASASSN-V
