HJD	Epoch	O-C	O-Cerr	Source
2434925.067	-1768	0.0148	0.0347	Mitchell1964
2435159.381	-1744	-0.1372	0.0075	Irwin1961
2437806.908	-1473	-0.1136	0.0155	Walraven1964
2443883.614	-851	0.0324	0.0088	Coulson1985
2444303.767	-808	0.1016	0.0225	Eggen1985
2444381.776	-800	-0.0442	0.0098	Coulson1985
2444694.538	-768	0.0969	0.0545	Eggen1985
2444997.268	-737	-0.0236	0.0104	Coulson1985
2447859.547	-444	-0.1754	0.0092	Hipp
2448260.139	-403	-0.1279	0.0078	Hipp
2448650.994	-363	-0.0491	0.0157	Hipp
2450800.328	-143	0.0197	0.0236	Berdnikov2008
2451865.162	-34	-0.0097	0.011	ASAS
2452431.759	23	-0.0366	0.0126	ASAS
2452646.728	45	0.0059	0.0162	IOMC
2452822.548	63	-0.0237	0.0123	ASAS
2453125.417	94	-0.0056	0.0021	IOMC
2453350.071	117	-0.0473	0.0177	ASAS
2453525.892	135	-0.0749	0.0081	IOMC
2453740.882	157	-0.0118	0.0109	ASAS
2454131.655	197	-0.0149	0.0096	ASAS
2454141.478	198	0.0392	0.0049	IOMC
2454522.434	237	-0.0114	0.0092	ASAS
2454864.44	272	0.0665	0.0041	IOMC
2454913.226	277	0.0059	0.0142	ASAS
2456632.638	453	0.0055	0.0158	Berdnikov2015
2457287.281	520	0.0993	0.0837	Gaia-dr2
2457414.37	533	0.186	0.0199	ASASSN-V
2457805.149	573	0.1893	0.0125	ASASSN-V
2458195.575	613	-0.1602	0.0198	ASASSN-V
2458195.715	613	-0.0199	0.0163	ASASSN-g
2458586.617	653	0.1064	0.0127	ASASSN-g
2458977.326	693	0.0399	0.0239	ASASSN-g
