HJD	Epoch	O-C	O-Cerr	Source
2430749.737	-1498	-0.0462	0.08	Szabados1989 Arch.
2434141.942	-989	-0.2646	0.08	Szabados1989 Arch.
2435168.587	-836	-0.0109	0.0625	Mitchell1964
2435215.187	-828	-0.0651	0.03	Szabados1989 Arch.
2435535.096	-781	-0.0708	0.0219	Mitchell1964
2435588.421	-772	-0.0644	0.03	Szabados1989 Arch.
2437601.165	-471	-0.114	0.0448	Mitchell1964
2437647.945	-463	0.012	0.03	Szabados1989 Arch.
2440660.475	-11	0.017	0.0227	Pel1976
2440740.452	0	0.0152	0.03	Szabados1989 Arch.
2442893.167	323	-0.0258	0.05	Szabados1989 Arch.
2444512.755	566	-0.0033	0.05	Szabados1989 Arch.
2445025.925	642	-0.0289	0.0575	Gieren1985
2445045.876	646	-0.0727	0.02	Szabados1989 Arch.
2448205.103	1120	0.0015	0.0141	Hipp
2448551.702	1172	0.0265	0.0184	Hipp
2450351.309	1442	0.1164	0.006	Berdnikov2008
2450884.493	1522	0.1103	0.0072	Berdnikov2008
2451244.424	1576	0.1383	0.0108	Berdnikov2008
2451617.649	1632	0.1294	0.0113	Berdnikov2008
2451864.23	1669	0.11	0.0194	ASAS
2451964.258	1684	0.1651	0.022	Berdnikov2008
2452210.857	1721	0.163	0.0138	ASAS
2452310.809	1736	0.1419	0.0049	Berdnikov2008
2452557.4	1773	0.133	0.0045	ASAS
2452657.402	1788	0.1614	0.0051	Berdnikov2008
2452903.993	1825	0.1522	0.0042	ASAS
2453003.942	1840	0.128	0.0055	Berdnikov2008
2453270.552	1880	0.1425	0.0074	ASAS
2453630.467	1934	0.1546	0.0047	ASAS
2454090.346	2003	0.1569	0.0057	ASAS
2454436.929	2055	0.1655	0.0048	ASAS
2454783.536	2107	0.1992	0.0046	ASAS
2455130.129	2159	0.2184	0.0448	ASAS
2457416.162	2502	0.1979	0.0086	ASASSN-V
2457762.765	2554	0.2268	0.0092	ASASSN-V
2458109.339	2606	0.2279	0.0058	ASASSN-V
