HJD	Epoch	O-C	O-Cerr	Source
2444298.841	-2769	0.1892	0.0103	Berdnikov2008
2444421.42	-2729	0.1577	0.0125	Eggen1985
2444770.924	-2615	0.2201	0.0659	Eggen1985
2447872.821	-1603	0.065	0.0048	Hipp
2448222.25	-1489	0.0542	0.0054	Hipp
2448571.692	-1375	0.0553	0.0077	Hipp
2448957.888	-1249	0.0272	0.0656	Hipp
2450349.476	-796	-0.0165	0.0081	Berdnikov2008
2450888.982	-619	0.0019	0.0041	Berdnikov2008
2451247.604	-503	-0.0125	0.0039	Berdnikov2008
2451621.572	-381	-0.0076	0.0039	Berdnikov2008
2452323.516	-152	-0.0102	0.003	Berdnikov2008
2452439.994	-114	-0.0121	0.0043	ASAS
2452789.446	0	-0.0014	0.0044	ASAS
2452988.686	64	-0.0038	0.0091	Berdnikov2008
2453141.954	115	0.001	0.0064	ASAS
2453368.802	189	0.0195	0.0284	IOMC
2453491.384	228	-0.01	0.0039	ASAS
2453846.958	344	-0.0064	0.0083	ASAS
2453987.971	391	0.0039	0.0035	IOMC
2454196.389	458	-0.0164	0.0048	ASAS
2454499.848	557	-0.0192	0.0056	IOMC
2454545.85	573	0.0034	0.008	ASAS
2454904.471	689	-0.0122	0.005	ASAS
2456899.942	1340	-0.031	0.0032	Gaia-dr2
2457255.52	1456	-0.0245	0.0034	Gaia-dr2
2457828.759	1644	0.0094	0.0112	ASASSN-V
2458178.192	1758	0.0018	0.0076	ASASSN-V
