HJD	Epoch	O-C	O-Cerr	Source
2441041.028	-638	0.4742	0.0502	Pel1976
2446989.662	-252	0.2371	0.045	Berdnikov2008
2447390.273	-226	0.1467	0.0625	Berdnikov2008
2447729.275	-204	0.0938	0.0481	Berdnikov2008
2449932.946	-62	-0.091	0.1	Berdnikov2008
2450888.642	0	0.0867	0.0365	Berdnikov2008
2451243.139	23	0.1174	0.0478	Berdnikov2008
2451613.02	47	0.1198	0.033	Berdnikov2008
2451936.657	68	0.1142	0.1215	ASAS
2452183.182	84	0.0532	0.1138	ASAS
2452429.927	100	0.2132	0.1312	ASAS
2452676.475	116	0.1759	0.046	ASAS
2452722.574	119	0.0401	0.0658	IOMC
2452923.052	132	0.167	0.2175	ASAS
2453077.181	142	0.1809	0.0965	Berdnikov2008
2453169.69	148	0.2203	0.05	ASAS
2453416.184	164	0.1292	0.124	ASAS
2453601.142	176	0.1478	0.0753	IOMC
2453662.965	180	0.3243	0.2361	ASAS
2453847.736	192	0.1566	0.0527	IOMC
2454155.936	212	0.1245	0.0562	IOMC
2454155.939	212	0.1279	0.0923	ASAS
2454402.547	228	0.1507	0.0482	ASAS
2454649.127	244	0.1453	0.0589	ASAS
2454895.718	260	0.1506	0.0494	ASAS
2456390.584	357	0.0932	0.172	KWS
2456698.864	377	0.1412	0.2289	KWS
2456729.807	379	0.2611	0.0827	Berdnikov2015
2457068.722	401	0.1213	0.2499	KWS
2457068.811	401	0.2111	0.0333	ASASSN-V
2457453.892	426	0.0024	0.2883	KWS
2457454.124	426	0.2343	0.0435	ASASSN-V
2457793.195	448	0.25	0.038	ASASSN-V
2457823.99	450	0.2221	0.1901	KWS
2458039.802	464	0.2718	0.0373	ASASSN-V
2458193.873	474	0.227	0.1997	KWS
2458209.359	475	0.3014	0.0544	ASASSN-g
2458286.424	480	0.3091	0.0403	ASASSN-V
2458517.611	495	0.3216	0.0575	ASASSN-g
2458563.778	498	0.2545	0.2409	KWS
2458764.207	511	0.3322	0.0504	ASASSN-g
