HJD	Epoch	O-C	O-Cerr	Source
2425832.048	-2610	0.4893	0.08	Szabados1991 Arch.
2425844.917	-2608	0.4311	0.04	Szabados1991 Arch.
2426006.393	-2583	0.3165	0.08	Szabados1991 Arch.
2426019.177	-2581	0.1733	0.04	Szabados1991 Arch.
2426633.357	-2486	0.3092	0.04	Szabados1991 Arch.
2429070.06	-2109	0.2267	0.04	Szabados1991 Arch.
2432864.321	-1522	0.3416	0.04	Szabados1991 Arch.
2435462.686	-1120	0.3305	0.04	Szabados1991 Arch.
2436108.983	-1020	0.2653	0.01	Szabados1991 Arch.
2436425.679	-971	0.2438	0.04	Szabados1991 Arch.
2436800.575	-913	0.2497	0.0082	Mitchell1964
2436800.578	-913	0.2527	0.0126	Oosterhoff1960
2436819.959	-910	0.2429	0.01	Szabados1991 Arch.
2436826.429	-909	0.2493	0.01	Szabados1991 Arch.
2439502.311	-495	0.1918	0.01	Szabados1991 Arch.
2440155.111	-394	0.1659	0.04	Szabados1991 Arch.
2440995.423	-264	0.2071	0.02	Szabados1991 Arch.
2440995.452	-264	0.2361	0.02	Szabados1991 Arch.
2442398.075	-47	0.2523	0.0115	Szabados1980
2442708.31	0	0.2343	0.01	Szabados1991 Arch.
2443490.472	121	0.2977	0.0055	Moffett1984
2443703.738	154	0.2645	0.01	Szabados1991 Arch.
2444078.619	212	0.2554	0.01	Szabados1991 Arch.
2444201.421	231	0.2485	0.0306	AAVSO
2444214.313	233	0.2133	0.0414	Moffett1984
2444640.913	299	0.2143	0.04	Szabados1991 Arch.
2445248.538	393	0.2581	0.033	AAVSO
2445746.21	470	0.2314	0.0312	AAVSO
2446321.527	559	0.2858	0.0315	AAVSO
2446476.65	583	0.2826	0.02	Szabados1991 Arch.
2446819.168	636	0.2285	0.0385	AAVSO
2447310.459	712	0.2844	0.02	Szabados1991 Arch.
2447387.977	724	0.2388	0.0276	AAVSO
2447885.681	801	0.2431	0.0273	AAVSO
2447917.988	806	0.2326	0.0129	Hipp
2448480.326	893	0.2354	0.0169	Hipp
2448557.86	905	0.2062	0.0356	AAVSO
2449055.537	982	0.1842	0.0325	AAVSO
2449598.485	1066	0.1876	0.0302	AAVSO
2450076.793	1140	0.1879	0.0116	Kiss1998
2450096.248	1143	0.252	0.0875	AAVSO
2450322.378	1178	0.1552	0.0286	Berdnikov2008
2450652.04	1229	0.1724	0.0224	AAVSO
2451149.769	1306	0.2024	0.0831	AAVSO
2452675.114	1542	0.1329	0.0329	AAVSO
2453230.997	1628	0.1441	0.0328	AAVSO
2453728.757	1705	0.2054	0.088	AAVSO
2453987.241	1745	0.1447	0.0195	SWASP
2454226.411	1782	0.1599	0.021	AAVSO
2454724.12	1859	0.1707	0.088	AAVSO
2455512.73	1981	0.2187	0.0054	KWS
2456178.524	2084	0.2596	0.0032	KWS
2456676.226	2161	0.2631	0.0025	KWS
2457083.474	2224	0.3028	0.0072	ASASSN-V
2457283.822	2255	0.278	0.0038	KWS
2457600.611	2304	0.3495	0.0108	ASASSN-V
2457781.527	2332	0.2847	0.0035	KWS
2458098.257	2381	0.2968	0.0082	ASASSN-V
2458188.796	2395	0.3448	0.0615	AAVSO
2458337.413	2418	0.299	0.0118	ASASSN-g
2458402.048	2428	0.2981	0.0033	KWS
2458802.802	2490	0.3068	0.0504	Piszkes
2458841.617	2496	0.3406	0.0199	ASASSN-g
2458899.792	2505	0.343	0.0107	KWS
