HJD	Epoch	O-C	O-Cerr	Source
2428691.412	-1803	-0.0763	0.2	Strohmeier1968 Arch.
2428754.277	-1791	-0.4909	0.2	Strohmeier1968 Arch.
2428776.294	-1787	0.4328	0.2	Strohmeier1968 Arch.
2429129.292	-1720	0.1193	0.2	Strohmeier1968 Arch.
2429135.516	-1719	1.07	0.2	Strohmeier1968 Arch.
2429319.531	-1684	0.5193	0.2	Strohmeier1968 Arch.
2429382.542	-1672	0.2506	0.2	Strohmeier1968 Arch.
2429419.361	-1665	0.1565	0.2	Strohmeier1968 Arch.
2429809.416	-1591	-0.0131	0.2	Strohmeier1968 Arch.
2430158.437	-1525	0.9697	0.2	Strohmeier1968 Arch.
2431677.415	-1237	1.2355	0.2	Strohmeier1968 Arch.
2438199.312	0	0.053	0.2	Strohmeier1968 Arch.
2438220.425	4	0.0728	0.02	Szabados1989 Arch.
2438225.35	5	-0.2755	0.2	Strohmeier1968 Arch.
2438494.492	56	-0.0721	0.2	Strohmeier1968 Arch.
2438499.488	57	-0.3494	0.2	Strohmeier1968 Arch.
2438500.485	57	0.6476	0.2	Strohmeier1968 Arch.
2438521.384	61	0.4533	0.2	Strohmeier1968 Arch.
2438521.429	61	0.4983	0.2	Strohmeier1968 Arch.
2438548.331	66	1.0338	0.2	Strohmeier1968 Arch.
2438580.245	72	1.308	0.2	Strohmeier1968 Arch.
2438584.246	73	0.0357	0.2	Strohmeier1968 Arch.
2438589.251	74	-0.2326	0.2	Strohmeier1968 Arch.
2438605.208	77	-0.0956	0.2	Strohmeier1968 Arch.
2438879.403	129	-0.1125	0.2	Strohmeier1968 Arch.
2438879.449	129	-0.0665	0.2	Strohmeier1968 Arch.
2438885.406	130	0.6172	0.2	Strohmeier1968 Arch.
2438906.308	134	0.426	0.2	Strohmeier1968 Arch.
2438906.355	134	0.473	0.2	Strohmeier1968 Arch.
2438911.34	135	0.1847	0.2	Strohmeier1968 Arch.
2438916.345	136	-0.0836	0.2	Strohmeier1968 Arch.
2438932.304	139	0.0555	0.2	Strohmeier1968 Arch.
2438933.261	139	1.0125	0.2	Strohmeier1968 Arch.
2438933.308	139	1.0595	0.2	Strohmeier1968 Arch.
2439259.357	201	0.1635	0.2	Strohmeier1968 Arch.
2439269.331	203	-0.4091	0.2	Strohmeier1968 Arch.
2439269.376	203	-0.3641	0.2	Strohmeier1968 Arch.
2439270.353	203	0.6129	0.2	Strohmeier1968 Arch.
2439291.255	207	0.4217	0.2	Strohmeier1968 Arch.
2439291.299	207	0.4657	0.2	Strohmeier1968 Arch.
2439313.256	211	1.3294	0.2	Strohmeier1968 Arch.
2439318.226	212	1.0261	0.2	Strohmeier1968 Arch.
2439533.527	253	0.1216	0.02	Szabados1989 Arch.
2439601.285	266	0.0624	0.0058	Mauder-Schoeffel1968
2439617.878	269	0.0997	0.02	Szabados1989 Arch.
2439628.575	271	0.2501	0.2	Strohmeier1968 Arch.
2439655.317	276	0.6256	0.2	Strohmeier1968 Arch.
2439676.239	280	0.4543	0.2	Strohmeier1968 Arch.
2442844.457	881	0.1518	0.0741	Dean1977
2442855.659	883	0.0708	0.02	Szabados1989 Arch.
2442971.687	905	0.0861	0.02	Szabados1989 Arch.
2444299.768	1157	0.0301	0.0428	Berdnikov2008
2444442.247	1184	0.1295	0.0332	Eggen1985
2444474.595	1190	0.1019	0.03	Szabados1989 Arch.
2445149.027	1318	0.2871	0.0574	Eggen1985
2445381.576	1362	0.0742	0.03	Szabados1989 Arch.
2447869.875	1834	0.1088	0.0044	Hipp
2447917.122	1843	-0.1036	0.0151	Shobbrook1992
2448260.109	1908	0.1181	0.007	Hipp
2448608.133	1974	0.1045	0.004	Hipp
2450348.381	2304	0.1612	0.0065	Berdnikov2008
2450886.29	2406	0.193	0.0055	Berdnikov2008
2451244.896	2474	0.2137	0.0059	Berdnikov2008
2451619.32	2545	0.233	0.0077	Berdnikov2008
2452315.387	2677	0.2243	0.0069	Berdnikov2008
2452985.094	2804	0.221	0.0063	Berdnikov2008
2453132.696	2832	0.1705	0.065	ASAS
2453480.7	2898	0.1363	0.0502	ASAS
2454872.852	3162	0.1358	0.0784	ASAS
2457456.879	3652	0.2426	0.0393	ASASSN-V
2458279.571	3808	0.2989	0.0115	ASASSN-g
2458627.581	3874	0.2712	0.0113	ASASSN-g
2458975.626	3940	0.2772	0.0214	ASASSN-g
