HJD	Epoch	O-C	O-Cerr	Source
2413380.663	-8447	-1.1386	0.2403	Harvard
2413742.83	-8358	-0.9966	0.313	Harvard
2414536.113	-8163	-0.9149	0.1792	Harvard
2414902.033	-8073	-1.088	0.0748	Harvard
2415268.353	-7983	-0.8611	0.0929	Harvard
2415617.948	-7897	-1.0883	0.0864	Harvard
2415618.101	-7897	-0.9346	0.05	Szabados1989 Arch.
2416004.479	-7802	-0.9883	0.0399	Harvard
2416358.585	-7715	-0.7718	0.1092	Harvard
2416557.829	-7666	-0.8448	0.05	Szabados1989 Arch.
2416708.316	-7629	-0.8625	0.0455	Harvard
2417074.336	-7539	-0.9356	0.027	Harvard
2417180.162	-7513	-0.8696	0.05	Szabados1989 Arch.
2417428.442	-7452	-0.7199	0.0926	Harvard
2417802.668	-7360	-0.7213	0.0649	Harvard
2418030.346	-7304	-0.8345	0.05	Szabados1989 Arch.
2418152.353	-7274	-0.8591	0.0391	Harvard
2418502.17	-7188	-0.8637	0.032	Harvard
2418571.442	-7171	-0.7423	0.05	Szabados1989 Arch.
2418852.17	-7102	-0.6861	0.0265	Harvard
2419201.929	-7016	-0.7492	0.0387	Harvard
2419478.603	-6948	-0.678	0.05	Szabados1989 Arch.
2419551.734	-6930	-0.7658	0.0269	Harvard
2419901.47	-6844	-0.8514	0.0228	Harvard
2420068.411	-6803	-0.6862	0.05	Szabados1989 Arch.
2420267.743	-6754	-0.6719	0.0505	Harvard
2420621.589	-6667	-0.7156	0.0236	Harvard
2420869.765	-6606	-0.6687	0.05	Szabados1989 Arch.
2420987.716	-6577	-0.6813	0.0313	Harvard
2421337.604	-6491	-0.6154	0.0296	Harvard
2421541.013	-6440	-0.5909	0.05	Szabados1989 Arch.
2421715.999	-6398	-0.5165	0.081	Harvard
2422081.931	-6308	-0.6772	0.0376	Harvard
2422439.978	-6219	-0.5871	0.05	Szabados1989 Arch.
2422456.14	-6216	-0.6959	0.073	Harvard
2422850.752	-6119	-0.6509	0.0826	Harvard
2423200.47	-6033	-0.7548	0.0334	Harvard
2423351.231	-5995	-0.4985	0.05	Szabados1989 Arch.
2423558.843	-5945	-0.3393	0.3426	Harvard
