HJD	Epoch	O-C	O-Cerr	Source
2439326.554	-3464	-0.4954	0.03	Szabados1989 Arch.
2440369.531	-3153	-0.3857	0.0099	Stobie1970
2440392.914	-3145	-0.4003	0.01	Szabados1989 Arch.
2440697.172	-3055	-0.3123	0.0105	Cousins1971
2440770.6	-3032	-0.4194	0.03	Szabados1989 Arch.
2441044.771	-2951	-0.3359	0.0066	Cousins1971
2441111.569	-2930	-0.3877	0.01	Szabados1989 Arch.
2443153.997	-2320	-0.2416	0.0045	Stobie1979
2443180.699	-2311	-0.2794	0.01	Szabados1989 Arch.
2443525.024	-2209	-0.2343	0.0159	Dean1981
2443561.782	-2197	-0.2441	0.02	Szabados1989 Arch.
2443591.934	-2189	-0.1755	0.079	Eggen1985
2443635.343	-2175	-0.2186	0.02	Szabados1989 Arch.
2443996.333	-2067	-0.221	0.01	Szabados1989 Arch.
2444621.489	-1880	-0.1168	0.03	Szabados1989 Arch.
2445356.741	-1661	-0.2198	0.0492	Bersier2002
2447867.103	-910	-0.0934	0.0158	Hipp
2448221.422	-804	-0.0819	0.0051	Hipp
2448569.058	-700	-0.0681	0.0083	Hipp
2448773.002	-639	-0.0179	0.041	Williams
2449130.615	-532	-0.0546	0.0229	Williams
2449504.999	-420	-0.0333	0.0347	Williams
2449518.365	-416	-0.0374	0.0125	Berdnikov2008
2449852.6	-316	-0.0551	0.1221	Williams
2450146.811	-228	0.0143	0.0117	Bersier2002
2450541.199	-110	-0.0159	0.0066	Berdnikov2008
2450888.83	-6	-0.0071	0.0069	Berdnikov2008
2451246.45	100	-0.0364	0.007	Berdnikov2008
2451320.074	123	0.0519	0.0638	Williams
2451620.829	212	-0.0208	0.0061	Berdnikov2008
2451971.767	317	-0.0474	0.0052	Berdnikov2008
2452316.073	420	-0.0211	0.0112	Berdnikov2008
2452670.42	527	0.0179	0.0162	SMEI
2452797.36	564	-0.0578	0.0407	Tabur
2452827.453	573	-0.047	0.0124	ASAS
2452994.602	623	-0.0244	0.0077	Berdnikov2008
2453017.971	630	-0.053	0.0127	SMEI
2453161.788	674	0.0359	0.0844	Tabur
2453175.045	677	-0.0777	0.0462	ASAS
2453365.692	735	0.0453	0.0146	SMEI
2453519.353	780	-0.0491	0.0453	Tabur
2453522.826	782	0.081	0.0569	ASAS
2453713.241	838	-0.0283	0.0119	SMEI
2453866.986	884	-0.0387	0.0778	Tabur
2453870.278	885	-0.0892	0.1229	ASAS
2454060.872	942	-0.0187	0.012	SMEI
2454214.606	988	-0.0409	0.0438	Tabur
2454231.327	993	-0.0327	0.0719	ASAS
2454425.227	1052	0.0007	0.014	SMEI
2454562.219	1092	-0.0503	0.0425	Tabur
2454789.552	1161	-0.0093	0.0144	SMEI
2455153.885	1270	-0.0113	0.0158	SMEI
2455504.814	1374	-0.0472	0.0152	SMEI
2456895.292	1790	-0.0582	0.1488	Gaia-dr2
2457827.828	2069	-0.0867	0.0094	ASASSN-V
2458175.423	2173	-0.1142	0.0142	ASASSN-V
