HJD	Epoch	O-C	O-Cerr	Source
2433091.075	-2538	-0.0047	0.0121	Mitchell1964
2433128.397	-2530	-0.0056	0.01	Szabados1991 Arch.
2435938.291	-2003	-0.0239	0.01	Szabados1991 Arch.
2436823.483	-1837	0.0721	0.1101	Bahner1962
2436823.536	-1837	0.1249	0.0246	Mitchell1964
2436834.163	-1835	0.0885	0.02	Szabados1991 Arch.
2437175.365	-1772	0.0479	0.0271	Mitchell1964
2437260.636	-1755	0.0094	0.01	Szabados1991 Arch.
2439771.943	-1284	-0.0095	0.01	Szabados1991 Arch.
2441360.896	-986	0.0367	0.03	Szabados1991 Arch.
2442277.814	-815	-0.1332	0.0519	Szabados1980
2442672.534	-741	0.026	0.0336	Szabados1980
2442672.56	-740	0.0529	0.01	Szabados1991 Arch.
2444096.128	-474	0.0024	0.0222	Moffett1984
2444400.028	-416	-0.0154	0.01	Szabados1991 Arch.
2444458.682	-406	-0.0125	0.0092	Moffett1984
2444821.251	-338	-0.0135	0.0055	Moffett1984
2444895.903	-323	-0.0073	0.01	Szabados1991 Arch.
2446607.428	-3	-0.0231	0.0065	Berdnikov2008
2447860.474	232	0.0254	0.0066	Hipp
2448207.039	297	0.0172	0.0085	Hipp
2448553.53	361	-0.0652	0.03	Hipp
2448798.9	408	0.037	0.0036	Barnes1997
2448942.811	434	-0.013	0.008	Hipp
2449614.654	561	0.0102	0.0078	Berdnikov2008
2450003.909	634	0.0366	0.0102	Berdnikov2008
2454258.763	1432	0.0327	0.0025	Kelt-e
2454274.71	1435	-0.0162	0.0053	SWASP
2454360.045	1451	0.0084	0.0204	Kelt-w
2454605.323	1497	0.0184	0.0034	Kelt-e
2454722.638	1519	0.0323	0.0026	Kelt-w
2455751.663	1712	0.0001	0.0122	KWS
2456098.194	1777	-0.0425	0.0084	KWS
2456455.465	1844	-0.0091	0.0053	KWS
2456802.055	1909	0.007	0.009	KWS
2456865.979	1921	-0.0518	0.0194	Gaia-dr2
2457004.576	1946	-0.0838	0.0414	ASASSN-V
2457153.951	1975	-0.0024	0.0031	KWS
2457228.588	1989	-0.0124	0.0086	Gaia-dr2
2457356.517	2013	-0.0488	0.0491	ASASSN-V
2457516.531	2043	0.008	0.0052	KWS
2457703.026	2077	-0.1134	0.0406	ASASSN-V
2457863.115	2108	0.0187	0.0057	KWS
2458289.65	2188	0.0017	0.0053	KWS
