HJD	Epoch	O-C	O-Cerr	Source
2413791.644	-3627	0.0494	0.034	Harvard
2414583.58	-3529	-0.2556	0.0779	Harvard
2414912.033	-3487	0.0982	0.076	Harvard
2415336.188	-3434	0.1236	0.0339	Harvard
2415623.96	-3399	-0.1921	0.0293	Harvard
2415984.291	-3353	0.03	0.0679	Harvard
2416296.249	-3315	-0.1072	0.0514	Harvard
2416544.418	-3284	-0.0133	0.0454	Harvard
2416792.485	-3253	-0.0219	0.0476	Harvard
2417072.509	-3218	-0.083	0.0563	Harvard
2417248.577	-3195	-0.0683	0.03	Szabados1980 Arch.
2417448.533	-3171	-0.1733	0.0608	Harvard
2417856.897	-3119	0.0673	0.0791	Harvard
2418176.675	-3080	-0.2521	0.0647	Harvard
2418512.905	-3038	-0.125	0.0616	Harvard
2418760.991	-3007	-0.1145	0.1142	Harvard
2419001.182	-2976	0.0041	0.05	Szabados1980 Arch.
2419008.881	-2976	-0.2989	0.0585	Harvard
2419289.018	-2941	-0.2477	0.0618	Harvard
2419657.149	-2895	-0.2283	0.0507	Harvard
2420009.265	-2851	-0.219	0.0467	Harvard
2420377.412	-2805	-0.1843	0.0575	Harvard
2420729.676	-2761	-0.027	0.0588	Harvard
2421113.737	-2713	-0.0835	0.0815	Harvard
2421481.863	-2667	-0.0688	0.0572	Harvard
2421825.788	-2624	-0.2486	0.0523	Harvard
2422074.049	-2593	-0.0631	0.0486	Harvard
2422322.037	-2562	-0.1506	0.0526	Harvard
2422570.051	-2531	-0.2113	0.0547	Harvard
2422698.049	-2514	-0.2525	0.05	Szabados1980 Arch.
2422906.051	-2489	-0.3135	0.0526	Harvard
2423322.341	-2437	-0.1498	0.047	Harvard
2423666.365	-2394	-0.2304	0.0788	Harvard
2424058.651	-2345	-0.0638	0.0574	Harvard
2424386.904	-2303	0.0889	0.0636	Harvard
2424634.772	-2273	-0.1185	0.0578	Harvard
2424882.722	-2242	-0.243	0.0645	Harvard
2425130.734	-2211	-0.3073	0.0446	Harvard
2425498.844	-2165	-0.3088	0.0557	Harvard
2425498.913	-2164	-0.2397	0.05	Szabados1980 Arch.
2425827.0	-2124	-0.2526	0.0507	Harvard
2426074.772	-2093	-0.5558	0.0705	Harvard
2426323.181	-2062	-0.2219	0.0451	Harvard
2426571.225	-2031	-0.2537	0.0407	Harvard
2426819.265	-2000	-0.2885	0.0479	Harvard
2427067.414	-1969	-0.2156	0.0409	Harvard
2427315.49	-1938	-0.2149	0.0472	Harvard
2427659.644	-1895	-0.1655	0.0424	Harvard
2428059.738	-1845	-0.1934	0.0478	Harvard
2428395.81	-1802	-0.2231	0.05	Szabados1980 Arch.
2428427.815	-1799	-0.2276	0.0489	Harvard
2428524.233	-1786	0.161	0.2	Szabados1980 Arch.
2428563.934	-1781	-0.1502	0.05	Szabados1980 Arch.
2428620.184	-1774	0.0828	0.2	Szabados1980 Arch.
2428628.138	-1773	0.0344	0.2	Szabados1980 Arch.
2428771.828	-1756	-0.3196	0.0421	Harvard
2429123.917	-1712	-0.3371	0.0486	Harvard
2429508.104	-1664	-0.2674	0.0395	Harvard
2429868.109	-1619	-0.3715	0.0474	Harvard
2430228.328	-1574	-0.2622	0.0422	Harvard
2430572.509	-1531	-0.1853	0.0408	Harvard
2430820.595	-1500	-0.1754	0.0405	Harvard
2431020.624	-1474	-0.2068	0.05	Szabados1980 Arch.
2431068.609	-1469	-0.2367	0.033	Harvard
2431324.609	-1437	-0.314	0.0513	Harvard
2431676.783	-1393	-0.2469	0.0354	Harvard
2432012.828	-1351	-0.3046	0.0373	Harvard
2432260.907	-1320	-0.3009	0.0376	Harvard
2432508.939	-1289	-0.3441	0.0311	Harvard
2432613.464	-1275	0.1492	0.2	Szabados1980 Arch.
2432788.991	-1254	-0.377	0.0519	Harvard
2432789.131	-1253	-0.2373	0.03	Szabados1980 Arch.
2433173.143	-1206	-0.3418	0.0562	Harvard
2433517.276	-1163	-0.3132	0.0409	Harvard
2433837.566	-1123	-0.1211	0.0646	Harvard
2434653.714	-1021	-0.2209	0.0365	Harvard
2436198.324	-827	-0.0803	0.05	Szabados1980 Arch.
2436606.44	-776	-0.0883	0.03	Szabados1980 Arch.
2436814.476	-751	-0.1161	0.0417	Mitchell1964
2436814.476	-751	-0.1154	0.0479	Oosterhoff1960
2436830.487	-748	-0.1094	0.02	Szabados1980 Arch.
2437190.704	-703	-0.0019	0.05	Szabados1980 Arch.
2437590.702	-654	-0.1254	0.0209	Mitchell1964
2437630.746	-648	-0.0936	0.01	Szabados1980 Arch.
2438086.974	-591	-0.0043	0.05	Szabados1980 Arch.
2439071.15	-468	-0.1274	0.01	Szabados1980 Arch.
2439087.354	-466	0.0717	0.05	Szabados1980 Arch.
2439207.352	-451	0.0333	0.02	Szabados1980 Arch.
2440615.764	-275	0.0172	0.05	Szabados1980 Arch.
2440896.087	-240	0.2552	0.0404	Harvard
2442400.33	-52	0.0408	0.0131	Szabados1980
2442824.455	0	0.037	0.01	Szabados1980 Arch.
2443792.68	120	-0.0323	0.0597	Harvard
2444905.188	260	0.1379	0.0668	Harvard
2445177.108	293	-0.0254	0.1052	Harvard
2445673.22	355	-0.0642	0.0627	Harvard
2446305.447	434	-0.0287	0.051	Harvard
2447409.821	573	0.0096	0.0706	Harvard
2447914.017	636	0.0519	0.0187	Hipp
2448098.008	658	-0.0123	0.0416	Berdnikov2008
2448162.059	667	0.0188	0.0175	Hipp
2448474.203	706	0.0682	0.0207	Hipp
2450002.667	897	0.0678	0.0355	Berdnikov2008
2453219.616	1299	0.0384	0.0131	SWASP
2454372.048	1443	0.1209	0.1286	SWASP
2455836.631	1626	0.2588	0.0736	KWS
2456180.694	1669	0.2167	0.0231	KWS
2456548.834	1715	0.2449	0.0299	KWS
2456924.951	1762	0.2478	0.0245	KWS
2457005.025	1772	0.298	0.0698	ASASSN-V
2457261.034	1804	0.2286	0.0669	ASASSN-V
2457293.061	1808	0.2462	0.0349	KWS
2457597.133	1846	0.2259	0.0468	ASASSN-V
2457629.142	1850	0.2252	0.0464	KWS
2457957.201	1891	0.1841	0.0542	ASASSN-V
2458021.278	1899	0.2413	0.0251	KWS
2458221.327	1924	0.2301	0.0583	ASASSN-g
2458341.349	1939	0.215	0.0514	ASASSN-V
2458397.385	1946	0.2345	0.0269	KWS
2458469.375	1955	0.2027	0.0659	ASASSN-g
2458725.47	1987	0.22	0.0967	ASASSN-g
2458741.511	1989	0.2561	0.0265	KWS
