HJD	Epoch	O-C	O-Cerr	Source
2435160.784	-2408	-0.3057	0.0348	Irwin1961
2447851.583	-645	-0.0582	0.0156	Hipp
2448197.099	-597	-0.0598	0.017	Hipp
2448542.64	-549	-0.0361	0.0145	Hipp
2450802.866	-235	-0.0664	0.0091	Berdnikov2008
2451616.312	-122	-0.025	0.0092	Berdnikov2008
2451868.248	-87	-0.029	0.0045	ASAS
2451961.854	-74	-0.0006	0.0107	Berdnikov2008
2452213.777	-39	-0.0167	0.0062	ASAS
2452314.574	-24	0.004	0.0069	Berdnikov2008
2452559.313	9	0.0024	0.0057	ASAS
2452660.113	23	0.0267	0.0102	Berdnikov2008
2452904.818	56	-0.0096	0.0046	ASAS
2453005.593	70	-0.0106	0.0129	Berdnikov2008
2453271.948	108	0.0079	0.006	ASAS
2453631.865	158	0.0114	0.008	ASAS
2454085.341	220	-0.0033	0.0093	ASAS
2454430.872	269	0.0103	0.0147	ASAS
2454776.402	317	0.0239	0.0108	ASAS
2455683.46	443	0.0994	0.0052	Bochum
2456201.727	515	0.0907	0.0048	Bochum
2456266.453	524	0.0324	0.0178	KWS
2456561.691	565	0.1415	0.016	Bochum
2456612.035	572	0.098	0.0138	KWS
2456633.54	575	0.0075	0.0694	Berdnikov2015
2456957.574	620	0.1196	0.0219	KWS
2456957.576	620	0.1214	0.0117	Gaia-dr2
2457303.086	668	0.115	0.0095	Gaia-dr2
2457310.213	669	0.0428	0.0217	KWS
2457418.221	684	0.0777	0.002	ASASSN
2457670.163	719	0.0797	0.0251	KWS
2457763.747	732	0.0864	0.0029	ASASSN
2458051.672	772	0.08	0.0237	KWS
2458109.274	780	0.0962	0.0035	ASASSN
2458411.664	822	0.1586	0.0289	KWS
