HJD	Epoch	O-C	O-Cerr	Source
2414199.106	-2821	0.6003	0.31	Harvard
2415470.602	-2728	0.536	0.207	Harvard
2416523.211	-2651	0.348	0.4567	Harvard
2416865.035	-2626	0.3546	0.3476	Harvard
2418232.31	-2526	0.3602	0.4173	Harvard
2418587.922	-2500	0.4819	0.1989	Harvard
2420543.123	-2357	0.4877	0.0651	Harvard
2421623.101	-2278	0.3237	0.612	Harvard
2422320.419	-2227	0.3343	0.4543	Harvard
2423496.248	-2141	0.3114	0.3852	Harvard
2424248.478	-2086	0.5429	0.0407	Harvard
2424617.462	-2059	0.3643	0.4064	Harvard
2425533.711	-1992	0.5428	0.1012	Harvard
2427037.507	-1882	0.3432	0.44	Harvard
2427775.901	-1828	0.4119	0.2963	Harvard
2428117.819	-1803	0.5122	0.0499	Harvard
2428459.524	-1778	0.3996	0.1082	Harvard
2428814.947	-1752	0.3327	0.2072	Harvard
2429197.863	-1724	0.413	0.1786	Harvard
2429553.326	-1698	0.3868	0.1592	Harvard
2429895.19	-1673	0.4326	0.0558	Harvard
2430250.698	-1647	0.451	0.0422	Harvard
2430619.917	-1620	0.5074	0.0374	Harvard
2431002.676	-1592	0.4307	0.0371	Harvard
2431358.147	-1566	0.4116	0.0356	Harvard
2431699.946	-1541	0.3932	0.0399	Harvard
2432096.549	-1512	0.4886	0.0493	Harvard
2432438.334	-1487	0.4565	0.051	Harvard
2432821.167	-1459	0.4536	0.0436	Harvard
2433162.874	-1434	0.3436	0.2112	Harvard
2434010.8	-1372	0.5625	0.0673	Harvard
2440915.43	-867	0.4821	0.0085	Pel1976
2441298.281	-839	0.4983	0.0689	Harvard
2443964.412	-644	0.4536	0.0697	Coulson1985
2444634.156	-595	0.2364	0.1441	Harvard
2444634.233	-595	0.3135	0.025	Coulson1985
2444976.02	-570	0.2826	0.1234	Harvard
2444989.777	-569	0.3669	0.0902	Coulson1985
2445345.158	-543	0.2581	0.0655	Harvard
2445659.678	-520	0.3059	0.3082	Berdnikov2008
2445687.074	-518	0.3571	0.1696	Harvard
2446056.285	-491	0.4051	0.0957	Harvard
2446425.301	-464	0.2583	0.0845	Harvard
2447847.273	-360	0.2704	0.0132	Hipp
2448189.104	-335	0.284	0.0124	Hipp
2448544.598	-309	0.2877	0.0097	Hipp
2450800.639	-144	0.334	0.0064	Berdnikov2008
2451867.067	-66	0.2928	0.0065	ASAS
2452208.868	-41	0.2765	0.0108	ASAS
2452550.697	-16	0.2882	0.0058	ASAS
2452892.526	8	0.2998	0.004	ASAS
2452974.556	14	0.2936	0.0079	Berdnikov2008
2453289.022	37	0.2875	0.007	ASAS
2453630.863	62	0.3107	0.006	ASAS
2454082.04	95	0.2893	0.0073	ASAS
2454423.866	120	0.2979	0.007	ASAS
2454765.685	145	0.2994	0.0097	ASAS
2455845.801	224	0.2731	0.0089	Bochum
2456201.291	250	0.2726	0.0077	Bochum
2456255.988	254	0.2789	0.0122	KWS
2456556.792	276	0.2832	0.0119	Bochum
2456597.81	279	0.2833	0.0104	KWS
2456638.846	282	0.3015	0.0098	Berdnikov2015
2456967.006	306	0.3168	0.0112	KWS
2457308.854	331	0.3479	0.016	KWS
2457418.19	339	0.3017	0.0069	ASASSN-V
2457664.293	357	0.2964	0.0115	KWS
2457760.033	364	0.328	0.0069	ASASSN-V
2458047.2	385	0.3678	0.0135	KWS
2458101.858	389	0.3354	0.0069	ASASSN-V
2458211.24	397	0.3354	0.006	ASASSN-g
2458416.328	412	0.3332	0.0132	KWS
2458553.038	422	0.3168	0.0029	ASASSN-g
2458785.499	439	0.3417	0.0154	KWS
2458894.843	447	0.3038	0.0096	ASASSN-g
