HJD	Epoch	O-C	O-Cerr	Source
2428563.344	-6267	-0.8272	0.1	Szabados1991 Arch.
2429145.744	-6086	-0.8833	0.0434	Koukarkina1954
2429223.824	-6062	-0.8501	0.1	Szabados1991 Arch.
2430480.163	-5672	-1.0774	0.1	Szabados1991 Arch.
2430650.693	-5619	-1.3115	0.1	Szabados1991 Arch.
2431014.735	-5506	-1.3516	0.1	Szabados1991 Arch.
2431781.53	-5268	-1.3843	0.1	Szabados1991 Arch.
2432048.696	-5186	-1.6414	0.1	Szabados1991 Arch.
2432132.39	-5160	-1.7184	0.1	Szabados1991 Arch.
2433011.403	-4886	-1.582	0.0249	Koukarkina1954
2433524.24	-4728	-1.7573	0.1	Szabados1991 Arch.
2433736.708	-4662	-1.939	0.1	Szabados1991 Arch.
2433878.46	-4618	-1.9535	0.1	Szabados1991 Arch.
2433890.414	-4614	-2.167	0.0466	Koukarkina1954
2434228.916	-4509	-1.9716	0.0445	Koukarkina1954
2434361.768	-4468	-1.9402	0.1	Szabados1991 Arch.
2435557.258	-4097	-1.7992	0.1	Szabados1991 Arch.
2435615.515	-4079	-1.5376	0.1	Szabados1991 Arch.
2436143.784	-3915	-1.6709	0.1	Szabados1991 Arch.
2436790.781	-3713	-1.5693	0.0147	Oosterhoff1960
2436790.788	-3713	-1.5621	0.008	Mitchell1964
2436790.798	-3713	-1.552	0.0064	AAVSO
2436820.545	-3704	-1.5225	0.01	Szabados1991 Arch.
2436827.004	-3702	-1.5075	0.01	Szabados1991 Arch.
2436843.175	-3697	-1.4463	0.1	Szabados1991 Arch.
2436910.801	-3676	-1.4815	0.01	Szabados1991 Arch.
2438248.22	-3261	-1.178	0.1	Szabados1991 Arch.
2438385.97	-3218	-1.2523	0.0035	Malik1965
2438409.256	-3211	-1.2403	0.01	Szabados1991 Arch.
2438660.818	-3133	-0.9915	0.1	Szabados1991 Arch.
2439785.406	-2784	-0.8693	0.01	Szabados1991 Arch.
2441583.297	-2226	-0.1148	0.172	Szabados1977
2441774.189	-2167	-0.0387	0.01	Szabados1991 Arch.
2443079.635	-1762	0.5114	0.02	Szabados1991 Arch.
2443381.744	-1668	0.4759	0.014	Szabados1991
2443456.607	-1645	0.5135	0.02	Szabados1991 Arch.
2444106.82	-1443	0.6091	0.0221	Szabados1991
2444168.732	-1424	0.5843	0.01	Szabados1991 Arch.
2447870.704	-275	1.2384	0.013	Hipp
2448173.646	-181	1.3161	0.0124	Hipp
2448502.399	-79	1.4279	0.0178	Hipp
2448853.647	30	1.4821	0.0087	Berdnikov2008
2448956.77	62	1.5022	0.0434	Hipp
2449955.58	372	1.5036	0.0182	Berdnikov2008
2450306.878	481	1.6067	0.0095	Berdnikov2008
2452636.425	1205	1.6728	0.0894	IOMC
2453232.47	1390	1.655	0.0148	IOMC
2453548.215	1488	1.6475	0.0043	IOMC
2453583.666	1499	1.6567	0.0103	AAVSO
2453918.63	1602	1.5364	0.0027	IOMC
2454018.478	1633	1.5034	0.0013	AAVSO
2454382.486	1746	1.4291	0.0032	AAVSO
2454546.831	1797	1.4544	0.0081	IOMC
2454695.002	1843	1.4143	0.0014	AAVSO
2455113.799	1973	1.3563	0.0013	AAVSO
2455458.516	2080	1.3233	0.0033	IOMC
2455758.087	2173	1.2516	0.0082	IOMC
2455761.337	2174	1.2792	0.0033	Laur2017
2456167.304	2300	1.2786	0.0039	Laur2017
2456276.84	2334	1.2683	0.0054	IOMC
2456508.883	2406	1.3298	0.0044	Laur2017
2456644.35	2448	1.4738	0.0098	IOMC
2457008.437	2561	1.4783	0.0048	ASASSN-V
2457059.935	2577	1.4255	0.0263	Piszkes
2457308.188	2654	1.5874	0.0025	ASASSN-V
2457607.932	2748	1.6884	0.002	ASASSN-V
2457656.258	2763	1.6847	0.0022	AAVSO
2457910.866	2842	1.7576	0.0033	ASASSN-V
2457968.893	2860	1.7896	0.0064	AAVSO
2458275.033	2955	1.8424	0.0021	ASASSN-V
2458291.135	2960	1.8351	0.0038	ASASSN-g
2458639.176	3068	1.9034	0.0029	ASASSN-g
2458803.602	3119	2.0088	0.0153	Piszkes
