HJD	Epoch	O-C	O-Cerr	Source
2412341.501	-3098	0.7633	0.2139	Harvard
2412656.167	-3067	1.0258	0.2299	Harvard
2413730.773	-2961	0.5745	0.2646	Harvard
2414035.278	-2931	0.8173	0.2926	Harvard
2414501.41	-2885	0.4146	0.2896	Harvard
2414815.878	-2854	0.4795	0.1108	Harvard
2415170.747	-2819	0.3764	0.3871	Harvard
2415597.335	-2777	0.9986	0.1433	Harvard
2415890.695	-2749	0.239	0.111	Harvard
2416194.7	-2719	-0.0178	0.1387	Harvard
2416489.722	-2689	0.8849	0.207	Harvard
2416793.411	-2659	0.3116	0.1445	Harvard
2417098.118	-2629	0.7574	0.4013	Harvard
2417401.819	-2600	0.1968	0.1961	Harvard
2417706.126	-2570	0.2426	0.1989	Harvard
2418090.955	-2532	-0.3271	0.3094	Harvard
2418456.403	-2496	0.0075	0.1775	Harvard
2418842.047	-2457	0.2534	0.7063	Harvard
2419248.247	-2417	0.7708	0.2238	Harvard
2419571.839	-2386	-0.1826	0.1835	Harvard
2419947.311	-2349	0.0333	0.4909	Harvard
2420281.539	-2316	-0.4258	0.3699	Harvard
2420576.255	-2287	0.1705	0.1917	Harvard
2420992.2	-2245	0.2912	0.1621	Harvard
2421316.623	-2214	0.1681	0.1366	Harvard
2421682.812	-2177	1.243	0.6308	Harvard
2422067.012	-2140	0.0453	0.451	Harvard
2422595.01	-2087	0.6562	0.1848	Harvard
2422909.359	-2056	0.6017	0.4315	Harvard
2423223.23	-2026	0.0691	0.5123	Harvard
2423547.78	-1994	0.0742	0.1739	Harvard
2423852.085	-1964	0.117	0.1278	Harvard
2424227.566	-1926	0.342	0.213	Harvard
2424684.146	-1881	0.5295	0.2015	Harvard
2425008.555	-1849	0.3933	0.0823	Harvard
2425353.052	-1816	0.0598	0.0817	Harvard
2425728.54	-1778	0.2924	0.0639	Harvard
2426124.2	-1739	0.4126	0.2619	Harvard
2426438.569	-1708	0.3779	0.1915	Harvard
2426793.676	-1673	0.5131	0.0803	Harvard
2427148.304	-1639	0.1689	0.0646	Harvard
2427472.858	-1607	0.1774	0.0704	Harvard
2427766.854	-1578	0.0536	0.0641	Harvard
2428061.165	-1548	0.245	0.0936	Harvard
2428355.428	-1519	0.3881	0.083	Harvard
2428649.16	-1491	0.0015	0.0858	Harvard
2429014.23	-1455	-0.0433	0.0989	Harvard
2429379.34	-1419	-0.0466	0.0757	Harvard
2429755.053	-1381	0.4106	0.0812	Harvard
2430089.735	-1348	0.4041	0.0638	Harvard
2430434.349	-1315	0.189	0.0981	Harvard
2430890.713	-1270	0.1607	0.1533	Harvard
2431205.266	-1238	0.3097	0.05	Harvard
2431539.909	-1205	0.265	0.0384	Harvard
2431945.673	-1165	0.3468	0.0717	Harvard
2432290.545	-1131	0.389	0.1352	Harvard
2432655.084	-1096	-0.1855	0.121	Harvard
2433061.452	-1055	0.5002	0.1453	Harvard
2433436.402	-1019	0.1937	0.1477	Harvard
2433771.122	-986	0.2262	0.0793	Harvard
2434176.663	-946	0.0851	0.0841	Harvard
2436732.664	-693	0.2885	0.024	Mitchell1964
2436742.972	-692	0.455	0.032	Oosterhoff1960
2436783.126	-688	0.0403	0.01	Szabados1991 Arch.
2436793.43	-687	0.2022	0.01	Szabados1991 Arch.
2437270.239	-640	0.3347	0.04	Szabados1991 Arch.
2437848.127	-584	0.1255	0.0685	Harvard
2439287.872	-442	-0.3006	0.2047	Harvard
2439674.244	-403	0.6732	0.2926	Harvard
2440059.867	-365	0.898	0.3938	Harvard
2440393.415	-333	-0.2416	0.5351	Harvard
2440769.608	-295	0.6957	0.8775	Harvard
2441884.898	-185	0.3598	0.1703	Harvard
2442209.678	-153	0.5942	0.1901	Harvard
2442533.986	-121	0.3563	0.0994	Harvard
2442929.556	-82	0.3863	0.1333	Harvard
2443010.555	-74	0.2487	0.02	Szabados1991 Arch.
2443284.281	-48	0.14	0.1242	Harvard
2443609.061	-15	0.3737	0.1533	Harvard
2443730.491	-3	0.0989	0.0628	Szabados1981
2443771.166	0	0.2057	0.01	Szabados1991 Arch.
2444025.156	25	0.6443	0.2049	Harvard
2444400.213	62	0.4461	0.1108	Harvard
2444755.518	97	0.7787	0.2119	Harvard
2445048.835	125	-0.0241	0.1536	Harvard
2445343.214	154	0.2354	0.1009	Harvard
2445485.432	169	0.4652	0.1171	Berdnikov2008
2445536.028	174	0.3505	0.02	Szabados1991 Arch.
2445637.443	184	0.3451	0.1351	Harvard
2445931.703	213	0.4853	0.1117	Harvard
2446225.331	241	-0.0059	0.0992	Harvard
2446519.588	270	0.1318	0.0963	Harvard
2446915.442	310	0.4459	0.0689	Harvard
2447229.577	340	0.1771	0.1217	Harvard
2447391.811	357	0.1376	0.0183	Berdnikov2008
2447523.946	370	0.4264	0.1761	Harvard
2449927.198	607	0.0122	0.0111	Berdnikov2008
2450302.438	644	-0.0046	0.0237	Berdnikov2008
2452756.639	886	-0.1801	0.0358	IOMC
2453101.721	920	0.0727	0.0135	IOMC
2453862.213	995	-0.0897	0.0136	IOMC
2454237.365	1031	-0.1933	0.0278	IOMC
2454247.81	1033	0.109	0.0086	SWASP
2454572.143	1065	-0.1031	0.014	IOMC
2454937.23	1101	-0.13	0.0143	IOMC
2455495.15	1156	-0.0229	0.0107	IOMC
2455697.727	1175	-0.2871	0.0824	KWS
2455890.571	1195	-0.1419	0.0185	IOMC
2456073.118	1213	-0.1522	0.0333	KWS
2456255.745	1231	-0.082	0.0882	IOMC
