HJD	Epoch	O-C	O-Cerr	Source
2427470.424	-2416	0.2666	0.3323	AAVSO
2427815.501	-2381	0.8505	0.2558	AAVSO
2428159.272	-2346	0.1285	0.9687	AAVSO
2428503.973	-2311	0.3359	0.1069	AAVSO
2428848.348	-2276	0.2176	0.036	AAVSO
2429192.934	-2241	0.3109	0.0524	AAVSO
2429547.232	-2205	0.2729	0.0489	AAVSO
2429891.53	-2170	0.0776	0.0668	AAVSO
2430236.191	-2135	0.2462	0.1291	AAVSO
2431043.397	-2053	0.3541	0.3272	AAVSO
2431387.781	-2018	0.2441	0.1155	AAVSO
2431741.505	-1982	-0.3677	0.158	AAVSO
2432136.135	-1942	0.5559	0.3692	AAVSO
2432489.944	-1906	0.0291	0.1421	AAVSO
2432854.749	-1869	0.656	0.1282	AAVSO
2433346.454	-1819	0.228	0.2156	AAVSO
2433691.118	-1784	0.3989	0.1448	AAVSO
2434419.124	-1710	0.0479	0.0784	Eggen1957
2434419.208	-1710	0.1318	0.0579	Mitchell1964
2434429.189	-1709	0.2703	0.2143	AAVSO
2434793.077	-1672	-0.0207	0.1869	AAVSO
2434812.899	-1670	0.1166	0.0274	Eggen1957
2434812.899	-1670	0.1166	0.0244	Mitchell1964
2435147.571	-1636	0.1378	0.1319	AAVSO
2435167.281	-1634	0.1624	0.0295	Mitchell1964
2435541.169	-1596	0.0294	0.0978	AAVSO
2435541.24	-1596	0.1003	0.0474	Mitchell1964
2435905.635	-1559	0.3173	0.1276	AAVSO
2436270.019	-1522	0.5221	0.1691	AAVSO
2436632.979	-1485	-0.696	0.2244	AAVSO
2436978.233	-1450	0.0648	0.246	AAVSO
2437323.279	-1415	0.6179	0.1384	AAVSO
2437667.457	-1380	0.3021	0.0675	AAVSO
2438012.159	-1345	0.5112	0.0549	AAVSO
2438356.849	-1310	0.7081	0.1135	AAVSO
2438730.292	-1272	0.1306	0.1016	AAVSO
2439075.027	-1237	0.3723	0.0439	AAVSO
2439419.761	-1202	0.6127	0.0722	AAVSO
2439773.821	-1166	0.3375	0.0479	AAVSO
2440620.654	-1080	0.7012	0.2541	AAVSO
2440836.557	-1058	0.0657	0.0123	Pel1976
2441682.913	-972	-0.0468	0.0382	Dean1977
2443011.914	-837	0.1947	0.0118	Pel1976
2443484.203	-789	0.0353	0.037	Eggen1985
2446722.255	-460	-0.1478	0.1242	AAVSO
2447126.056	-419	0.1036	0.0696	AAVSO
2447480.501	-383	0.2135	0.0617	AAVSO
2447824.761	-348	-0.0202	0.0779	AAVSO
2447893.722	-341	0.0419	0.0093	Hipp
2447913.011	-339	-0.3535	0.0889	Shobbrook1992
2448169.592	-313	0.3182	0.117	AAVSO
2448238.21	-306	0.0371	0.0081	Hipp
2448572.485	-272	-0.3386	0.0958	AAVSO
2448582.785	-271	0.1194	0.008	Hipp
2448946.902	-234	0.0576	0.0183	Hipp
2448947.101	-234	0.2567	0.0773	AAVSO
2449301.288	-198	0.1075	0.0772	AAVSO
2449675.233	-160	0.032	0.0614	AAVSO
2450019.726	-125	0.0314	0.0682	AAVSO
2450501.866	-76	-0.1184	0.1396	AAVSO
2450846.364	-41	-0.1143	0.2091	AAVSO
2450885.84	-37	-0.0089	0.0224	Berdnikov2008
2451210.954	-4	0.2977	0.1051	AAVSO
2451250.027	0	0.0	0.0117	Berdnikov2008
2451555.207	31	0.0572	0.0628	AAVSO
2451614.218	37	0.0123	0.0169	Berdnikov2008
2451899.425	66	-0.2178	0.198	AAVSO
2451958.746	72	0.0471	0.0145	Berdnikov2008
2452312.811	108	-0.224	0.7379	AAVSO
2452313.068	108	0.0337	0.0087	Berdnikov2008
2452657.579	143	0.0518	0.0178	Berdnikov2008
2452814.764	159	-0.2458	0.0312	ASAS
2452893.906	167	0.1545	0.0905	AAVSO
2453002.026	178	0.0052	0.0079	Berdnikov2008
2453159.363	194	-0.1408	0.052	ASAS
2453504.028	229	0.0315	0.0205	ASAS
2453848.575	264	0.0856	0.0485	ASAS
2454193.089	299	0.1057	0.032	ASAS
2454537.545	334	0.069	0.0291	ASAS
2454881.975	369	0.0062	0.0774	ASAS
2455216.91	403	0.2907	0.1063	AAVSO
2455560.992	438	-0.1212	0.0971	AAVSO
2455905.804	473	0.1981	0.0448	AAVSO
2456259.989	509	0.0472	0.048	AAVSO
2456633.94	547	-0.0225	0.0476	AAVSO
2456978.549	582	0.0935	0.0981	AAVSO
2457116.549	596	0.2955	0.0355	ASASSN-V
2457323.046	617	0.0966	0.0628	AAVSO
2457460.98	631	0.2337	0.0317	ASASSN-V
2457667.657	652	0.2151	0.0612	AAVSO
2457805.52	666	0.2801	0.039	ASASSN-V
2458012.07	687	0.1348	0.0568	AAVSO
2458159.621	702	0.046	0.0375	ASASSN-V
2458356.511	722	0.0827	0.0689	AAVSO
2458720.512	759	-0.0948	0.0113	ASASSN-g
2459075.043	795	0.1002	0.0296	ASASSN-g
