HJD	Epoch	O-C	O-Cerr	Source
2416890.074	-1577	1.4735	0.07	Szabados1981 Arch.
2421499.558	-1307	0.9864	0.07	Szabados1981 Arch.
2423275.288	-1203	1.0238	0.05	Szabados1981 Arch.
2423326.55	-1200	1.0639	0.07	Szabados1981 Arch.
2423343.52	-1199	0.9599	0.07	Szabados1981 Arch.
2423633.609	-1182	0.7915	0.05	Szabados1981 Arch.
2423685.381	-1179	1.3416	0.07	Szabados1981 Arch.
2423906.725	-1166	0.724	0.05	Szabados1981 Arch.
2423923.886	-1165	0.8111	0.05	Szabados1981 Arch.
2424367.855	-1139	0.8569	0.05	Szabados1981 Arch.
2424794.818	-1114	0.9707	0.05	Szabados1981 Arch.
2424811.688	-1113	0.7668	0.05	Szabados1981 Arch.
2425733.573	-1059	0.6576	0.05	Szabados1981 Arch.
2425852.928	-1052	0.4948	0.05	Szabados1981 Arch.
2426433.14	-1018	0.1919	0.05	Szabados1981 Arch.
2426467.717	-1016	0.621	0.05	Szabados1981 Arch.
2426587.089	-1009	0.4752	0.05	Szabados1981 Arch.
2428192.677	-915	1.1103	0.1	Szabados1981 Arch.
2428259.895	-911	0.0324	0.05	Szabados1981 Arch.
2428943.083	-871	0.2618	0.05	Szabados1981 Arch.
2428959.65	-870	-0.2452	0.07	Szabados1981 Arch.
2429147.45	-859	-0.2588	0.07	Szabados1981 Arch.
2429540.578	-836	0.1679	0.07	Szabados1981 Arch.
2430052.653	-806	0.0239	0.07	Szabados1981 Arch.
2430120.52	-802	-0.405	0.07	Szabados1981 Arch.
2432767.06	-647	-0.3298	0.07	Szabados1981 Arch.
2432887.021	-640	0.1134	0.07	Szabados1981 Arch.
2433159.93	-624	-0.1611	0.07	Szabados1981 Arch.
2433671.91	-594	-0.4001	0.07	Szabados1981 Arch.
2433739.8	-590	-0.806	0.07	Szabados1981 Arch.
2433927.76	-579	-0.6596	0.05	Szabados1981 Arch.
2434150.412	-566	0.0308	0.1	Szabados1981 Arch.
2434354.723	-554	-0.5458	0.07	Szabados1981 Arch.
2435054.358	-513	-0.9434	0.05	Szabados1981 Arch.
2435106.448	-510	-0.0753	0.1	Szabados1981 Arch.
2436164.256	-448	-0.8533	0.02	Szabados1981 Arch.
2436727.544	-416	-1.0065	0.0537	Mitchell1964
2436778.84	-412	-0.9321	0.02	Szabados1981 Arch.
2436795.916	-411	-0.9301	0.02	Szabados1981 Arch.
2436898.24	-405	-1.0499	0.07	Szabados1981 Arch.
2437188.588	-389	-0.9597	0.2176	Mitchell1964
2437256.841	-384	-1.0022	0.02	Szabados1981 Arch.
2437581.29	-365	-0.9585	0.07	Szabados1981 Arch.
2437956.766	-344	-1.1098	0.05	Szabados1981 Arch.
2438230.002	-328	-1.0573	0.02	Szabados1981 Arch.
2440005.607	-224	-1.1449	0.02	Szabados1981 Arch.
2440790.977	-178	-1.1773	0.02	Szabados1981 Arch.
2443625.462	-12	-0.9711	0.1232	Szabados1981
2443830.174	0	-1.1465	0.02	Szabados1981 Arch.
2444069.341	13	-1.0151	0.2156	Moffett1984
2444427.678	34	-1.2311	0.107	Moffett1984
2444820.347	57	-1.2632	0.1297	Moffett1984
2445486.339	96	-1.1564	0.1286	Berdnikov2008
2445862.05	118	-1.0726	0.0937	Berdnikov2008
2447842.585	234	-1.1181	0.0357	Hipp
2448201.085	255	-1.1714	0.0301	Hipp
2448491.428	272	-1.0852	0.0513	Berdnikov2008
2448542.667	275	-1.0687	0.0185	Hipp
2448849.996	293	-1.071	0.0755	Berdnikov2008
2448986.548	301	-1.1103	0.1264	Hipp
2449925.659	356	-1.0677	0.0439	Berdnikov2008
2450301.248	378	-1.1057	0.0834	Berdnikov2008
2452589.055	512	-1.2104	0.0163	IOMC
2453254.992	551	-1.1584	0.0142	IOMC
2453801.356	583	-1.1611	0.0198	IOMC
2454433.29	620	-0.9645	0.012	IOMC
2454774.939	640	-0.7946	0.0087	IOMC
2455167.713	663	-0.7211	0.008	IOMC
2455697.093	694	-0.6341	0.0404	KWS
2456038.478	714	-0.7293	0.0459	KWS
2456397.039	735	-0.7212	0.0267	KWS
2456772.807	757	-0.5802	0.0189	KWS
2457063.035	774	-0.6097	0.0361	ASAS-SN
2457148.372	779	-0.6428	0.0272	KWS
2457438.74	796	-0.5324	0.0187	ASAS-SN
2457523.989	801	-0.6531	0.0251	KWS
2457814.421	818	-0.478	0.0281	ASAS-SN
2457882.648	822	-0.5474	0.0216	KWS
2458173.031	839	-0.4219	0.0234	ASAS-SN
2458241.227	843	-0.5212	0.0365	KWS
2458617.028	865	-0.3475	0.0155	KWS
