HJD	Epoch	O-C	O-Cerr	Source
2444920.989	-171	0.1243	0.1347	Berdnikov2008
2449799.996	-73	-3.7524	0.3135	Berdnikov2008
2450342.096	-62	-4.1955	0.2179	Berdnikov2008
2450787.544	-53	-2.6457	0.074	Berdnikov2008
2451231.843	-44	-2.245	0.1107	Berdnikov2008
2451577.184	-37	-2.1587	0.1031	Berdnikov2008
2451823.945	-32	-2.0079	0.2392	ASAS
2451922.156	-30	-2.4407	0.1069	Berdnikov2008
2452119.733	-26	-2.1522	0.3233	ASAS
2452317.463	-22	-1.7101	0.1825	Berdnikov2008
2452417.908	-19	0.0908	0.4442	ASAS
2452614.299	-16	-0.8068	0.2468	Berdnikov2008
2452713.397	-14	-0.3532	0.2037	ASAS
2452761.513	-13	-1.559	0.2788	IOMC
2452959.545	-9	-0.8155	0.1124	Berdnikov2008
2453009.669	-8	-0.0131	0.4737	ASAS
2453156.733	-5	-0.916	0.2417	IOMC
2453305.566	-2	-0.0487	0.1977	ASAS
2453551.324	2	-0.901	0.4354	IOMC
2453600.938	3	-0.609	0.2105	ASAS
2453844.876	8	-3.2815	0.2441	IOMC
2453895.542	9	-1.9372	0.2583	ASAS
2454191.373	15	-2.0388	0.2367	ASAS
2454487.234	21	-2.1102	0.2662	ASAS
2454784.607	27	-0.6694	0.2223	ASAS
2455081.563	34	0.3542	0.2595	ASAS
2455132.522	35	1.9911	0.3332	IOMC
2455478.194	42	2.4091	0.2426	IOMC
2455874.424	50	4.0622	0.2434	IOMC
2456272.387	58	7.4483	0.2827	IOMC
2456619.58	65	9.3876	0.0919	Berdnikov2015
2457406.938	81	7.5921	0.0916	ASASSN-V
2457703.093	87	7.815	0.0821	ASASSN-V
2457999.334	93	8.1236	0.1074	ASASSN-V
2458245.811	98	7.9906	0.0863	ASASSN-g
2458344.46	100	7.9954	0.1812	ASASSN-V
2458541.102	104	7.3487	0.0956	ASASSN-g
2458836.177	110	6.4914	0.2034	ASASSN-g
