HJD	Epoch	O-C	O-Cerr	Source
2413966.78	-4047	0.0155	0.1802	Harvard
2414589.643	-3858	0.1618	0.2604	Harvard
2415218.84	-3667	0.0522	0.045	Harvard
2415624.208	-3544	0.1605	0.0552	Harvard
2415986.595	-3434	0.1193	0.0227	Harvard
2416312.82	-3335	0.1591	0.015	Harvard
2416711.428	-3214	0.097	0.0185	Harvard
2417073.933	-3104	0.1737	0.0185	Harvard
2417452.903	-2989	0.2428	0.0466	Harvard
2417864.609	-2864	0.0991	0.0272	Harvard
2418181.028	-2768	0.2174	0.0249	Harvard
2418513.775	-2667	0.1897	0.0299	Harvard
2418935.478	-2539	0.1587	0.0194	Harvard
2419288.02	-2432	0.1568	0.0173	Harvard
2419680.043	-2313	0.0991	0.0468	Harvard
2420016.156	-2211	0.1428	0.0265	Harvard
2420385.236	-2099	0.2054	0.025	Harvard
2420734.437	-1993	0.1579	0.0281	Harvard
2421116.667	-1877	0.1913	0.0241	Harvard
2421439.478	-1779	0.1128	0.0324	Harvard
2421801.978	-1669	0.1851	0.0314	Harvard
2422170.941	-1557	0.1303	0.0262	Harvard
2422533.462	-1447	0.2238	0.0318	Harvard
2422908.981	-1333	0.1353	0.022	Harvard
2423310.952	-1211	0.1418	0.0332	Harvard
2423670.083	-1102	0.1392	0.0315	Harvard
2424016.035	-997	0.1378	0.0365	Harvard
2424371.936	-889	0.2011	0.066	Harvard
2424737.554	-778	0.0958	0.0491	Harvard
2425093.419	-670	0.1226	0.0252	Harvard
2425469.006	-556	0.1029	0.0273	Harvard
2425824.852	-448	0.1115	0.0207	Harvard
2426216.894	-329	0.0725	0.0254	Harvard
2426585.874	-217	0.0345	0.0208	Harvard
2426931.769	-112	-0.0243	0.0233	Harvard
2427300.81	0	0.0	0.0303	Harvard
2427659.965	109	0.0215	0.0312	Harvard
2428009.189	215	-0.0029	0.0378	Harvard
2428427.686	342	0.0545	0.0226	Harvard
2428776.841	448	-0.0386	0.0203	Harvard
2429129.458	555	0.0349	0.0274	Harvard
2429511.59	671	-0.0295	0.0182	Harvard
2429874.098	781	0.0505	0.0147	Harvard
2430210.162	883	0.0451	0.0178	Harvard
2430575.926	994	0.0871	0.0173	Harvard
2430977.81	1116	0.0055	0.0153	Harvard
2431340.239	1226	0.0074	0.0176	Harvard
2431676.369	1328	0.0678	0.0216	Harvard
2432015.682	1431	0.0168	0.0179	Harvard
2432427.493	1556	-0.022	0.0265	Harvard
2432793.19	1667	-0.0481	0.0483	Harvard
2433129.203	1769	-0.1038	0.0229	Harvard
2433511.549	1885	0.0454	0.0134	Harvard
2433840.966	1985	-0.0174	0.039	Harvard
2434667.832	2236	-0.1455	0.027	Harvard
2440209.65	3918	-0.1774	0.0612	Harvard
2440539.298	4018	-0.0091	0.1261	Harvard
2441240.904	4231	-0.1948	0.0371	Harvard
2441933.046	4441	0.0403	0.0624	Harvard
2442331.619	4562	-0.0579	0.0649	Harvard
2442667.668	4664	-0.0778	0.2268	Harvard
2443043.215	4778	-0.138	0.0692	Harvard
2443395.912	4885	0.0159	0.0657	Harvard
2443791.17	5005	-0.1023	0.042	Harvard
2444133.882	5109	-0.0488	0.0573	Harvard
2444516.085	5225	-0.042	0.0669	Harvard
2444911.482	5345	-0.0211	0.0689	Harvard
2445231.004	5442	-0.0945	0.1847	Harvard
2445560.588	5542	0.0097	0.0423	Harvard
2445936.011	5656	-0.174	0.0299	Harvard
2446268.884	5757	-0.0757	0.0489	Harvard
2446654.361	5874	-0.0897	0.042	Harvard
2447029.971	5988	-0.0868	0.0585	Harvard
2447412.208	6104	-0.0464	0.0773	Harvard
2447919.564	6258	-0.0888	0.0022	Hipp
2448311.653	6377	-0.0808	0.0105	Hipp
2448657.58	6482	-0.1077	0.0038	Hipp
2450011.799	6893	-0.051	0.0137	AAVSO
2450311.54	6984	-0.1363	0.0049	Berdnikov2008
2450746.419	7116	-0.1705	0.0253	AAVSO
2451046.296	7207	-0.1196	0.0143	AAVSO
2452136.902	7538	-0.0922	0.0463	AAVSO
2453342.786	7904	-0.1039	0.0197	AAVSO
2453649.192	7997	-0.114	0.0323	AAVSO
2453949.012	8088	-0.1207	0.0102	AAVSO
2454344.402	8208	-0.1065	0.016	AAVSO
2454696.906	8315	-0.1453	0.0255	AAVSO
2455065.922	8427	-0.1469	0.0172	AAVSO
2455840.204	8662	-0.1422	0.0036	KWS
2455869.872	8671	-0.1276	0.0134	AAVSO
2456179.573	8765	-0.1371	0.0025	KWS
2456551.886	8878	-0.1362	0.0023	KWS
2456713.375	8927	-0.093	0.0145	AAVSO
2456914.312	8988	-0.1381	0.0026	KWS
2457227.301	9083	-0.1547	0.0044	ASASSN-V
2457283.318	9100	-0.1492	0.0026	KWS
2457599.618	9196	-0.1497	0.0038	ASASSN-V
2457629.272	9205	-0.1492	0.0037	KWS
2457688.556	9223	-0.1715	0.0298	AAVSO
2457958.724	9305	-0.1768	0.0077	ASASSN-V
2458018.075	9323	-0.1321	0.0026	KWS
2458225.589	9386	-0.1905	0.0061	ASASSN-g
2458344.209	9422	-0.1831	0.0149	ASASSN-V
2458403.555	9440	-0.1441	0.0024	KWS
2458535.332	9480	-0.1585	0.0057	ASASSN-g
2458746.215	9544	-0.1429	0.003	KWS
2458805.521	9562	-0.143	0.0093	Piszkes
2458835.12	9571	-0.1972	0.0059	ASASSN-g
