HJD	Epoch	O-C	O-Cerr	Source
2437593.009	-3133	0.0495	0.0761	Mitchell1964
2447163.349	-1184	0.2086	0.051	Henden1996
2449245.208	-760	0.0995	0.0079	Henden1996
2449809.879	-645	0.0854	0.0184	Henden1996
2452618.56	-73	0.0735	0.01	ASAS
2452918.125	-12	0.1095	0.0274	ASAS
2452981.849	0	0.0	0.0037	Berdnikov2008
2453266.603	57	-0.0435	0.0185	ASAS
2453620.211	130	0.022	0.0114	ASAS
2454091.612	226	0.0348	0.0233	ASAS
2454391.149	287	0.0429	0.0109	ASAS
2454725.059	355	0.0526	0.0111	ASAS
2455088.328	428	-0.041	0.0552	ASAS
2456266.956	669	0.1145	0.0473	KWS
2456576.186	731	-0.005	0.0416	KWS
2456635.138	744	0.0229	0.0062	Berdnikov2015
2456954.269	808	-0.0151	0.0519	KWS
2457244.009	868	0.0164	0.0025	ASASSN-V
2457302.891	879	-0.0245	0.0416	KWS
2457607.37	942	0.0149	0.0014	ASASSN-V
2457656.363	951	-0.0945	0.033	KWS
2457970.718	1016	0.0007	0.0017	ASASSN-V
2458034.529	1028	-0.0224	0.0291	KWS
2458221.138	1066	-0.005	0.0024	ASASSN-g
2458368.452	1097	0.0007	0.0043	ASASSN-V
2458398.001	1103	0.0879	0.0031	OGLE
2458407.813	1105	0.0793	0.0307	KWS
2458520.659	1127	-0.0117	0.0033	ASASSN-g
2458766.082	1177	-0.1045	0.0457	KWS
2458820.184	1188	-0.0153	0.0021	ASASSN-g
2459119.715	1249	-0.0132	0.0077	ASASSN-g
