HJD	Epoch	O-C	O-Cerr	Source
2437596.534	-4120	-0.0779	0.0034	Mitchell1964
2443519.706	-2597	-0.0769	0.0074	Henden1980
2448007.861	-1443	0.0026	0.007	Hipp
2448486.249	-1320	0.0261	0.0039	Hipp
2448653.438	-1277	-0.0184	0.0048	Schmidt1995
2450808.06	-723	0.0165	0.003	Berdnikov2008
2452495.927	-289	-0.0065	0.0038	ASAS
2452892.607	-187	-0.0198	0.0035	ASAS
2452985.977	-163	0.0114	0.0022	Berdnikov2008
2453297.099	-83	0.0012	0.0033	ASAS
2453697.678	20	-0.002	0.0022	ASAS
2454102.147	124	-0.0039	0.0035	ASAS
2454498.839	226	-0.0048	0.003	ASAS
2454899.428	329	0.0015	0.0055	ASAS
2455863.908	577	-0.0272	0.0189	KWS
2456268.39	681	-0.0158	0.0061	KWS
2456633.983	775	-0.0025	0.0028	Berdnikov2015
2456665.093	783	-0.0057	0.0062	KWS
2457007.32	871	-0.0243	0.0019	ASASSN-V
2457061.773	885	-0.0192	0.0069	KWS
2457404.013	973	-0.024	0.0016	ASASSN-V
2457656.816	1038	-0.0155	0.0064	KWS
2457800.711	1075	-0.0191	0.0023	ASASSN-V
2458053.497	1140	-0.0276	0.0045	KWS
2458197.395	1177	-0.0276	0.003	ASASSN-V
2458220.732	1183	-0.0263	0.0015	ASASSN-g
2458450.189	1242	-0.0285	0.0047	KWS
2458710.761	1309	-0.0295	0.0016	ASASSN-g
2458804.119	1333	-0.0113	0.084	Piszkes
2458846.87	1344	-0.0405	0.0086	KWS
