HJD	Epoch	O-C	O-Cerr	Source
2415651.0	-3644	-0.0879	0.0496	Harvard
2415945.392	-3614	-0.0494	0.0462	Harvard
2416308.42	-3577	-0.0588	0.089	Harvard
2416671.431	-3540	-0.0852	0.041	Harvard
2417034.538	-3503	-0.0146	0.1033	Harvard
2417064.135	-3500	0.1461	0.2	Szabados1991 Arch.
2417436.72	-3462	-0.1175	0.2342	Harvard
2417770.41	-3428	-0.0287	0.0675	Harvard
2418212.047	-3383	0.0768	0.1365	Harvard
2418555.387	-3348	0.0026	0.0549	Harvard
2418849.698	-3318	-0.0405	0.1125	Harvard
2419183.293	-3284	-0.0475	0.1118	Harvard
2419663.885	-3235	-0.2337	0.0627	Harvard
2419968.132	-3204	-0.1528	0.1036	Harvard
2420379.945	-3162	-0.436	0.1573	Harvard
2420704.086	-3129	-0.0848	0.0546	Harvard
2421037.817	-3095	0.0446	0.0973	Harvard
2421381.055	-3060	-0.1311	0.0855	Harvard
2421675.48	-3030	-0.0611	0.365	Harvard
2421979.678	-2999	-0.0287	0.0424	Harvard
2422273.798	-2969	-0.2633	0.2029	Harvard
2422568.523	-2939	0.1078	0.0917	Harvard
2422862.573	-2909	-0.1968	0.0715	Harvard
2423264.971	-2868	-0.0833	0.0658	Harvard
2423608.472	-2833	0.0046	0.103	Harvard
2423961.643	-2797	-0.0504	0.0914	Harvard
2424353.838	-2757	-0.3275	0.0752	Harvard
2424727.401	-2718	0.3865	0.2334	Harvard
2425050.685	-2686	-0.1192	0.0446	Harvard
2425413.906	-2649	0.0645	0.0315	Harvard
2425796.545	-2610	0.0426	0.0297	Harvard
2426179.029	-2571	-0.1342	0.0575	Harvard
2426551.875	-2533	-0.137	0.0384	Harvard
2426905.146	-2497	-0.091	0.0394	Harvard
2427248.567	-2462	-0.0834	0.0745	Harvard
2427641.126	-2422	0.0031	0.0406	Harvard
2427935.434	-2392	-0.0432	0.0445	Harvard
2428318.169	-2353	0.0313	0.0424	Harvard
2428602.277	-2324	-0.404	0.2	Szabados1991 Arch.
2428730.226	-2311	-0.0081	0.037	Harvard
2429073.58	-2276	-0.0676	0.0482	Harvard
2429171.483	-2266	-0.2831	0.2	Szabados1991 Arch.
2429436.661	-2239	-0.0238	0.0311	Harvard
2429809.586	-2201	0.0522	0.0301	Harvard
2430172.603	-2164	0.0327	0.0414	Harvard
2430525.879	-2128	0.0832	0.0369	Harvard
2430584.908	-2122	0.2408	0.2	Szabados1991 Arch.
2430879.039	-2092	0.0179	0.0396	Harvard
2430977.398	-2082	0.2583	0.2	Szabados1991 Arch.
2431232.283	-2056	0.0361	0.0317	Harvard
2431585.468	-2020	-0.0039	0.0168	Harvard
2431879.926	-1990	0.1002	0.0488	Harvard
2432174.126	-1960	-0.0542	0.0388	Harvard
2432468.685	-1930	0.1499	0.0661	Harvard
2432763.098	-1900	0.2083	0.0675	Harvard
2433096.458	-1866	-0.0332	0.0435	Harvard
2433430.12	-1832	0.0272	0.0792	Harvard
2433832.329	-1791	-0.0483	0.1347	Harvard
2434205.315	-1753	0.0895	0.0657	Harvard
2435048.832	-1667	-0.2101	0.2	Romano1958 Arch.
2435127.832	-1659	0.2954	0.2	Romano1958 Arch.
2435362.892	-1635	-0.1281	0.2	Romano1958 Arch.
2435480.762	-1623	0.0002	0.2	Romano1958 Arch.
2435637.972	-1607	0.2212	0.2	Romano1958 Arch.
2435686.972	-1602	0.1621	0.2	Romano1958 Arch.
2435696.972	-1601	0.3503	0.2	Romano1958 Arch.
2435745.932	-1596	0.2512	0.2	Romano1958 Arch.
2436138.269	-1556	0.1156	0.2	Szabados1991 Arch.
2436491.152	-1520	-0.2266	0.2	Szabados1991 Arch.
2436491.301	-1520	-0.0775	0.0715	Harvard
2436775.909	-1491	-0.0123	0.0197	Oosterhoff1960
2436776.01	-1491	0.0888	0.012	Mitchell1964
2436805.458	-1488	0.1014	0.02	Szabados1991 Arch.
2436844.378	-1484	-0.2259	0.2	Szabados1991 Arch.
2436932.942	-1475	0.0318	0.2	Szabados1991 Arch.
2437197.859	-1448	0.0298	0.2	Szabados1991 Arch.
2437580.381	-1409	-0.1089	0.2	Szabados1991 Arch.
2437924.032	-1374	0.1287	0.2	Szabados1991 Arch.
2438296.948	-1336	0.1958	0.2	Szabados1991 Arch.
2438689.448	-1296	0.2233	0.02	Szabados1991 Arch.
2440828.296	-1078	0.0964	0.1597	Harvard
2441181.372	-1042	-0.0527	0.1348	Harvard
2442250.865	-933	-0.0472	0.1078	Harvard
2442634.035	-893	0.4616	0.0849	Harvard
2442712.263	-885	0.1953	0.0277	Szabados1980
2442780.938	-879	0.1872	0.02	Szabados1991 Arch.
2443310.893	-825	0.3051	0.0736	Harvard
2443389.276	-817	0.1928	0.02	Szabados1991 Arch.
2443693.414	-786	0.1648	0.0627	Harvard
2444105.382	-744	0.0367	0.016	Moffett1984
2444252.676	-729	0.1533	0.02	Szabados1991 Arch.
2444488.202	-705	0.1958	0.1637	Harvard
2444821.757	-670	0.1493	0.0158	Moffett1984
2444959.151	-657	0.1778	0.02	Szabados1991 Arch.
2445076.899	-645	0.1848	0.1043	Harvard
2445125.887	-640	0.1129	0.04	Szabados1991 Arch.
2445675.404	-584	0.1692	0.0939	Harvard
2445970.069	-553	0.4796	0.0646	Harvard
2446264.279	-524	0.3345	0.0548	Harvard
2446588.17	-490	0.4362	0.0709	Harvard
2446607.448	-488	0.0909	0.0124	Berdnikov2008
2447000.094	-449	0.2637	0.0725	Harvard
2447333.694	-415	0.2621	0.1775	Harvard
2447863.597	-360	0.3276	0.0277	Hipp
2448157.889	-330	0.265	0.0275	Hipp
2448461.933	-299	0.1432	0.0185	Hipp
2448501.104	-295	0.0669	0.0159	Berdnikov2008
2448756.076	-270	-0.0681	0.0374	Hipp
2449933.699	-149	0.1369	0.0428	Berdnikov2008
2450306.487	-111	0.0765	0.0161	Berdnikov2008
2452985.024	161	-0.0122	0.0091	IOMC
2453289.248	192	0.0461	0.0143	IOMC
2453613.091	225	0.0989	0.0073	IOMC
2455202.624	387	0.1187	0.0099	IOMC
2455546.052	422	0.1333	0.0091	IOMC
2455889.476	457	0.1434	0.0317	IOMC
2456262.377	495	0.1954	0.0157	KWS
