HJD	Epoch	O-C	O-Cerr	Source
2436050.655	-1420	0.0346	0.0332	Arp1959
2436106.681	-1413	0.057	0.0109	Mitchell1964
2436106.706	-1413	0.0817	0.0158	AAVSO
2436162.431	-1406	-0.1966	0.1	Szabados1991 Arch.
2436746.72	-1333	0.0544	0.0235	Hoffmeister1960
2436802.605	-1326	-0.0647	0.08	Szabados1991 Arch.
2437218.715	-1274	0.0179	0.06	Szabados1991 Arch.
2437946.651	-1183	-0.0939	0.06	Szabados1991 Arch.
2438706.789	-1088	-0.0059	0.06	Szabados1991 Arch.
2442682.984	-592	-0.0724	0.0571	Szabados1981
2442691.011	-590	-0.0459	0.03	Szabados1991 Arch.
2443307.041	-514	-0.0562	0.075	Harris1980
2443467.166	-493	0.0581	0.05	Szabados1991 Arch.
2443715.001	-463	-0.1231	0.0421	Harris1980
2444099.118	-415	-0.032	0.0053	Moffett1984
2444291.138	-390	-0.0241	0.02	Szabados1991 Arch.
2444531.046	-360	-0.1318	0.03	Szabados1991 Arch.
2444547.18	-358	0.0015	0.1118	Moffett1984
2444907.255	-313	0.0524	0.0058	Moffett1984
2444971.187	-305	-0.0198	0.02	Szabados1991 Arch.
2445483.23	-242	-0.0102	0.009	Berdnikov2008
2445683.263	-216	0.0094	0.02	Szabados1991 Arch.
2445875.279	-192	0.0126	0.0145	Berdnikov2008
2446259.314	-144	0.0226	0.0069	Berdnikov2008
2446283.305	-141	0.012	0.02	Szabados1991 Arch.
2446603.321	-101	0.0073	0.0064	Berdnikov2008
2447395.358	-3	-0.0079	0.0079	Berdnikov2008
2447739.387	39	-0.0015	0.0077	Berdnikov2008
2447867.406	56	0.0084	0.0078	Hipp
2448163.426	93	0.0094	0.0109	Hipp
2448467.498	131	0.0613	0.03	Hipp
2448499.441	135	0.0019	0.0086	Berdnikov2008
2448851.458	178	-0.0035	0.0068	Berdnikov2008
2449611.494	273	-0.0178	0.0135	Berdnikov2008
2449931.49	313	-0.0431	0.0211	Berdnikov2008
2450299.569	360	0.0118	0.0099	Berdnikov2008
2452979.724	694	-0.0098	0.0159	IOMC
2453291.786	734	0.0318	0.0129	IOMC
2453707.841	786	0.0597	0.0069	IOMC
2455195.987	972	0.1083	0.0101	IOMC
2455548.034	1016	0.1322	0.0123	IOMC
2456260.058	1105	0.1085	0.0131	KWS
2456556.076	1142	0.1074	0.0091	KWS
2456860.116	1180	0.1277	0.0087	KWS
2457164.162	1218	0.1536	0.0084	ASASSN-V
2457228.18	1226	0.1676	0.012	KWS
2457388.194	1246	0.1712	0.004	IOMC
2457524.192	1263	0.1603	0.0083	ASASSN-V
2457604.213	1273	0.1754	0.009	KWS
2457756.221	1292	0.1736	0.0061	IOMC
2457892.199	1309	0.1428	0.0061	ASASSN-V
2457948.221	1316	0.1613	0.0093	KWS
2458260.231	1355	0.1503	0.0109	ASASSN-g
2458260.264	1355	0.1837	0.011	ASASSN-V
2458308.255	1361	0.1718	0.0085	KWS
2458308.278	1361	0.1939	0.0049	IOMC
2458612.295	1399	0.1915	0.009	ASASSN-g
2458692.297	1409	0.1882	0.0054	KWS
2458980.304	1445	0.1763	0.0133	ASASSN-g
2459060.305	1455	0.1714	0.0094	KWS
