HJD	Epoch	O-C	O-Cerr	Source
2412779.13	-3576	0.9553	0.3283	Harvard
2413674.723	-3496	0.5958	0.3861	Harvard
2414033.034	-3464	0.5258	0.1104	Harvard
2414749.824	-3400	0.5538	0.1442	Harvard
2415096.769	-3369	0.3176	0.3774	Harvard
2415444.088	-3338	0.4544	0.1297	Harvard
2415813.714	-3305	0.5004	0.1975	Harvard
2416194.615	-3271	0.6213	0.2013	Harvard
2416541.59	-3240	0.4144	0.135	Harvard
2416900.038	-3208	0.4817	0.1652	Harvard
2417247.387	-3177	0.6492	0.2224	Harvard
2417650.385	-3141	0.4685	0.1055	Harvard
2418019.882	-3108	0.3854	0.0853	Harvard
2418366.944	-3077	0.2652	0.2341	Harvard
2418747.671	-3043	0.2125	0.4067	Harvard
2420237.538	-2910	0.5579	0.2646	Harvard
2420595.661	-2878	0.3006	0.2212	Harvard
2420942.742	-2847	0.1998	0.1914	Harvard
2421312.468	-2814	0.3452	0.1719	Harvard
2421659.71	-2783	0.4061	0.2392	Harvard
2422006.549	-2752	0.0635	0.2578	Harvard
2422421.072	-2715	0.2077	0.1292	Harvard
2423160.152	-2649	0.1273	0.1772	Harvard
2423507.322	-2618	0.1157	0.252	Harvard
2423899.381	-2583	0.1954	0.1938	Harvard
2424268.907	-2550	0.1411	0.1863	Harvard
2424615.953	-2519	0.0048	0.3716	Harvard
2425209.641	-2466	0.1245	0.2749	Harvard
2425590.497	-2432	0.2011	0.1694	Harvard
2425937.694	-2401	0.2164	0.1642	Harvard
2426329.642	-2366	0.1854	0.1758	Harvard
2426687.965	-2334	0.1271	0.2136	Harvard
2427035.086	-2303	0.0659	0.1884	Harvard
2427427.06	-2268	0.0611	0.2399	Harvard
2427807.867	-2234	0.0885	0.182	Harvard
2428154.953	-2204	-0.0072	0.2604	Harvard
2428502.247	-2172	0.1052	0.2669	Harvard
2428849.376	-2141	0.0519	0.1746	Harvard
2429196.74	-2110	0.2343	0.2404	Harvard
2429554.861	-2079	-0.0256	0.1895	Harvard
2429902.251	-2047	0.1831	0.2035	Harvard
2430249.4	-2016	0.1509	0.1766	Harvard
2430663.662	-1979	0.0341	0.2436	Harvard
2431044.502	-1945	0.0949	0.1669	Harvard
2431414.059	-1912	0.0714	0.1756	Harvard
2431761.122	-1882	-0.0478	0.2328	Harvard
2432119.564	-1849	0.0134	0.178	Harvard
2432466.808	-1818	0.0758	0.1896	Harvard
2432847.501	-1785	-0.011	0.2544	Harvard
2433217.12	-1751	0.0273	0.2594	Harvard
2433653.749	-1713	-0.1199	0.2685	Harvard
2434886.059	-1602	0.2551	0.215	Mitchell1964
2434897.14	-1601	0.1365	0.2385	Harvard
2440922.236	-1064	-0.048	0.0498	Pel1976
2441638.921	-1000	-0.1253	0.0849	Madore1975
2444640.567	-731	0.0792	0.2661	Harvard
2444640.608	-731	0.1209	0.0112	Coulson1985
2444987.763	-700	0.0941	0.2277	Harvard
2444998.939	-699	0.0708	0.0245	Coulson1985
2445346.029	-669	-0.0214	0.1598	Harvard
2446443.674	-570	0.0821	0.2092	Harvard
2447182.752	-505	-0.0012	0.109	Harvard
2447888.414	-441	0.0985	0.0323	Hipp
2448291.556	-405	0.0622	0.0288	Hipp
2448649.933	-373	0.0579	0.0325	Hipp
2451864.118	-86	0.013	0.0334	ASAS
2452211.286	-56	-0.0006	0.0323	ASAS
2452558.466	-25	-0.0022	0.0209	ASAS
2452760.007	-7	-0.0501	0.0457	IOMC
2452905.65	6	-0.0	0.0216	ASAS
2453163.242	29	0.0058	0.0305	IOMC
2453331.263	44	0.0354	0.0632	ASAS
2453521.593	60	-0.0239	0.0859	IOMC
2453678.384	74	-0.0253	0.0286	ASAS
2453868.711	91	-0.0881	0.0833	IOMC
2454081.567	110	-0.0206	0.0285	ASAS
2454428.721	141	-0.0483	0.0247	ASAS
2454775.937	172	-0.0139	0.0246	ASAS
2456209.352	300	-0.1229	0.0188	Bochum
2456646.189	339	-0.0625	0.0343	Berdnikov2015
2456679.809	342	-0.0414	0.0122	Bochum
2457418.987	408	-0.0236	0.0678	ASASSN-V
2457766.031	439	-0.1613	0.1018	ASASSN-V
2458113.231	470	-0.1429	0.1212	ASASSN-V
2458281.133	485	-0.232	0.1581	ASASSN-g
2458628.462	516	-0.0844	0.1669	ASASSN-g
