HJD	Epoch	O-C	O-Cerr	Source
2417739.926	-13984	-1.2854	0.0886	Berdnikov1997 Arch.
2424375.114	-11329	-1.109	0.02	Szabados1991 Arch.
2424695.069	-11201	-1.034	0.03	Szabados1991 Arch.
2427546.539	-10060	-0.9949	0.03	Szabados1991 Arch.
2429093.606	-9441	-0.8486	0.0487	Berdnikov1997 Arch.
2429310.924	-9354	-0.9483	0.0517	Berdnikov1997 Arch.
2429453.401	-9297	-0.9185	0.0665	Berdnikov1997 Arch.
2429833.292	-9145	-0.8851	0.0309	Berdnikov1997 Arch.
2432974.846	-7888	-0.6527	0.03	Szabados1991 Arch.
2433092.204	-7841	-0.7509	0.0163	AAVSO
2436099.058	-6637	-0.2695	0.03	Szabados1991 Arch.
2437131.191	-6225	-0.2502	0.0345	AAVSO
2437176.231	-6206	-0.1927	0.02	Szabados1991 Arch.
2437578.622	-6045	-0.1508	0.02	Szabados1991 Arch.
2438495.772	-5678	-0.1569	0.02	Szabados1991 Arch.
2438870.653	-5528	-0.1354	0.02	Szabados1991 Arch.
2438905.8	-5514	0.0243	0.0958	AAVSO
2440185.353	-5002	0.0575	0.05	Szabados1991 Arch.
2441297.457	-4557	0.0785	0.03	Szabados1991 Arch.
2441467.411	-4489	0.0956	0.0136	Szabados1977
2441737.329	-4381	0.1154	0.02	Szabados1991 Arch.
2441859.787	-4332	0.1186	0.0096	Szabados1977
2442239.502	-4181	-0.0233	0.0386	AAVSO
2443044.336	-3858	0.1124	0.03	Szabados1991 Arch.
2443289.213	-3760	0.0813	0.003	Moffett1984
2443349.181	-3736	0.0711	0.0104	Szabados1991
2443379.217	-3724	0.119	0.02	Szabados1991 Arch.
2443399.222	-3716	0.1315	0.02	Szabados1991 Arch.
2443641.567	-3620	0.0667	0.0062	Moffett1984
2443711.433	-3592	-0.0409	0.0408	AAVSO
2443713.993	-3591	0.0199	0.0359	Szabados1991
2443754.079	-3574	0.1215	0.03	Szabados1991 Arch.
2443871.536	-3527	0.1226	0.02	Szabados1991 Arch.
2444003.945	-3474	0.0811	0.0062	Moffett1984
2444079.041	-3444	0.2046	0.0141	Berdnikov1997 Arch.
2444106.376	-3434	0.0505	0.0152	Szabados1991
2444148.939	-3416	0.1296	0.02	Szabados1991 Arch.
2444533.77	-3262	0.1049	0.05	Szabados1991 Arch.
2444683.74	-3202	0.1311	0.03	Szabados1991 Arch.
2444868.642	-3128	0.1024	0.03	Szabados1991 Arch.
2445645.867	-2817	0.1188	0.02	Szabados1991 Arch.
2446340.664	-2539	0.1763	0.05	Szabados1991 Arch.
2446612.996	-2430	0.1097	0.0195	Berdnikov2008
2446995.408	-2277	0.1659	0.0418	Berdnikov2008
2447342.895	-2138	0.2831	0.02	Szabados1991 Arch.
2447397.755	-2116	0.1629	0.0094	Berdnikov2008
2448100.01	-1835	0.1816	0.0125	Berdnikov2008
2448502.413	-1674	0.2359	0.0077	Berdnikov2008
2448854.86	-1533	0.3149	0.0099	Berdnikov2008
2449616.99	-1228	0.2308	0.0315	Berdnikov2008
2449622.167	-1226	0.4096	0.0209	Berdnikov1997 Arch.
2449931.974	-1102	0.3325	0.0189	Berdnikov2008
2449962.163	-1090	0.533	0.0254	Berdnikov1997 Arch.
2449966.967	-1088	0.3387	0.0058	Kiss1998
2450274.352	-965	0.3392	0.0054	Kiss1998
2450304.373	-953	0.3713	0.008	Berdnikov2008
2450406.926	-912	0.4622	0.0557	AAVSO
2450706.788	-792	0.4365	0.0642	AAVSO
2451006.635	-672	0.3966	0.0433	AAVSO
2451091.601	-638	0.3946	0.0053	Oja2011
2451308.992	-551	0.3667	0.0507	AAVSO
2451391.507	-518	0.4126	0.0028	Oja2011
2451684.015	-401	0.53	0.0883	AAVSO
2452731.097	17	0.5046	0.0056	SMEI
2452756.126	27	0.5436	0.0129	SMEI
2452781.123	37	0.5497	0.0096	SMEI
2452916.072	91	0.5493	0.0048	SMEI
2452941.049	101	0.5355	0.0077	SMEI
2452966.068	111	0.5637	0.0038	SMEI
2452991.093	121	0.5987	0.0787	SMEI
2453093.546	162	0.5893	0.012	SMEI
2453118.551	172	0.6039	0.0064	SMEI
2453143.534	182	0.5964	0.0056	SMEI
2453281.011	237	0.6248	0.0077	SMEI
2453305.989	247	0.612	0.0037	SMEI
2453330.979	257	0.6118	0.0041	SMEI
2453460.939	309	0.6205	0.0065	SMEI
2453485.941	319	0.6316	0.0064	SMEI
2453553.513	346	0.729	0.081	AAVSO
2453648.35	384	0.602	0.0059	SMEI
2453673.372	394	0.6327	0.0046	SMEI
2453698.359	404	0.6294	0.0042	SMEI
2453860.833	469	0.664	0.0075	SMEI
2453885.772	479	0.6129	0.0103	SMEI
2453885.931	479	0.7723	0.0498	AAVSO
2453910.793	489	0.6434	0.0067	SMEI
2453935.787	499	0.6469	0.0074	SMEI
2453960.771	509	0.6404	0.0039	SMEI
2453985.759	519	0.6371	0.005	SMEI
2454010.744	529	0.6313	0.0064	SMEI
2454035.745	539	0.6419	0.0038	SMEI
2454060.758	549	0.6648	0.0053	SMEI
2454185.802	599	0.7554	0.0517	AAVSO
2454190.723	601	0.6778	0.011	SMEI
2454215.683	611	0.6473	0.0106	SMEI
2454240.654	621	0.6276	0.0181	SMEI
2454258.213	628	0.6935	0.0046	Kelt
2454278.217	636	0.7053	0.0086	SMEI
