HJD	Epoch	O-C	O-Cerr	Source
2416587.409	585831	-0.3532	0.1267	Harvard
2423781.772	587772	-0.2495	0.0982	Harvard
2424497.079	587965	-0.2915	0.0807	Harvard
2425208.939	588158	-0.0745	0.1651	Harvard
2425586.79	588259	-0.2836	0.0559	Harvard
2425916.688	588348	-0.2615	0.0336	Harvard
2426265.085	588442	-0.2727	0.0382	Harvard
2426657.954	588548	-0.2892	0.0312	Harvard
2427058.186	588656	-0.3563	0.0507	Harvard
2427425.167	588755	-0.3158	0.0552	Harvard
2427806.796	588858	-0.4533	0.0485	Harvard
2428103.483	588938	-0.2846	0.0604	Harvard
2428463.063	589035	-0.2319	0.0436	Harvard
2428818.94	589131	-0.1764	0.0578	Harvard
2429185.823	589230	-0.234	0.0629	Harvard
2429574.998	589335	-0.2385	0.0422	Harvard
2429923.397	589429	-0.247	0.0468	Harvard
2430249.601	589517	-0.2128	0.0527	Harvard
2430623.927	589618	-0.2409	0.0467	Harvard
2431050.162	589733	-0.2495	0.0535	Harvard
2431361.554	589817	-0.2015	0.0495	Harvard
2431743.239	589920	-0.2824	0.0714	Harvard
2432121.312	590022	-0.2699	0.0475	Harvard
2432473.524	590117	-0.1723	0.0412	Harvard
2432836.737	590215	-0.1939	0.0796	Harvard
2433177.666	590307	-0.2595	0.0441	Harvard
2434015.331	590533	-0.2572	0.0861	Harvard
2445372.122	593598	-0.094	0.0384	Harvard
2445672.356	593679	-0.0836	0.0322	Harvard
2446076.405	593788	-0.0402	0.0425	Harvard
2446432.209	593884	-0.0574	0.0538	Harvard
2446787.96	593980	-0.128	0.0485	Harvard
2447117.855	594069	-0.1085	0.0532	Harvard
2451502.7	595252	-0.0184	0.0248	NSVS
2451865.937	595350	-0.016	0.0126	ASAS
2452166.181	595431	0.0041	0.0129	ASAS
2452518.292	595526	0.0	0.0106	ASAS
2452814.822	595606	0.0131	0.0219	ASAS
2453111.329	595686	0.0019	0.0137	ASAS
2453407.845	595766	0.0001	0.0133	ASAS
2453704.37	595846	0.0073	0.0135	ASAS
2454078.74	595947	0.0239	0.0064	Berdnikov2009
2454089.842	595950	0.0062	0.0167	ASAS
2454386.355	596030	0.0022	0.0227	ASAS
2454441.97	596045	0.0201	0.0059	Berdnikov2009
2454701.413	596115	0.0101	0.0151	ASAS
2455854.136	596426	0.0201	0.0034	Bochum
2456206.257	596521	0.0264	0.0034	Bochum
2456562.094	596617	0.0424	0.0039	Bochum
2457418.291	596848	0.0447	0.0054	ASASSN-V
2457714.809	596928	0.0452	0.0055	ASASSN-V
2458011.333	597008	0.0514	0.0054	ASASSN-V
2458281.907	597081	0.0527	0.0071	ASASSN-g
2458363.449	597103	0.0529	0.0056	ASASSN-V
2458578.422	597161	0.0504	0.0089	ASASSN-g
