HJD	Epoch	O-C	O-Cerr	Source
2414941.612	-8583	-4.7338	0.1008	Harvard
2415368.292	-8447	-4.6554	0.1079	Harvard
2415688.542	-8345	-4.3574	0.1026	Harvard
2416030.031	-8236	-4.7769	0.115	Harvard
2416381.563	-8124	-4.5644	0.0802	Harvard
2416745.509	-8008	-4.4842	0.0308	Harvard
2417096.957	-7896	-4.3558	0.0227	Harvard
2417473.09	-7776	-4.6366	0.1256	Harvard
2417881.11	-7646	-4.398	0.0098	Harvard
2420081.213	-6945	-3.1764	0.0518	Harvard
2420435.884	-6831	-2.9614	0.0425	Harvard
2420774.72	-6723	-2.8977	0.0495	Harvard
2421160.902	-6600	-2.5397	0.095	Harvard
2421537.579	-6480	-2.2763	0.0498	Harvard
2421904.971	-6363	-1.8871	0.0145	Harvard
2422240.919	-6256	-1.5744	0.3011	Harvard
2422945.941	-6031	-2.3281	0.372	Harvard
2423317.566	-5913	-0.8427	0.2724	Harvard
2424064.747	-5675	-0.2156	0.0799	Harvard
2424412.786	-5564	-0.3582	0.0744	Harvard
2424792.185	-5443	-0.5094	0.2165	Harvard
2424886.465	-5412	-0.3332	0.14	Hacke1989 Arch.
2425156.557	-5327	-0.0039	0.037	Harvard
2425272.445	-5289	-0.177	0.14	Hacke1989 Arch.
2425291.525	-5283	0.0823	0.14	Hacke1989 Arch.
2425294.386	-5282	-0.1935	0.05	Szabados1991 Arch.
2425297.645	-5281	-0.0713	0.14	Hacke1989 Arch.
2425300.465	-5280	-0.388	0.14	Hacke1989 Arch.
2425319.575	-5274	-0.0987	0.14	Hacke1989 Arch.
2425325.455	-5272	-0.4923	0.14	Hacke1989 Arch.
2425328.515	-5271	-0.5691	0.14	Hacke1989 Arch.
2425529.871	-5207	0.0325	0.0684	Harvard
2425557.715	-5198	-0.3539	0.14	Hacke1989 Arch.
2425642.545	-5171	-0.217	0.14	Hacke1989 Arch.
2425887.552	-5093	0.1208	0.0469	Harvard
2425981.615	-5063	0.0809	0.14	Hacke1989 Arch.
2425984.585	-5062	-0.0859	0.14	Hacke1989 Arch.
2426037.565	-5045	-0.4311	0.14	Hacke1989 Arch.
2426056.495	-5039	-0.3218	0.14	Hacke1989 Arch.
2426066.515	-5036	0.2879	0.14	Hacke1989 Arch.
2426069.595	-5035	0.2311	0.14	Hacke1989 Arch.
