HJD	Epoch	O-C	O-Cerr	Source
2373057.316	-7261	-0.3824	0.05	Berdnikov2000 Arch.
2375719.169	-6765	-0.2471	0.05	Berdnikov2000 Arch.
2385072.82	-5022	-0.1738	0.05	Berdnikov2000 Arch.
2387696.967	-4533	-0.1807	0.05	Berdnikov2000 Arch.
2388872.282	-4314	-0.0995	0.05	Berdnikov2000 Arch.
2394780.738	-3213	-0.0137	0.05	Berdnikov2000 Arch.
2396074.004	-2972	-0.0423	0.05	Berdnikov2000 Arch.
2397522.878	-2702	-0.0874	0.05	Berdnikov2000 Arch.
2397979.052	-2617	-0.0544	0.05	Berdnikov2000 Arch.
2399637.276	-2308	-0.0384	0.05	Berdnikov2000 Arch.
2399733.909	-2290	-0.0003	0.05	Berdnikov2000 Arch.
2400222.244	-2199	-0.0041	0.05	Berdnikov2000 Arch.
2402234.63	-1825	-0.0058	0.0189	AAVSO
2402551.274	-1765	0.0219	0.0302	AAVSO
2403162.976	-1652	-0.0413	0.0316	AAVSO
2403458.09	-1597	-0.0778	0.0393	AAVSO
2403490.386	-1590	0.0198	0.05	Berdnikov2000 Arch.
2403699.643	-1551	-0.011	0.05	Berdnikov2000 Arch.
2403758.667	-1541	-0.0168	0.0258	AAVSO
2404053.837	-1485	0.0029	0.0155	AAVSO
2404069.957	-1482	0.0239	0.05	Berdnikov2000 Arch.
2404348.998	-1430	0.0135	0.0232	AAVSO
2404601.239	-1383	0.0355	0.05	Berdnikov2000 Arch.
2404644.152	-1375	0.0169	0.0183	AAVSO
2404955.392	-1317	0.0081	0.0212	AAVSO
2405159.316	-1279	0.0102	0.05	Berdnikov2000 Arch.
2405250.565	-1262	0.0311	0.014	AAVSO
2405545.78	-1207	0.095	0.015	AAVSO
2405840.742	-1153	-0.0925	0.0386	AAVSO
2406135.937	-1098	-0.048	0.0324	AAVSO
2407466.889	-849	0.045	0.05	Berdnikov2000 Arch.
2408406.026	-674	0.068	0.05	Berdnikov2000 Arch.
2408781.679	-604	0.0749	0.05	Berdnikov2000 Arch.
2410890.587	-211	0.0003	0.0165	AAVSO
2411185.766	-156	0.0295	0.012	AAVSO
2411480.94	-101	0.0535	0.0192	AAVSO
2411588.162	-81	-0.0514	0.05	Berdnikov2000 Arch.
2412076.59	9	0.0365	0.05	Berdnikov2000 Arch.
2412833.227	150	0.0162	0.05	Berdnikov2000 Arch.
2413563.088	286	0.0513	0.05	Berdnikov2000 Arch.
2413724.008	316	-0.0203	0.05	Berdnikov2000 Arch.
2413745.535	320	0.0419	0.05	Berdnikov2000 Arch.
