HJD	Epoch	O-C	O-Cerr	Source
2413216.19	-5295	-0.1667	0.2457	Harvard
2413508.934	-5257	-0.7203	0.9487	Harvard
2413933.671	-5202	-0.4918	0.3391	Harvard
2415098.837	-5051	-0.7944	0.3758	Harvard
2415416.07	-5010	-0.0128	0.2844	Harvard
2415747.982	-4966	0.0106	0.4297	Harvard
2416041.047	-4929	-0.2205	0.2943	Harvard
2416411.531	-4881	-0.2172	0.224	Harvard
2416797.183	-4831	-0.482	0.3997	Harvard
2417183.124	-4781	-0.4569	0.4285	Harvard
2417553.812	-4733	-0.2498	0.3646	Harvard
2417963.303	-4679	0.17	0.4572	Harvard
2418324.754	-4633	-1.1409	0.4226	Harvard
2418687.984	-4586	-0.673	0.3687	Harvard
2418989.26	-4547	-0.4119	0.2708	Harvard
2419491.151	-4482	-0.2123	0.3968	Harvard
2419860.914	-4434	-0.9295	0.4448	Harvard
2420185.214	-4392	-0.7997	0.7071	Harvard
2420594.142	-4339	-0.9436	0.3297	Harvard
2420918.126	-4297	-1.1296	0.2966	Harvard
2421219.449	-4258	-0.8214	0.3405	Harvard
2421666.687	-4200	-1.2469	0.9078	Harvard
2422037.186	-4152	-1.2282	0.3825	Harvard
2422400.018	-4105	-1.1582	0.3236	Harvard
2423141.429	-4009	-0.7068	0.2847	Harvard
2423480.376	-3965	-1.3664	0.2029	Harvard
2423781.771	-3926	-0.9865	0.2998	Harvard
2426406.602	-3586	-0.3896	0.3434	Harvard
2427093.374	-3497	-0.5499	0.4049	Harvard
2428181.216	-3356	-0.9925	0.1711	Harvard
2428945.771	-3257	-0.5533	0.2769	Harvard
2429262.194	-3216	-0.582	0.3158	Harvard
2429917.942	-3131	-0.8922	0.4347	Harvard
2430319.452	-3079	-0.7353	0.3486	Harvard
2430720.554	-3027	-0.9867	0.4335	Harvard
2431106.935	-2977	-0.5232	0.3356	Harvard
2431407.603	-2938	-0.8698	0.2831	Harvard
2431700.869	-2900	-0.9006	0.4223	Harvard
2431994.745	-2862	-0.3208	0.2419	Harvard
2432588.394	-2785	-0.9841	0.4384	Harvard
2435158.952	-2452	-0.6318	0.0888	Irwin1961
2435159.083	-2452	-0.5007	0.1018	Mitchell1964
2437791.09	-2111	-0.4462	0.0108	Walraven1964
2440229.998	-1795	-0.532	0.0601	Stobie1970
2444282.307	-1270	-0.3485	0.0874	Eggen1985
2447879.167	-804	-0.2331	0.0158	Hipp
2448172.546	-766	-0.1504	0.0168	Hipp
2448465.763	-728	-0.23	0.0192	Hipp
2448774.646	-688	-0.0809	0.0527	Hipp
2450349.096	-484	-0.1711	0.0241	Berdnikov2008
2450889.413	-414	-0.1372	0.0146	Berdnikov2008
2451244.508	-368	-0.0859	0.0226	Berdnikov2008
2451614.959	-320	-0.1145	0.018	Berdnikov2008
2451931.324	-279	-0.2014	0.2266	ASAS
2451939.155	-278	-0.0885	0.0285	Berdnikov2008
2452224.94	-240	0.118	0.1703	ASAS
2452317.363	-229	-0.0794	0.0186	Berdnikov2008
2452618.255	-190	-0.2021	0.1022	ASAS
2452618.402	-190	-0.0551	0.0252	Berdnikov2008
2452934.854	-149	-0.0551	0.0534	ASAS
2452981.147	-143	-0.0718	0.0128	Berdnikov2008
2453351.655	-95	-0.0444	0.0374	ASAS
2453660.385	-55	-0.0474	0.0268	ASAS
2454084.941	0	0.0	0.0407	ASAS
2454409.147	42	0.0362	0.0462	ASAS
2454748.763	86	0.0455	0.043	ASAS
2455042.057	124	0.0429	0.0477	ASAS
2458569.628	581	0.3347	0.0033	TESS
