HJD	Epoch	O-C	O-Cerr	Source
2414985.61	-8330	0.88571	0.038	Berdnikov1997 Arch.
2418853.662	-6490	0.5033	0.164	Berdnikov1997 Arch.
2429497.79	-1427	0.1298	0.044	Berdnikov1997 Arch.
2431951.208	-260	0.035	0.05	Berdnikov1997 Arch.
2434301.613	856	-0.0545	0.0146	Berdnikov1997 Arch.
2438369.8	2791	-0.0312	0.0412	Guinan1972
2438384.489	2798	-0.0586	0.002	Berdnikov1997 Arch.
2439418.948	3291	0.0146	0.0448	Guinan1972
2439477.805	3319	0.0042	0.003	Berdnikov1997 Arch.
2440093.822	3612	0.0151	0.041	Berdnikov1997 Arch.
2440604.736	3855	0.0435	0.0043	Wachmann1976
2440632.061	3868	0.0371	0.006	Berdnikov1997 Arch.
2440903.3	3997	0.0653	0.0068	Wachmann1976
2441100.921	4091	0.0597	0.007	Berdnikov1997 Arch.
2441264.908	4169	0.0587	0.006	Wachmann1976
2441271.23	4172	0.0735	0.0521	Sanwal1974
2441317.477	4194	0.0675	0.002	Berdnikov1997 Arch.
2441573.981	4316	0.0774	0.017	Berdnikov1997 Arch.
2441609.747	4333	0.1021	0.0171	Szabados1977
2441937.715	4489	0.0947	0.0052	Szabados1977
2442015.504	4526	0.0943	0.009	Berdnikov1997 Arch.
2443928.79	5436	0.1872	0.06	Berdnikov1997 Arch.
2444931.688	5913	0.2356	0.0069	Berdnikov1997 Arch.
2445709.612	6283	0.268	0.004	Berdnikov1997 Arch.
2446821.83	6812	0.3107	0.0064	Fernie1987
2446865.964	6833	0.2945	0.007	Berdnikov1997 Arch.
2447130.885	6959	0.3118	0.003	Berdnikov1997 Arch.
2447172.936	6979	0.3148	0.0016	Gieren1989
2447175.021	6980	0.2972	0.02	Berdnikov1997 Arch.
2447179.239	6982	0.3104	0.001	Berdnikov1997 Arch.
2447961.352	7354	0.327	0.0302	Hipp
2448308.242	7519	0.3192	0.0046	Hipp
2448657.23	7685	0.3073	0.0177	Hipp
2450007.109	8327	0.4385	0.0168	Berdnikov2008
2450013.397	8330	0.4198	0.0221	Berdnikov1997 Arch.
2450305.626	8469	0.4136	0.0065	Berdnikov2008
2452620.459	9570	0.493	0.0038	ASAS
2452685.588	9601	0.4481	0.0129	IOMC
2452921.085	9713	0.4745	0.0075	ASAS
2453070.327	9784	0.4452	0.0181	IOMC
2453267.963	9878	0.4547	0.0084	ASAS
2453457.239	9968	0.514	0.0232	IOMC
2453621.156	10046	0.4429	0.0056	ASAS
2453822.975	10142	0.4305	0.0232	IOMC
2454087.895	10268	0.4476	0.0109	ASAS
2454386.384	10410	0.3935	0.0046	ASAS
2454550.378	10488	0.4002	0.0206	IOMC
2454754.308	10585	0.3964	0.0061	ASAS
2454876.394	10643	0.5425	0.033	IOMC
2455088.6	10744	0.4045	0.0084	ASAS
2455258.914	10825	0.4238	0.0212	IOMC
2455269.389	10830	0.3868	0.0048	AAVSO
2455515.313	10947	0.3292	0.0135	KWS
2455610.043	10992	0.4498	0.025	IOMC
2455843.259	11103	0.2984	0.0145	KWS
2456026.186	11190	0.3162	0.0214	IOMC
2456196.459	11271	0.2943	0.0086	KWS
2456352.057	11345	0.3131	0.0247	IOMC
2456576.978	11452	0.2769	0.011	KWS
2456709.375	11515	0.2214	0.0315	IOMC
2456932.25	11621	0.2419	0.0096	KWS
2457007.901	11657	0.2053	0.0142	ASASSN-V
2457069.015	11686	0.35	0.0239	IOMC
2457291.726	11792	0.2048	0.0087	KWS
2457306.437	11799	0.1997	0.0113	ASASSN-V
2457430.534	11858	0.254	0.0255	IOMC
2457607.059	11942	0.1771	0.0179	ASASSN-V
2457657.522	11966	0.1824	0.0077	KWS
2457794.231	12031	0.2346	0.0337	IOMC
2457968.643	12114	0.1459	0.0192	ASASSN-V
2458025.413	12141	0.1511	0.0078	KWS
2458166.405	12208	0.2813	0.0273	IOMC
2458220.93	12234	0.1443	0.0257	ASASSN-g
2458342.81	12292	0.0844	0.0177	ASASSN-V
2458403.811	12321	0.1155	0.0074	KWS
2458519.423	12376	0.095	0.0284	ASASSN-g
2458529.928	12381	0.0878	0.0325	IOMC
2458761.187	12491	0.0819	0.0053	KWS
2458817.929	12518	0.0586	0.0214	ASASSN-g
