HJD	Epoch	O-C	O-Cerr	Source
2417735.512	-745	-31.5076	5.2544	Harvard
2418042.534	-737	-33.8545	4.4319	Harvard
2418855.671	-716	-32.8113	5.6146	Harvard
2419169.607	-708	-28.2444	3.7987	Harvard
2419896.163	-689	-36.4397	3.9209	Harvard
2420243.793	-680	-36.8501	13.2099	Harvard
2420592.255	-671	-36.4281	10.4579	Harvard
2420980.284	-661	-35.1103	3.9094	Harvard
2423226.65	-603	-31.6694	2.7442	Harvard
2423572.595	-594	-33.765	3.7374	Harvard
2425357.267	-548	-27.965	8.278	Harvard
2425740.209	-538	-31.7338	5.0052	Harvard
2426089.941	-529	-30.0423	2.9668	Harvard
2426481.064	-519	-25.6305	4.8537	Harvard
2427566.054	-491	-23.4317	7.6561	Harvard
2427873.261	-483	-25.594	3.1361	Harvard
2428260.656	-473	-24.9102	2.8903	Harvard
2428649.956	-463	-22.3214	8.0116	Harvard
2429034.678	-453	-24.3108	7.8389	Harvard
2429385.482	-444	-21.5463	9.4817	Harvard
2429732.153	-435	-22.9157	3.8381	Harvard
2430121.123	-425	-20.6565	3.809	Harvard
2431556.191	-388	-16.4201	13.3071	Harvard
2431946.572	-378	-12.7508	15.4837	Harvard
2432260.351	-370	-8.3403	12.1957	Harvard
2432607.801	-361	-8.931	1.5161	Harvard
2432996.915	-351	-6.5283	1.8075	Harvard
2433152.717	-347	-5.4111	0.385	Berdnikov1994 Arch.
2433384.979	-341	-5.1758	1.9937	Harvard
2434121.767	-322	-3.1385	1.2831	Harvard
2435981.9	-273	0.7798	0.389	Berdnikov1994 Arch.
2437105.02	-244	2.4376	2.5455	Harvard
2437414.919	-236	2.9677	2.1446	Harvard
2440741.985	-150	4.317	1.9351	Harvard
2441054.117	-142	7.0803	0.132	Pel1976
2441131.61	-140	7.2301	0.085	Berdnikov1994 Arch.
2442868.89	-95	4.3096	2.4427	Harvard
2443291.579	-84	1.6167	1.5135	Harvard
2443680.572	-74	3.8986	4.3994	Harvard
2444105.928	-63	3.8715	0.196	Berdnikov1994 Arch.
2444372.857	-56	0.103	3.1292	Harvard
2445068.679	-39	-0.1553	0.8425	Harvard
2445456.659	-28	1.1139	0.1921	Berdnikov2008
2445495.464	-27	1.247	0.155	Berdnikov1994 Arch.
2445650.327	-23	1.4255	0.753	Berdnikov1994 Arch.
2445804.259	-19	0.6737	1.9583	Harvard
2445843.473	-18	1.2163	0.1406	Berdnikov2008
2445882.243	-17	1.3148	0.042	Berdnikov1994 Arch.
2446191.262	-9	0.9656	1.3667	Harvard
2446229.793	-8	0.8248	0.1474	Berdnikov2008
2446268.786	-7	1.1465	0.045	Berdnikov1994 Arch.
2446537.417	-1	-0.9197	2.0228	Harvard
2446577.008	0	0.0	0.1207	Berdnikov2008
2446615.858	1	0.1784	0.041	Berdnikov1994 Arch.
2446962.674	9	-1.0456	1.9947	Harvard
2446962.809	9	-0.9106	0.1809	Berdnikov2008
2447040.217	12	-0.845	0.065	Berdnikov1994 Arch.
2447387.51	20	-1.5912	0.1698	Berdnikov2008
2447425.957	22	-1.8162	0.064	Berdnikov1994 Arch.
2447696.885	28	-1.5853	0.1206	Berdnikov2008
2447735.472	30	-1.6702	0.037	Berdnikov1994 Arch.
2448471.133	48	-0.7603	0.2028	Berdnikov2008
2448509.807	50	-0.7577	0.076	Berdnikov1994 Arch.
2448819.124	57	-0.809	0.1779	Berdnikov2008
2448896.21	60	-1.066	0.047	Berdnikov1994 Arch.
2449514.779	75	-1.2342	0.4449	Berdnikov2008
2449902.682	85	-0.0429	0.1255	Berdnikov2008
2450290.093	96	0.6568	0.2594	Berdnikov2008
2452033.035	141	3.3986	0.7119	Schmidt2004
2452689.923	158	2.8771	0.0663	IOMC
2452690.482	158	3.4358	0.1719	ASAS
2452767.851	160	3.4627	0.2317	Schmidt2004
2453038.721	167	3.6354	0.0658	IOMC
2453076.897	168	3.1396	0.3457	ASAS
2453077.148	168	3.3913	0.7277	Berdnikov2008
2453308.935	174	3.1512	0.0907	IOMC
2453425.452	177	3.6552	0.1536	ASAS
2453619.307	182	4.1546	0.063	IOMC
2453813.072	187	4.5641	0.2604	ASAS
2453890.246	189	4.3955	0.1203	IOMC
2454161.271	196	4.7226	0.1665	ASAS
2454161.582	196	5.0337	0.0731	IOMC
2454431.294	203	4.0481	0.1161	IOMC
2454548.159	206	4.8997	0.1241	ASAS
2454702.259	210	4.3147	0.0698	IOMC
2454896.088	215	4.7877	0.1953	ASAS
2456017.193	244	4.4308	9.1594	KWS
2456407.981	254	8.5075	0.9409	KWS
2456755.752	263	8.238	2.8949	Berdnikov2015
2456758.57	263	11.0561	1.9351	KWS
2457028.597	270	10.3853	0.043	ASASSN-V
2457143.922	273	9.6964	1.1006	KWS
2457298.788	277	9.8782	0.0404	ASASSN-V
2457491.483	282	9.218	1.0924	KWS
2457569.333	284	9.7254	0.0463	ASASSN-V
2457762.579	289	9.6161	1.3433	KWS
2457839.914	291	9.6087	0.043	ASASSN-V
2458033.578	296	9.9166	1.0532	KWS
2458148.816	299	9.1416	0.0485	ASASSN-V
2458187.516	300	9.1706	0.0541	ASASSN-g
2458303.706	303	9.3474	0.9816	KWS
2458419.448	306	9.0762	0.2563	ASASSN-V
2458458.11	307	9.0664	0.0613	ASASSN-g
2458575.019	310	9.9621	1.3104	KWS
2458728.569	314	8.8281	0.0512	ASASSN-g
