HJD	Epoch	O-C	O-Cerr	Source
2440916.698	-327	-3.6465	0.1655	Pel1976
2441747.068	-303	-2.2234	0.2624	Madore1975
2443958.593	-239	-1.2233	0.1986	Berdnikov2008
2444649.407	-219	-1.1988	0.0547	Berdnikov2008
2449796.475	-70	-0.5098	0.0523	Berdnikov2008
2450522.127	-49	-0.1856	0.1472	Berdnikov2008
2450901.963	-38	-0.2836	0.0273	Berdnikov2008
2451282.11	-27	-0.071	0.0453	Berdnikov2008
2451662.017	-16	-0.0982	0.0386	Berdnikov2008
2451834.73	-11	-0.0823	0.044	ASAS
2452214.746	0	0.0	0.0478	ASAS
2452283.729	2	-0.0961	0.0404	Berdnikov2008
2452594.641	11	-0.039	0.0354	ASAS
2452629.112	12	-0.1074	0.0173	IOMC
2452663.87	13	0.1103	0.1108	Berdnikov2008
2452974.649	22	0.0347	0.0393	ASAS
2453009.234	23	0.0807	0.0781	IOMC
2453354.678	33	0.1299	0.0364	ASAS
2453389.167	34	0.0788	0.0288	IOMC
2453734.672	44	0.1901	0.0549	ASAS
2453769.04	45	0.0179	0.0205	IOMC
2454114.688	55	0.2717	0.068	ASAS
2454494.428	66	0.0778	0.0392	ASAS
2454874.288	77	0.0031	0.0925	ASAS
2456601.593	127	0.3356	0.0305	Berdnikov2015
2457395.841	150	0.1766	0.0132	ASASSN-V
2457775.655	161	0.0561	0.014	ASASSN-V
2458155.613	172	0.0799	0.0171	ASASSN-V
2458259.23	175	0.079	0.009	ASASSN-g
2458639.098	186	0.0128	0.0171	ASASSN-g
