HJD	Epoch	O-C	O-Cerr	Source
2372980.604	-5436	1.1973	0.05	Berdnikov1999 Arch.
2387412.409	-3425	0.9664	0.05	Berdnikov1999 Arch.
2388847.489	-3225	0.7364	0.05	Berdnikov1999 Arch.
2393655.74	-2555	0.701	0.05	Berdnikov1999 Arch.
2394373.353	-2455	0.6598	0.05	Berdnikov1999 Arch.
2394373.42	-2455	0.7268	0.05	Berdnikov1999 Arch.
2395090.796	-2355	0.4481	0.05	Berdnikov1999 Arch.
2395091.312	-2355	0.9642	0.05	Berdnikov1999 Arch.
2395091.364	-2355	1.0156	0.05	Berdnikov1999 Arch.
2395808.449	-2255	0.446	0.05	Berdnikov1999 Arch.
2395808.562	-2255	0.5593	0.05	Berdnikov1999 Arch.
2395808.695	-2255	0.6922	0.05	Berdnikov1999 Arch.
2396526.297	-2155	0.6396	0.05	Berdnikov1999 Arch.
2396526.312	-2155	0.6544	0.05	Berdnikov1999 Arch.
2397244.083	-2055	0.7707	0.05	Berdnikov1999 Arch.
2397961.569	-1955	0.6017	0.05	Berdnikov1999 Arch.
2397961.624	-1955	0.6569	0.05	Berdnikov1999 Arch.
2398679.14	-1855	0.5181	0.05	Berdnikov1999 Arch.
2398679.198	-1855	0.5764	0.05	Berdnikov1999 Arch.
2398679.243	-1855	0.6216	0.05	Berdnikov1999 Arch.
2398679.283	-1855	0.6613	0.05	Berdnikov1999 Arch.
2399396.815	-1755	0.5383	0.05	Berdnikov1999 Arch.
2399396.821	-1755	0.5444	0.05	Berdnikov1999 Arch.
2399396.935	-1755	0.6583	0.05	Berdnikov1999 Arch.
2399640.883	-1721	0.6036	0.05	Berdnikov1999 Arch.
2400114.472	-1655	0.5407	0.05	Berdnikov1999 Arch.
2400114.526	-1655	0.5945	0.05	Berdnikov1999 Arch.
2400114.56	-1655	0.6289	0.05	Berdnikov1999 Arch.
2400114.638	-1655	0.7068	0.05	Berdnikov1999 Arch.
2400437.307	-1610	0.4311	0.05	Berdnikov1999 Arch.
2400832.197	-1555	0.6109	0.05	Berdnikov1999 Arch.
2401549.784	-1455	0.5438	0.05	Berdnikov1999 Arch.
2402267.453	-1355	0.5575	0.05	Berdnikov1999 Arch.
