HJD	Epoch	O-C	O-Cerr	Source
2416297.164	-4441	0.2336	0.049	Berdnikov2014 Arch.
2419703.952	-3679	0.2095	0.042	Berdnikov2014 Arch.
2423531.108	-2823	0.2905	0.043	Berdnikov2014 Arch.
2426092.816	-2250	0.1831	0.057	Berdnikov2014 Arch.
2426106.25	-2247	0.2045	0.03	Berdnikov2014 Arch.
2426682.922	-2118	0.1327	0.093	Berdnikov2014 Arch.
2427000.328	-2047	0.1061	0.06	Berdnikov2014 Arch.
2427505.594	-1934	0.1624	0.045	Berdnikov2014 Arch.
2427644.242	-1903	0.2131	0.084	Berdnikov2014 Arch.
2430702.299	-1219	0.1868	0.047	Berdnikov2014 Arch.
2431118.062	-1126	0.1578	0.044	Berdnikov2014 Arch.
2432758.869	-759	0.1515	0.0487	Mitchell1964
2432919.844	-723	0.1743	0.035	Berdnikov2014 Arch.
2433098.664	-683	0.1596	0.025	Mitchell1964
2434618.736	-343	0.1312	0.026	Berdnikov2014 Arch.
2435235.665	-205	0.0788	0.0153	Mitchell1964
2435526.345	-140	0.1511	0.025	Berdnikov2014 Arch.
2435611.342	-121	0.2019	0.0457	Mitchell1964
2437046.456	199	0.1622	0.0533	Mitchell1964
2437247.655	244	0.1715	0.04	Berdnikov2014 Arch.
2437457.724	291	0.1097	0.159	Mitchell1964
2438955.542	626	0.1816	0.025	Berdnikov2014 Arch.
2440632.1	1001	0.1589	0.031	Berdnikov2014 Arch.
2440748.318	1027	0.134	0.0071	Pel1976
2440801.986	1039	0.1514	0.009	Berdnikov2014 Arch.
2441392.188	1171	0.1971	0.0176	Szabados1981
2441463.717	1187	0.1918	0.024	Berdnikov2014 Arch.
2443283.311	1594	0.1376	0.0155	Szabados1991
2443287.784	1595	0.1391	0.011	Moffett1984
2443336.974	1606	0.1493	0.015	Berdnikov2014 Arch.
2443596.228	1664	0.0923	0.0251	Szabados1991
2443623.114	1670	0.1531	0.0162	Moffett1984
2443828.787	1716	0.1652	0.016	Berdnikov2014 Arch.
2443976.221	1749	0.0603	0.0583	Berdnikov2008
2444003.115	1755	0.1294	0.0467	Moffett1984
2444217.75	1803	0.1615	0.02	Berdnikov2014 Arch.
2444852.577	1945	0.1233	0.05	Berdnikov2014 Arch.
2444861.601	1947	0.2055	0.025	Berdnikov2014 Arch.
2447190.994	2468	0.269	0.024	Berdnikov2014 Arch.
2447450.211	2526	0.1748	0.026	Berdnikov2014 Arch.
2447955.448	2639	0.2027	0.0046	Hipp
2448080.623	2667	0.1925	0.006	Berdnikov2014 Arch.
2448304.199	2717	0.2251	0.005	Hipp
2448590.321	2781	0.2099	0.006	Berdnikov2014 Arch.
2448697.596	2805	0.1844	0.0077	Hipp
2448854.077	2840	0.1839	0.0177	Berdnikov2008
2448880.911	2846	0.1926	0.026	Berdnikov2014 Arch.
2449032.927	2880	0.1986	0.018	Berdnikov2014 Arch.
2449520.218	2989	0.1638	0.0256	Berdnikov2008
2449623.063	3012	0.1782	0.034	Berdnikov2014 Arch.
2449815.37	3055	0.2372	0.037	Berdnikov2014 Arch.
2449819.79	3056	0.1867	0.0143	Berdnikov2008
2449918.176	3078	0.213	0.005	Kiss1998
2449962.853	3088	0.1811	0.028	Berdnikov2014 Arch.
2450088.057	3116	0.2004	0.007	Berdnikov2014 Arch.
2450226.657	3147	0.2032	0.0081	Kiss1998
2450302.685	3164	0.226	0.0102	Berdnikov2008
2450325.039	3169	0.2257	0.015	Berdnikov2014 Arch.
2450633.536	3238	0.2318	0.052	Berdnikov2014 Arch.
2451004.575	3321	0.1876	0.024	Berdnikov2014 Arch.
2451174.558	3359	0.2771	0.066	Berdnikov2014 Arch.
2452703.552	3701	0.2293	0.0053	SMEI
2453003.111	3768	0.2392	0.0042	SMEI
2453302.676	3835	0.2551	0.0097	SMEI
2453615.609	3905	0.2266	0.0078	SMEI
2453870.454	3962	0.2316	0.2684	ASAS
2453915.181	3972	0.2497	0.0083	SMEI
2453977.749	3986	0.2251	0.108	Berdnikov2014 Arch.
2454214.687	4039	0.2066	0.008	SMEI
2454313.142	4061	0.3019	0.069	Berdnikov2014 Arch.
2454362.271	4072	0.2512	0.171	Berdnikov2014 Arch.
2454527.668	4109	0.2254	0.0067	SMEI
2454679.694	4143	0.2416	0.074	Berdnikov2014 Arch.
2454688.67	4145	0.2759	0.072	Berdnikov2014 Arch.
2454827.244	4176	0.2524	0.0059	SMEI
2455126.79	4243	0.2501	0.0081	SMEI
2455283.264	4278	0.2426	0.024	Berdnikov2014 Arch.
2455426.359	4310	0.2698	0.0059	SMEI
2455667.856	4364	0.339	0.015	KWS
2455725.901	4377	0.2627	0.0079	SMEI
2456016.44	4442	0.1939	0.058	Berdnikov2014 Arch.
2456043.439	4448	0.3681	0.0134	KWS
2456418.983	4532	0.358	0.0331	KWS
2456763.219	4609	0.3356	0.0156	KWS
2457049.326	4673	0.3064	0.0163	ASASSN
2457147.665	4695	0.2858	0.0095	KWS
2457424.923	4757	0.3498	0.013	ASASSN
2457492.054	4772	0.4169	0.0183	KWS
2457791.51	4839	0.3243	0.0138	ASASSN
2457858.58	4854	0.3311	0.0102	KWS
2458176.006	4925	0.3244	0.0168	ASASSN
2458229.658	4937	0.3255	0.0083	KWS
2458609.67	5022	0.3128	0.0147	KWS
