HJD	Epoch	O-C	O-Cerr	Source
2412583.425	-2650	-0.396	0.1955	Harvard
2412916.27	-2618	0.2152	0.159	Harvard
2413215.83	-2591	-0.3077	0.094	Harvard
2413505.223	-2564	-0.2792	0.0339	Harvard
2413891.025	-2528	-0.2975	0.0767	Harvard
2414362.562	-2484	-0.3189	0.1042	Harvard
2414770.014	-2446	-0.121	0.3328	Harvard
2415069.583	-2418	-0.6342	0.204	Harvard
2415412.83	-2386	-0.3389	0.1364	Harvard
2415723.823	-2357	-0.1454	0.057	Harvard
2416045.204	-2327	-0.2813	0.0515	Harvard
2416420.523	-2292	-0.0651	0.0624	Harvard
2416816.91	-2255	-0.2149	0.0624	Harvard
2417181.288	-2221	-0.2224	0.0452	Harvard
2417556.519	-2186	-0.0945	0.0764	Harvard
2417963.701	-2148	-0.1673	0.0492	Harvard
2418295.834	-2117	-0.2685	0.0503	Harvard
2418692.336	-2080	-0.3032	0.1202	Harvard
2419121.239	-2040	-0.0897	0.0695	Harvard
2419538.992	-2001	-0.3084	0.1287	Harvard
2419882.207	-1969	-0.0445	0.0942	Harvard
2420192.843	-1940	-0.208	0.0626	Harvard
2420589.45	-1903	-0.1385	0.0502	Harvard
2420921.832	-1871	0.0097	0.049	Harvard
2421221.836	-1844	-0.0686	0.0817	Harvard
2421671.739	-1802	-0.2891	0.0635	Harvard
2422036.229	-1768	-0.1845	0.0777	Harvard
2422400.815	-1733	0.0151	0.0934	Harvard
2423150.842	-1664	-0.1635	0.0409	Harvard
2423483.058	-1633	-0.1808	0.0912	Harvard
2423783.383	-1604	0.0617	0.1083	Harvard
2424136.815	-1572	-0.175	0.0582	Harvard
2424501.107	-1538	-0.2684	0.0689	Harvard
2425230.232	-1469	0.0852	0.2279	Harvard
2425616.157	-1433	0.1902	0.0981	Harvard
2425980.258	-1400	-0.0944	0.0463	Harvard
2426398.072	-1361	-0.2528	0.0555	Harvard
2426708.842	-1332	-0.2819	0.0711	Harvard
2427041.151	-1301	-0.2068	0.0439	Harvard
2427459.203	-1262	-0.1268	0.0548	Harvard
2427802.029	-1230	-0.252	0.064	Harvard
2428166.438	-1196	-0.228	0.0541	Harvard
2428520.068	-1163	-0.2672	0.0511	Harvard
2428820.218	-1135	-0.1997	0.0264	Harvard
2429120.303	-1107	-0.197	0.0507	Harvard
2429409.724	-1080	-0.1404	0.0491	Harvard
2429698.994	-1053	-0.2352	0.0555	Harvard
2429988.321	-1026	-0.2734	0.0309	Harvard
2430320.612	-995	-0.2167	0.0387	Harvard
2430706.485	-959	-0.1638	0.0356	Harvard
2431049.292	-927	-0.3079	0.041	Harvard
2431349.818	-898	0.1361	0.0726	Harvard
2431638.966	-872	-0.0815	0.1115	Harvard
2431928.115	-845	-0.2979	0.0669	Harvard
2432217.702	-818	-0.0756	0.0698	Harvard
2432539.147	-788	-0.1477	0.1186	Harvard
2432849.791	-759	-0.3028	0.1124	Harvard
2433139.173	-732	-0.2863	0.0801	Harvard
2433428.664	-705	-0.1604	0.0795	Harvard
2433718.059	-678	-0.1302	0.0642	Harvard
2434393.491	-614	0.1168	0.1352	Harvard
2434897.098	-567	0.0142	0.1779	Harvard
2435165.289	-542	0.275	0.1541	Mitchell1964
2440984.408	0	-0.0592	0.0782	Harvard
2440984.468	0	0.0	0.0105	Pel1976
2443931.551	274	-0.1531	0.013	Coulson1985
2444628.213	339	-0.1113	0.0193	Coulson1985
2444638.994	340	-0.0471	0.0937	Harvard
2444960.229	370	-0.3292	0.1493	Harvard
2445003.358	374	-0.0692	0.0169	Coulson1985
2445346.395	407	0.0165	0.2522	Harvard
2445646.271	434	-0.1891	0.1416	Harvard
2446835.786	545	-0.2868	0.039	Harvard
2447146.561	574	-0.3115	0.0796	Harvard
2447500.265	607	-0.2754	0.1181	Harvard
2447864.854	641	-0.0719	0.0109	Hipp
2448154.195	668	-0.0966	0.0111	Hipp
2448443.612	695	-0.0445	0.0129	Hipp
2448754.39	724	-0.0655	0.056	Hipp
2451862.312	1014	-0.1389	0.007	ASAS
2452215.926	1047	-0.1939	0.0113	ASAS
2452623.212	1085	-0.1622	0.0057	ASAS
2452923.277	1113	-0.1796	0.0168	ASAS
2453501.867	1167	-0.3196	0.0106	IOMC
2453919.952	1206	-0.2059	0.0304	IOMC
2454220.022	1234	-0.218	0.0251	IOMC
2454863.034	1294	-0.2404	0.0193	IOMC
2455709.649	1373	-0.2861	0.0436	IOMC
2456641.847	1460	-0.4859	0.0136	Berdnikov2015
2456888.495	1483	-0.3347	0.0262	Gaia-dr2
2457188.575	1511	-0.3371	0.0427	Gaia-dr2
2457413.499	1532	-0.4745	0.0061	ASASSN-V
2457702.869	1559	-0.4691	0.0051	ASASSN-V
2458067.275	1593	-0.4493	0.0044	ASASSN-V
2458281.614	1613	-0.4551	0.0007	ASASSN-g
2458570.943	1640	-0.4906	0.0022	ASASSN-g
2458860.274	1667	-0.5247	0.0054	ASASSN-g
