HJD	Epoch	O-C	O-Cerr	Source
2415871.137	-2722	2.1835	0.2625	Harvard
2416213.973	-2685	1.7362	0.2379	Harvard
2416557.285	-2648	1.7636	0.2771	Harvard
2416909.476	-2610	1.3926	0.437	Harvard
2417252.688	-2573	1.3206	0.2667	Harvard
2417679.568	-2527	1.4149	0.5292	Harvard
2418365.479	-2453	0.7581	0.2463	Harvard
2418746.234	-2412	1.1165	0.1679	Harvard
2419118.43	-2372	2.1946	0.3962	Harvard
2419507.471	-2330	1.5622	0.1617	Harvard
2419888.153	-2289	1.8485	0.4601	Harvard
2420241.022	-2251	2.1548	0.3273	Harvard
2420593.114	-2213	1.6853	0.1666	Harvard
2420936.71	-2176	1.9967	0.1837	Harvard
2421307.308	-2136	1.4768	0.2172	Harvard
2421687.763	-2095	1.5365	0.214	Harvard
2438202.145	-315	1.171	0.2	Szabados1989 Arch.
2441014.044	-12	1.8514	0.0205	Pel1976
2441088.014	-4	1.5981	0.02	Szabados1989 Arch.
2441413.01	31	1.866	0.06	Szabados1989 Arch.
2443964.231	306	1.6511	0.0464	Coulson1985
2443973.763	307	1.9051	0.0706	Berdnikov2008
2444029.154	313	1.6286	0.02	Szabados1989 Arch.
2444381.608	351	1.5207	0.0278	Coulson1985
2444455.88	359	1.569	0.02	Szabados1989 Arch.
2444651.017	380	1.8691	0.06	Szabados1989 Arch.
2444734.257	389	1.6076	0.02	Szabados1989 Arch.
2444789.845	395	1.5279	0.046	Coulson1985
2445142.455	433	1.5759	0.04	Szabados1989 Arch.
2445151.577	434	1.4195	0.1833	Coulson1985
2445569.543	479	1.8783	0.06	Szabados1989 Arch.
2447916.581	732	1.5953	0.025	Hipp
2448260.09	769	1.8201	0.0292	Hipp
2448658.719	812	1.4974	0.092	Hipp
2449001.924	849	1.418	0.0775	Hipp
2450542.09	1015	1.445	0.0236	Berdnikov2008
2450885.303	1052	1.3745	0.0238	Berdnikov2008
2451247.185	1091	1.4159	0.0208	Berdnikov2008
2451618.201	1131	1.3146	0.0266	Berdnikov2008
2451915.122	1163	1.3404	0.0704	ASAS-SN
2451961.397	1168	1.2265	0.0379	Berdnikov2008
2452313.914	1206	1.1815	0.0241	Berdnikov2008
2452443.682	1220	1.0583	0.0251	ASAS-SN
2452787.009	1257	1.1008	0.0239	ASAS-SN
2453056.116	1286	1.1475	0.0368	IOMC
2453074.713	1288	1.188	0.0378	Berdnikov2008
2453130.424	1294	1.2314	0.0553	ASAS-SN
2453399.269	1323	1.0164	0.0349	IOMC
2453473.624	1331	1.1473	0.0314	ASAS-SN
2453816.875	1368	1.1143	0.0225	ASAS-SN
2454160.085	1405	1.0405	0.0245	ASAS-SN
2454503.266	1442	0.9371	0.0384	ASAS-SN
2454744.405	1468	0.8499	0.0206	IOMC
2454846.367	1479	0.7541	0.0392	ASAS-SN
2457453.173	1760	0.4572	0.2518	ASAS
2457796.421	1797	0.4211	0.1874	ASAS
2458139.523	1834	0.2386	0.1563	ASAS
