HJD	Epoch	O-C	O-Cerr	Source
2412584.325	-8870	-0.2799	0.1618	Harvard
2412934.794	-8790	0.1645	0.2797	Harvard
2413288.943	-8711	-0.1422	0.1782	Harvard
2414374.336	-8466	-0.2694	0.1033	Harvard
2414773.111	-8376	-0.2564	0.147	Harvard
2415119.176	-8297	0.2139	0.2378	Harvard
2415468.903	-8219	-0.0834	0.2539	Harvard
2415818.876	-8140	-0.1354	0.0512	Harvard
2416164.559	-8062	-0.0472	0.0667	Harvard
2416545.343	-7976	-0.3025	0.1259	Harvard
2416900.004	-7896	-0.0977	0.0731	Harvard
2417245.38	-7818	-0.3159	0.0402	Harvard
2417648.919	-7726	0.0304	0.123	Harvard
2417994.418	-7649	-0.0648	0.0982	Harvard
2418339.762	-7571	-0.3154	0.0367	Harvard
2418690.016	-7492	-0.0864	0.0437	Harvard
2419124.162	-7394	-0.1483	0.0411	Harvard
2419478.733	-7314	-0.033	0.2472	Harvard
2419859.591	-7228	-0.2144	0.0881	Harvard
2420222.994	-7146	-0.1285	0.0502	Harvard
2420581.712	-7065	-0.2964	0.0798	Harvard
2420927.186	-6987	-0.4172	0.0409	Harvard
2421308.409	-6901	-0.2342	0.0711	Harvard
2421671.659	-6819	-0.3014	0.0785	Harvard
2422039.119	-6736	-0.5882	0.0633	Harvard
2422398.284	-6655	-0.3095	0.0936	Harvard
2422810.332	-6562	-0.3161	0.0736	Harvard
2423155.77	-6484	-0.4727	0.0842	Harvard
2423501.006	-6406	-0.8311	0.2198	Harvard
2423900.182	-6316	-0.4177	0.1435	Harvard
2424254.751	-6236	-0.3044	0.3823	Harvard
2424635.706	-6150	-0.3886	0.2774	Harvard
2425242.436	-6013	-0.664	0.1696	Harvard
2425614.952	-5929	-0.3266	0.2968	Harvard
2425978.076	-5847	-0.5198	0.1037	Harvard
2426363.662	-5760	-0.4035	0.1548	Harvard
2426713.163	-5681	-0.9275	0.2064	Harvard
2427068.124	-5601	-0.4221	0.1142	Harvard
2427515.157	-5500	-0.89	0.239	Harvard
2427887.383	-5416	-0.8422	0.0821	Harvard
2428237.392	-5337	-0.858	0.1273	Harvard
2428592.093	-5257	-0.6121	0.2552	Harvard
2428950.896	-5176	-0.6955	0.0537	Harvard
2429296.601	-5098	-0.5849	0.1021	Harvard
2429651.188	-5018	-0.454	0.0733	Harvard
2430001.057	-4939	-0.6091	0.0751	Harvard
2430364.415	-4857	-0.568	0.0579	Harvard
2430710.258	-4779	-0.3197	0.0898	Harvard
2431055.504	-4701	-0.668	0.0493	Harvard
2431410.029	-4621	-0.5986	0.049	Harvard
2431769.158	-4540	-0.3563	0.0952	Harvard
2432154.253	-4453	-0.7314	0.0954	Harvard
2432566.35	-4360	-0.6888	0.165	Harvard
2432911.797	-4282	-0.8362	0.1683	Harvard
2433302.002	-4194	-0.5318	0.0951	Harvard
2434511.585	-3921	-0.5287	0.06	Mitchell1964
2434866.061	-3841	-0.5084	0.2513	Mitchell1964
2435167.497	-3773	-0.3601	0.0329	Irwin1961
2435233.758	-3758	-0.5588	0.1674	Mitchell1964
2440984.869	-2460	-0.4904	0.2131	Harvard
2444303.393	-1711	-0.5569	0.0418	Eggen1985
2444635.688	-1636	-0.5646	0.1635	Harvard
2444644.458	-1634	-0.6554	0.0036	Gieren1985
2445030.164	-1547	-0.4201	0.0033	Gieren1985
2446465.856	-1223	-0.2729	0.199	Harvard
2446833.503	-1140	-0.3743	0.0978	Harvard
2447241.068	-1048	-0.4325	0.0858	Harvard
2447914.723	-896	-0.2438	0.0128	Hipp
2448260.285	-818	-0.2753	0.0137	Hipp
2448605.938	-740	-0.2168	0.0145	Hipp
2448969.2	-658	-0.272	0.0959	Hipp
2449518.703	-534	-0.175	0.0089	Berdnikov2008
2450378.333	-340	-0.1	0.008	Berdnikov2008
2450887.907	-225	-0.0555	0.0042	Berdnikov2008
2451246.821	-144	-0.0283	0.0053	Berdnikov2008
2451618.972	-60	-0.0558	0.0103	Berdnikov2008
2451884.865	0	-0.004	0.0102	ASAS
2451964.572	17	-0.0495	0.0225	Berdnikov2008
2452230.5	78	0.0367	0.0117	ASAS
2452314.632	96	-0.0147	0.0046	Berdnikov2008
2452620.378	166	0.0133	0.0054	ASAS
2452660.235	174	-0.0058	0.0083	Berdnikov2008
2452757.77	197	0.0541	0.0115	IOMC
2452965.984	244	0.0251	0.0037	ASAS
2453010.265	253	-0.0008	0.0053	Berdnikov2008
2453134.316	281	-0.0091	0.0047	IOMC
2453355.874	332	0.0144	0.008	ASAS
2453524.238	370	0.0119	0.0063	IOMC
2453701.476	410	0.0219	0.0086	ASAS
2453945.141	464	-0.0015	0.0097	IOMC
2454086.957	497	0.0326	0.0061	ASAS
2454432.491	574	-0.0276	0.0217	ASAS
2454778.148	653	0.0347	0.0062	ASAS
2454862.338	672	0.0415	0.0043	IOMC
2457764.528	1327	0.127	0.0314	ASASSN-V
2458110.157	1405	0.1618	0.0126	ASASSN-V
2458278.517	1443	0.1553	0.0132	ASASSN-g
2458628.601	1522	0.2145	0.0202	ASASSN-g
