HJD	Epoch	O-C	O-Cerr	Source
2451852.63	-115	0.092	0.1039	ASAS
2451984.748	-110	-0.0267	0.3682	ASAS
2452434.379	-93	0.0014	0.3414	ASAS
2452619.539	-86	0.0304	0.1204	ASAS
2452751.658	-81	-0.0873	0.1303	ASAS
2453016.092	-71	-0.1261	0.1453	ASAS
2453333.552	-59	-0.0331	0.1179	ASAS
2453465.786	-54	-0.0356	0.139	ASAS
2453730.14	-44	-0.1538	0.1567	ASAS
2453862.53	-39	-0.0007	0.1369	ASAS
2454074.077	-31	-0.0316	0.2083	ASAS
2454206.377	-26	0.032	0.1547	ASAS
2454470.684	-16	-0.1336	0.1282	ASAS
2454603.155	-11	0.1016	0.1214	ASAS
2454788.135	-4	-0.0495	0.1329	ASAS
2454920.514	1	0.0927	0.1526	ASAS
2455528.851	24	0.1425	0.0626	Berdnikov2014
2455898.923	38	-0.0472	0.0409	Berdnikov2014
2456295.548	53	-0.1306	0.0943	Berdnikov2014
2456666.435	67	-0.0752	0.1427	OGLE
2456745.366	70	-0.0961	0.1713	Bochum
2456798.612	72	-0.1354	0.1424	OGLE
2457380.489	94	-0.0978	0.1438	OGLE
2457432.94	96	0.0291	0.1582	ASASSN-V
2457565.344	101	0.1959	0.0657	ASASSN-V
2457723.977	107	0.1457	0.0459	ASASSN-V
2457750.919	108	0.0701	0.3411	OGLE
2457856.266	112	0.1987	0.0501	ASASSN-V
2457988.477	117	0.1727	0.0814	ASASSN-V
2458120.734	122	0.1938	0.0481	ASASSN-V
2458252.918	127	0.1417	0.0655	ASASSN-V
2458437.991	134	0.1539	0.1075	ASASSN-g
2458491.533	136	0.1609	0.1831	OGLE
2458570.164	139	0.0901	0.1022	ASASSN-g
2458702.371	144	0.0607	0.0651	ASASSN-g
