HJD	Epoch	O-C	O-Cerr	Source
2415434.347	-762	68.6026	6.3252	Harvard
2415825.837	-754	68.3024	1.6147	Harvard
2416118.701	-748	67.3235	1.6076	Harvard
2416509.793	-740	66.625	1.8424	Harvard
2416800.775	-734	63.7633	3.1465	Harvard
2424250.673	-582	20.6665	5.3037	Harvard
2424643.413	-574	21.616	2.4939	Harvard
2425277.842	-561	19.3849	3.4553	Harvard
2425672.157	-553	21.9093	2.0448	Harvard
2426012.188	-546	19.1239	1.2554	Harvard
2426354.385	-539	18.5046	1.7781	Harvard
2426744.408	-531	16.7363	1.4391	Harvard
2427084.455	-524	13.9667	2.3089	Harvard
2427479.667	-516	17.3884	1.9266	Harvard
2427866.54	-508	12.4708	2.1916	Harvard
2428156.669	-502	8.757	2.1023	Harvard
2428551.202	-494	11.4988	1.6824	Harvard
2428891.496	-487	8.9764	1.7765	Harvard
2429184.696	-481	8.3332	1.6856	Harvard
2429477.7	-475	7.4948	1.4275	Harvard
2429770.138	-469	6.0891	1.7255	Harvard
2430064.101	-463	6.2091	1.0936	Harvard
2430406.914	-456	6.2053	0.7932	Harvard
2430701.123	-450	6.5714	1.0601	Harvard
2431092.141	-442	5.7996	1.1543	Harvard
2431434.569	-435	5.4103	1.0092	Harvard
2431728.771	-429	5.7699	1.6335	Harvard
2432020.932	-423	4.0871	1.21	Harvard
2432314.454	-417	3.7671	1.3299	Harvard
2432609.256	-411	4.7261	1.3281	Harvard
2432949.917	-404	2.57	1.6544	Harvard
2433289.423	-398	-0.7409	1.9688	Harvard
2434022.576	-383	-2.1948	2.3762	Harvard
2440725.767	-246	-8.418	2.545	Harvard
2441022.416	-240	-5.612	0.8562	Harvard
2445675.76	-145	-4.7812	2.2386	Harvard
2445970.322	-139	-4.0622	2.8215	Harvard
2446848.451	-121	-7.4616	4.2963	Harvard
2447241.426	-113	-6.2774	3.0357	Harvard
2451900.094	-18	-0.1232	0.1662	ASAS
2452488.027	-5	0.1239	0.2988	ASAS
2452781.858	0	0.1118	0.1229	ASAS
2453076.043	6	0.4543	0.1442	ASAS
2453369.756	12	0.3246	0.1994	ASAS
2453663.398	18	0.1231	0.1279	ASAS
2454104.33	27	0.2913	0.1493	ASAS
2454398.105	33	0.2227	0.1598	ASAS
2454691.766	39	0.0415	0.1788	ASAS
2454985.077	44	-0.4908	0.255	ASAS
2457431.388	94	-2.8708	0.1153	ASASSN-V
2457725.48	100	-2.622	0.1161	ASASSN-V
2458019.85	106	-2.0947	0.1332	ASASSN-V
2458265.0	111	-1.8137	0.1457	ASASSN-g
2458314.158	112	-1.6302	0.1103	ASASSN-V
2458559.139	117	-1.5176	0.1774	ASASSN-g
