HJD	Epoch	O-C	O-Cerr	Source
2412685.45	-17621	0.3823	0.1117	Harvard
2414550.322	-16739	0.6495	0.1907	Harvard
2414875.683	-16585	0.4441	0.0252	Harvard
2415194.95	-16434	0.4877	0.0818	Harvard
2415552.272	-16265	0.5322	0.0328	Harvard
2415858.769	-16120	0.4898	0.0136	Harvard
2416158.938	-15978	0.462	0.0121	Harvard
2416457.026	-15837	0.4664	0.0109	Harvard
2416755.08	-15696	0.4373	0.0159	Harvard
2417053.168	-15555	0.4421	0.0174	Harvard
2417374.553	-15403	0.4897	0.0183	Harvard
2417716.952	-15241	0.4095	0.0257	Harvard
2418072.169	-15073	0.4636	0.0124	Harvard
2418370.287	-14932	0.4984	0.0082	Harvard
2418668.364	-14791	0.4921	0.0157	Harvard
2418972.809	-14647	0.5125	0.0165	Harvard
2419270.914	-14506	0.5344	0.0115	Harvard
2419569.065	-14365	0.6013	0.0187	Harvard
2419867.126	-14224	0.5799	0.0107	Harvard
2420222.273	-14056	0.5638	0.0152	Harvard
2420520.332	-13915	0.5396	0.0127	Harvard
2420818.482	-13774	0.606	0.0159	Harvard
2421116.532	-13633	0.5737	0.014	Harvard
2421416.73	-13491	0.5739	0.0184	Harvard
2421714.772	-13350	0.5325	0.0095	Harvard
2422067.821	-13183	0.5331	0.0179	Harvard
2422365.851	-13042	0.4802	0.0115	Harvard
2422665.982	-12900	0.4137	0.0137	Harvard
2422964.047	-12759	0.3958	0.011	Harvard
2423264.182	-12617	0.3328	0.0214	Harvard
2423562.278	-12476	0.3459	0.018	Harvard
2423900.502	-12316	0.3197	0.0177	Harvard
2424204.935	-12172	0.3277	0.0147	Harvard
2424503.0	-12031	0.3092	0.021	Harvard
2424801.017	-11890	0.2424	0.04	Harvard
2425099.199	-11749	0.3413	0.0187	Harvard
2425431.016	-11592	0.2508	0.0171	Harvard
2425729.088	-11451	0.2396	0.0116	Harvard
2426090.561	-11281	0.2069	0.0131	Harvard
2426449.974	-11110	0.2293	0.0127	Harvard
2426838.992	-10926	0.2596	0.014	Harvard
2427153.973	-10777	0.2441	0.025	Harvard
2427456.356	-10634	0.316	0.0244	Harvard
2427754.372	-10493	0.2488	0.016	Harvard
2428052.44	-10352	0.2339	0.0172	Harvard
2428335.653	-10219	0.1623	0.05	Klawitter1971 Arch.
2428337.78	-10218	0.1752	0.05	Klawitter1971 Arch.
2428354.749	-10209	0.2315	0.0133	Harvard
2428654.928	-10068	0.2135	0.0108	Harvard
2428978.379	-9915	0.2122	0.0138	Harvard
2429276.393	-9774	0.1431	0.0124	Harvard
2429515.257	-9661	0.118	0.05	Klawitter1971 Arch.
2429574.507	-9633	0.1741	0.0141	Harvard
2429872.56	-9492	0.1438	0.0125	Harvard
2430170.648	-9351	0.1486	0.0077	Harvard
2430373.528	-9255	0.0786	0.05	Klawitter1971 Arch.
2430483.526	-9203	0.1451	0.0097	Harvard
2430515.242	-9188	0.1503	0.05	Klawitter1971 Arch.
2430517.357	-9187	0.1512	0.05	Klawitter1971 Arch.
2430591.327	-9152	0.1289	0.05	Klawitter1971 Arch.
2430703.365	-9099	0.1215	0.05	Klawitter1971 Arch.
2430790.015	-9058	0.0947	0.0133	Harvard
2431028.905	-8945	0.0955	0.05	Klawitter1971 Arch.
2431031.027	-8944	0.1034	0.05	Klawitter1971 Arch.
2431033.144	-8943	0.1064	0.05	Klawitter1971 Arch.
2431060.623	-8930	0.1025	0.05	Klawitter1971 Arch.
2431088.098	-8917	0.0942	0.0097	Harvard
2431386.146	-8776	0.0592	0.0136	Harvard
2431684.23	-8635	0.0606	0.0135	Harvard
2431982.302	-8494	0.0493	0.0105	Harvard
2432284.572	-8351	0.0079	0.0115	Harvard
2432707.452	-8151	0.0744	0.0275	Harvard
2433028.802	-7999	0.0872	0.0134	Harvard
2433337.505	-7853	0.1367	0.0086	Harvard
2433747.688	-7659	0.1912	0.0258	Harvard
2434185.312	-7452	0.2029	0.0297	Harvard
2434677.994	-7218	0.3082	0.081	Harvard
2437849.224	-5718	0.4403	0.1303	Harvard
2440060.111	-4673	0.0156	0.1366	Harvard
2440451.507	-4487	0.3098	0.2167	Harvard
2440825.361	-4311	-0.0263	0.1234	Harvard
2440903.406	-4274	-0.201	0.0022	Wachmann1976
2440943.716	-4255	-0.0584	0.05	Klawitter1971 Arch.
2440954.292	-4250	-0.0527	0.05	Klawitter1971 Arch.
2440962.768	-4246	-0.033	0.05	Klawitter1971 Arch.
2440964.768	-4245	-0.1466	0.01	Szabados1991 Arch.
2440964.877	-4245	-0.038	0.05	Klawitter1971 Arch.
2441180.581	-4143	0.031	0.0562	Harvard
2441201.507	-4133	-0.183	0.0077	Wachmann1976
2441696.252	-3899	-0.1291	0.01	Szabados1991 Arch.
2441901.47	-3802	0.0244	0.09	Harvard
2441916.208	-3795	-0.0359	0.0115	Szabados1977
2442239.668	-3642	-0.028	0.0761	Harvard
2442596.999	-3473	0.0253	0.0655	Harvard
2442931.02	-3315	0.0247	0.0332	Harvard
2443045.066	-3261	-0.0886	0.02	Szabados1991 Arch.
2443307.311	-3137	0.012	0.041	Harvard
2443689.926	-2956	-0.0192	0.0688	Harvard
2444045.226	-2788	0.1177	0.0751	Harvard
2444402.505	-2619	0.1199	0.0785	Harvard
2444761.924	-2449	0.1483	0.0819	Harvard
2445078.965	-2299	0.0791	0.0345	Harvard
2445438.327	-2129	0.0499	0.0406	Harvard
2445770.263	-1972	0.0782	0.0364	Harvard
2446085.156	-1823	-0.0248	0.0257	Harvard
2446402.305	-1673	0.0143	0.0252	Harvard
2446607.203	-1576	-0.1518	0.0029	Berdnikov2008
2446700.397	-1532	0.024	0.0326	Harvard
2446998.514	-1391	0.057	0.0258	Harvard
2447313.341	-1242	-0.1116	0.019	AAVSO
2447324.195	-1237	0.1725	0.0299	Harvard
2447408.462	-1197	-0.1232	0.0079	Berdnikov2008
2447412.738	-1195	-0.0749	0.02	Szabados1991 Arch.
2447689.805	-1064	0.0494	0.0423	Harvard
2447865.108	-981	-0.1149	0.0018	Hipp
2448171.676	-836	-0.0865	0.0023	Hipp
2448488.957	-685	0.0843	0.045	AAVSO
2448499.381	-681	-0.0618	0.0069	Hipp
2448501.51	-680	-0.0469	0.004	Berdnikov2008
2448808.072	-535	-0.0238	0.0084	Hipp
2448852.478	-514	-0.0136	0.0052	Berdnikov2008
2449619.949	-150	0.0514	0.0049	Berdnikov2008
2449753.094	-87	0.0104	0.0279	AAVSO
2449932.863	-2	0.0839	0.0062	Berdnikov2008
2450051.176	53	0.0093	0.0234	AAVSO
2450307.059	174	0.0911	0.0067	Berdnikov2008
2450349.333	194	0.0833	0.0293	AAVSO
2450649.506	336	0.0593	0.0367	AAVSO
2450987.836	496	0.1389	0.0228	AAVSO
2451285.861	637	0.0809	0.0394	AAVSO
2451662.166	815	0.0821	0.0214	AAVSO
2451960.229	956	0.0616	0.0427	AAVSO
2452829.225	1367	0.1772	0.0463	AAVSO
2453214.136	1549	0.3283	0.1464	AAVSO
2455913.465	2826	-0.0033	0.0293	AAVSO
