HJD	Epoch	O-C	O-Cerr	Source
2421483.216	-3577	-0.1561	0.06	Szabados1980 Arch.
2426125.512	-2817	0.0485	0.06	Szabados1980 Arch.
2426186.52	-2807	-0.0236	0.06	Szabados1980 Arch.
2426980.488	-2677	-0.0976	0.06	Szabados1980 Arch.
2433699.305	-1577	-0.0971	0.06	Szabados1980 Arch.
2433949.739	-1536	-0.0917	0.1	Szabados1980 Arch.
2434981.924	-1367	-0.1612	0.06	Szabados1980 Arch.
2435128.597	-1343	-0.0806	0.06	Szabados1980 Arch.
2435721.049	-1246	-0.106	0.1	Szabados1980 Arch.
2436051.249	-1192	0.2611	0.1	Szabados1980 Arch.
2436056.989	-1191	-0.1069	0.1	Szabados1980 Arch.
2436429.579	-1130	-0.1058	0.1	Szabados1980 Arch.
2436747.232	-1079	-0.0698	0.0372	Mitchell1964
2436747.302	-1078	0.0003	0.0194	Oosterhoff1960
2436753.429	-1077	0.0194	0.1	Szabados1980 Arch.
2436789.977	-1071	-0.0807	0.02	Szabados1980 Arch.
2436814.389	-1067	-0.1007	0.1	Szabados1980 Arch.
2436832.74	-1064	-0.0738	0.02	Szabados1980 Arch.
2436863.379	-1059	0.0251	0.1	Szabados1980 Arch.
2437187.159	-1006	0.0804	0.1	Szabados1980 Arch.
2437272.489	-992	-0.1019	0.1	Szabados1980 Arch.
2437889.409	-891	-0.0914	0.1	Szabados1980 Arch.
2437938.459	-883	0.0945	0.1	Szabados1980 Arch.
2438231.579	-835	0.0298	0.1	Szabados1980 Arch.
2438420.859	-804	-0.0387	0.1	Szabados1980 Arch.
2438445.239	-800	-0.0907	0.1	Szabados1980 Arch.
2438671.349	-763	0.0227	0.1	Szabados1980 Arch.
2438671.349	-763	0.0227	0.1	Szabados1980 Arch.
2438964.579	-715	0.068	0.1	Szabados1980 Arch.
2439294.289	-661	-0.0548	0.1	Szabados1980 Arch.
2441114.471	-363	-0.0613	0.02	Szabados1980 Arch.
2443337.775	0	-0.0748	0.2	Szabados1980 Arch.
2447729.443	718	-0.0693	0.0056	Berdnikov2008
2447961.525	756	-0.0922	0.0076	Hipp
2448352.419	820	-0.1109	0.0143	Hipp
2448700.653	877	-0.0346	0.0529	Hipp
2449519.075	1011	-0.0861	0.0133	Berdnikov2008
2450569.63	1183	-0.1093	0.008	Berdnikov2008
2452194.418	1449	-0.0536	0.0487	Schmidt2005
2452542.531	1506	-0.0973	0.0092	Schmidt2005
2452719.677	1535	-0.0843	0.0054	ASAS
2453104.486	1598	-0.0802	0.0051	ASAS
2453452.682	1655	-0.0413	0.0242	ASAS
2453831.322	1717	-0.098	0.0113	ASAS
2454209.989	1779	-0.1282	0.0098	ASAS
2454558.146	1836	-0.1278	0.0061	ASAS
2454936.835	1898	-0.1354	0.0074	ASAS
2455663.668	2017	-0.1562	0.0065	IOMC
2455694.27	2022	-0.0946	0.0593	KWS
2456011.801	2074	-0.18	0.0054	IOMC
2456054.594	2081	-0.1434	0.0319	KWS
2456445.517	2145	-0.1333	0.0118	KWS
2456793.621	2202	-0.1862	0.0211	KWS
2456989.118	2234	-0.1459	0.0257	Gaia-dr2
2457135.662	2258	-0.194	0.0035	ASASSN-V
2457160.097	2262	-0.1911	0.0111	KWS
2457337.158	2291	-0.2623	0.0307	Gaia-dr2
2457483.809	2315	-0.2042	0.0029	ASASSN-V
2457520.485	2321	-0.1757	0.0122	KWS
2457831.952	2372	-0.2178	0.0037	ASASSN-V
2457862.497	2377	-0.2125	0.0064	IOMC
2457899.14	2383	-0.2176	0.0087	KWS
2458180.072	2429	-0.2545	0.0048	ASASSN-V
2458216.733	2435	-0.2417	0.0039	ASASSN-g
2458253.395	2441	-0.2279	0.0119	KWS
2458564.889	2492	-0.2419	0.0031	ASASSN-g
2458625.975	2502	-0.2366	0.0128	KWS
2458913.047	2549	-0.2416	0.0043	ASASSN-g
2458986.398	2561	-0.186	0.0313	KWS
