HJD	Epoch	O-C	O-Cerr	Source
2434638.47	-47	-4.1459	0.6	Szabados1989 Arch.
2435216.974	-30	-4.1458	0.3	Szabados1989 Arch.
2435250.816	-29	-4.3334	0.9	Szabados1989 Arch.
2437871.756	48	-3.6758	0.9	Szabados1989 Arch.
2440356.99	121	-2.6056	0.6	Szabados1989 Arch.
2440967.61	139	-1.9307	0.4692	Pel1976
2441106.302	143	-1.9457	0.3	Szabados1989 Arch.
2441582.839	157	-1.8236	0.6	Szabados1989 Arch.
2444034.776	229	-0.0208	0.6	Szabados1989 Arch.
2444644.699	247	-0.0429	0.1771	Coulson1985
2444647.361	247	0.0307	0.3	Szabados1989 Arch.
2444984.969	257	-0.0687	0.2517	Coulson1985
2445123.728	261	-0.0173	0.3	Szabados1989 Arch.
2447877.971	342	0.4135	0.1127	Hipp
2448116.032	349	0.2668	0.1524	Hipp
2448592.492	363	0.3116	0.3911	Hipp
2448932.983	373	0.5069	0.0939	Hipp
2449783.308	398	0.0911	0.0837	Berdnikov2008
2450531.507	420	-0.3627	0.0812	Berdnikov2008
2450871.692	430	-0.4738	0.0789	Berdnikov2008
2451246.026	441	-0.4663	0.072	Berdnikov2008
2451620.498	452	-0.32	0.0958	Berdnikov2008
2451858.777	459	-0.2482	0.1048	ASAS
2451926.533	461	-0.5515	0.1348	Berdnikov2008
2452097.123	466	-0.1095	0.0971	ASAS
2452301.033	472	-0.3782	0.105	Berdnikov2008
2452437.183	476	-0.3463	0.0891	ASAS
2452675.413	483	-0.3242	0.0904	ASAS
2452913.617	490	-0.3269	0.0936	ASAS
2452981.561	492	-0.4423	0.0657	Berdnikov2008
2453151.738	497	-0.4139	0.0998	ASAS
2453389.926	504	-0.4332	0.1973	ASAS
2453628.165	511	-0.4018	0.0964	ASAS
2453866.223	518	-0.5512	0.0819	ASAS
2453968.561	521	-0.3025	0.0769	IOMC
2454104.382	525	-0.5999	0.0929	ASAS
2454274.468	530	-0.6624	0.1282	IOMC
2454342.46	532	-0.7295	0.1172	ASAS
2454512.342	537	-0.9959	0.1028	IOMC
2454580.504	539	-0.8926	0.1126	ASAS
2454818.492	546	-1.1126	0.1925	ASAS
2455056.953	553	-0.859	0.1698	ASAS
2456621.36	599	-1.8146	0.1152	Berdnikov2015
2456723.476	602	-1.7878	0.0322	Bochum
2457437.759	623	-2.1273	0.1143	ASASSN-V
2457744.041	632	-2.1123	0.1285	ASASSN-V
2457982.331	639	-2.0293	0.0896	ASASSN-V
2458220.498	646	-2.0698	0.125	ASASSN-V
2458254.314	647	-2.0839	0.0672	ASASSN-g
2458492.526	654	-2.0796	0.0928	ASASSN-g
2458730.888	661	-1.9249	0.1007	ASASSN-g
