HJD	Epoch	O-C	O-Cerr	Source
2435164.322	-560	-0.5151	0.8679	Mitchell1964
2444373.971	-239	-0.9748	0.0677	Coulson1985
2444718.152	-227	-1.0967	0.0559	Coulson1985
2445062.52	-215	-1.0319	0.0921	Coulson1985
2448650.078	-89	0.0355	0.7622	Hipp
2450887.942	-12	-0.0701	0.05	Berdnikov2008
2451232.316	0	0.0	0.0354	Berdnikov2008
2451605.358	13	0.0477	0.0474	Berdnikov2008
2451921.002	24	0.0802	0.0777	ASAS
2452322.827	38	0.218	0.0704	Berdnikov2008
2452437.72	42	0.3438	0.0683	ASAS
2452667.466	50	0.5542	0.0943	IOMC
2452782.298	54	0.6179	0.2793	ASAS
2453068.939	64	0.3397	0.6367	Berdnikov2008
2453126.555	66	0.5727	0.1318	ASAS
2453413.732	76	0.8301	0.1096	IOMC
2453470.975	78	0.6887	0.0831	ASAS
2453815.453	90	0.8645	0.2392	ASAS
2453959.167	95	1.1185	0.0817	IOMC
2454159.941	102	1.0487	0.1284	ASAS
2454504.336	114	1.1413	0.0928	ASAS
2454848.684	126	1.1858	0.2125	ASAS
2454877.406	127	1.216	0.0837	IOMC
2456714.211	191	1.7377	0.0738	Berdnikov2015
2457431.678	216	1.9067	0.1343	ASASSN-V
2457776.091	228	2.0163	0.1088	ASASSN-V
2458149.148	241	2.0786	0.1089	ASASSN-V
2458263.853	245	2.0155	0.1234	ASASSN-g
2458608.205	257	2.0646	0.0792	ASASSN-g
