HJD	Epoch	O-C	O-Cerr	Source
2412847.829	-8866	0.0507	0.0325	Harvard
2421423.497	-6591	-0.0314	0.0632	Harvard
2422896.96	-6199	0.1816	0.3113	Harvard
2423326.465	-6085	0.1455	0.4311	Harvard
2423982.042	-5911	0.1076	0.0842	Harvard
2424351.207	-5813	0.0175	0.0966	Harvard
2424769.447	-5702	0.0201	0.0521	Harvard
2425134.974	-5605	0.0602	0.0507	Harvard
2425492.96	-5510	0.096	0.0145	Harvard
2425839.526	-5418	0.0146	0.0394	Harvard
2426186.301	-5326	0.1421	0.0374	Harvard
2426566.839	-5225	0.1226	0.2124	Harvard
2426917.201	-5132	0.069	0.049	Harvard
2427335.387	-5021	0.0179	0.0364	Harvard
2427682.07	-4929	0.0539	0.042	Harvard
2428051.393	-4831	0.1222	0.0761	Harvard
2428397.955	-4739	0.0372	0.029	Harvard
2428782.263	-4637	0.0183	0.0314	Harvard
2429129.009	-4545	0.117	0.0467	Harvard
2429166.687	-4535	0.116	0.04	Miller-Wachmann1973 Arch.
2429490.61	-4450	-0.0005	0.0169	Harvard
2429844.704	-4356	-0.0898	0.1679	Harvard
2430195.204	-4263	-0.0042	0.0659	Harvard
2430579.685	-4160	0.1507	0.047	Harvard
2430930.137	-4067	0.1871	0.0757	Harvard
2431321.79	-3964	-0.0217	0.0182	Harvard
2431683.67	-3867	0.1393	0.0215	Harvard
2431736.377	-3853	0.0956	0.04	Miller-Wachmann1973 Arch.
2432030.239	-3775	0.061	0.0302	Harvard
2432406.851	-3676	-0.1172	0.0539	Harvard
2432776.32	-3577	0.097	0.0435	Harvard
2433145.544	-3479	0.067	0.0444	Harvard
2433356.537	-3423	0.0569	0.04	Miller-Wachmann1973 Arch.
2433499.695	-3385	0.0353	0.0339	Harvard
2433541.147	-3374	0.0396	0.04	Miller-Wachmann1973 Arch.
2433850.101	-3292	0.0261	0.0406	Harvard
2433861.397	-3289	0.0178	0.04	Miller-Wachmann1973 Arch.
2434238.207	-3189	0.0374	0.04	Miller-Wachmann1973 Arch.
2434264.631	-3182	0.086	0.2538	Harvard
2434927.647	-3006	-0.049	0.04	Miller-Wachmann1973 Arch.
2435089.841	-2963	0.1258	0.019	Harvard
2439743.034	-1729	-0.0429	0.0328	Harvard
2440116.151	-1629	0.0519	0.0363	Harvard
2440474.109	-1534	0.0585	0.0656	Harvard
2440481.487	-1532	-0.0994	0.04	Miller-Wachmann1973 Arch.
2440824.386	-1442	-0.0792	0.1216	Harvard
2441928.327	-1149	-0.1341	0.181	Harvard
2442365.541	-1032	0.0027	0.0428	Harvard
2442712.344	-940	0.1593	0.0252	Harvard
2443070.099	-846	-0.0374	0.0754	Harvard
2443420.583	-752	0.0323	0.052	Harvard
2443774.641	-659	-0.0927	0.0864	Harvard
2444486.834	-470	-0.0341	0.0776	Harvard
2444837.219	-377	-0.0643	0.0689	Harvard
2445195.322	-281	0.088	0.0301	Harvard
2445549.301	-188	-0.1154	0.0335	Harvard
2445903.573	-94	-0.0265	0.0212	Harvard
2446250.245	-2	-0.0017	0.0034	Berdnikov2008
2446261.51	0	-0.0405	0.0425	Harvard
2446611.876	93	-0.0892	0.0312	Harvard
2446973.704	190	0.02	0.1201	Harvard
2446977.457	191	0.0047	0.0066	Henden1996
2447324.066	282	-0.0337	0.0509	Harvard
2447768.682	400	-0.0303	0.0094	Schmidt1993
2450308.262	1074	-0.0174	0.005	Berdnikov2008
2452746.102	1721	-0.0109	0.0059	IOMC
2453092.692	1813	-0.0682	0.0591	IOMC
2453744.543	1986	-0.0647	0.0052	IOMC
2454091.228	2078	-0.0269	0.0032	IOMC
2455703.835	2506	-0.0826	0.0038	IOMC
2456065.564	2602	-0.0723	0.0042	IOMC
2456155.996	2626	-0.0707	0.0869	KWS
2456438.591	2701	-0.0681	0.0069	IOMC
2456506.398	2719	-0.0832	0.0194	KWS
2456853.047	2811	-0.0817	0.02	KWS
2456984.908	2846	-0.0971	0.0049	IOMC
2457146.923	2889	-0.1018	0.0018	ASASSN-V
2457222.23	2909	-0.1535	0.016	KWS
2457331.545	2938	-0.107	0.0047	IOMC
2457497.34	2982	-0.1003	0.0017	ASASSN-V
2457599.138	3009	-0.0351	0.0241	KWS
2457866.595	3080	-0.0996	0.0022	ASASSN-V
2457945.721	3101	-0.0993	0.0161	KWS
2458224.547	3175	-0.0986	0.0026	ASASSN-V
2458235.842	3178	-0.1076	0.0014	ASASSN-g
2458292.386	3193	-0.0816	0.0213	KWS
2458586.249	3271	-0.115	0.0019	ASASSN-g
2458691.774	3299	-0.0917	0.0404	KWS
2458955.496	3369	-0.1233	0.0013	ASASSN-g
2459060.928	3397	-0.1918	0.0367	KWS
