HJD	Epoch	O-C	O-Cerr	Source
2441392.499	-857	-0.5361	0.2211	Grayzeck1978
2441753.298	-829	-0.4371	0.0998	Madore1975
2441766.189	-828	-0.4282	0.3989	Grayzeck1978
2442216.552	-793	-0.9404	0.2104	Madore1975
2444046.095	-651	-0.6611	0.5317	Berdnikov2008
2444419.749	-622	-0.5892	0.2529	Berdnikov2008
2445154.291	-565	-0.329	0.0408	Berdnikov2008
2451866.049	-44	-0.1662	0.0385	ASAS
2452433.04	0	0.0106	0.0241	ASAS
2452780.774	26	-0.073	0.0241	ASAS
2453128.482	53	-0.1821	0.0342	ASAS
2453476.401	80	-0.081	0.0259	ASAS
2453824.217	107	-0.0836	0.0287	ASAS
2454172.106	134	-0.0118	0.0272	ASAS
2454519.898	161	-0.0372	0.0221	ASAS
2454867.774	189	0.0201	0.0317	ASAS
2456645.355	326	-0.1338	0.0337	Berdnikov2015
2457418.542	387	0.1244	0.0116	ASASSN-V
2457766.383	414	0.1481	0.0085	ASASSN-V
2457920.917	426	0.0959	0.0884	IOMC
2458114.213	441	0.1599	0.0061	ASASSN-V
