HJD	Epoch	O-C	O-Cerr	Source
2441754.304	-600	1.8145	0.2323	Madore1975
2449529.319	-162	0.1347	0.2333	Berdnikov2008
2450559.281	-104	0.3058	0.0956	Berdnikov2008
2450878.848	-86	0.2825	0.1232	Berdnikov2008
2451233.763	-66	0.0972	0.0793	Berdnikov2008
2451606.513	-46	-0.0084	0.0927	Berdnikov2008
2451890.555	-30	-0.0462	0.1435	ASAS
2451943.882	-26	0.0159	0.2272	Berdnikov2008
2452316.636	-6	-0.0856	0.1138	Berdnikov2008
2452423.252	0	-0.0	0.1235	ASAS
2452618.493	10	-0.0635	0.1292	Berdnikov2008
2452671.799	13	-0.0224	0.1526	ASAS
2452707.321	15	-0.0112	0.1044	IOMC
2452973.469	30	-0.188	0.1107	Berdnikov2008
2452973.511	30	-0.1457	0.0966	ASAS
2453222.216	44	-0.0111	0.0866	ASAS
2453470.646	58	-0.1514	0.1045	ASAS
2453719.156	72	-0.2115	0.0919	ASAS
2453985.651	87	-0.0418	0.0818	IOMC
2454092.085	93	-0.1381	0.1019	ASAS
2454340.655	107	-0.138	0.1347	ASAS
2454518.246	117	-0.0965	0.183	IOMC
2454589.157	121	-0.2059	0.11	ASAS
2454837.805	135	-0.1277	0.1095	ASAS
2456346.919	220	-0.1901	0.0895	Bochum
2456630.805	236	-0.3842	0.1336	Berdnikov2015
2456719.681	241	-0.2836	0.1223	Bochum
2457074.658	261	-0.4068	0.1157	Bochum
2457447.519	282	-0.4008	0.0779	ASASSN-V
2457749.312	299	-0.4434	0.0875	ASASSN-V
2457997.901	313	-0.4243	0.074	ASASSN-V
2458193.207	324	-0.4235	0.0831	ASASSN-g
2458246.423	327	-0.4719	0.0695	ASASSN-V
2458477.238	340	-0.4722	0.0765	ASASSN-g
2458725.796	354	-0.4841	0.0834	ASASSN-g
