HJD	Epoch	O-C	O-Cerr	Source
2418355.62	-3805	0.2048	0.0616	AAVSO
2418708.584	-3750	0.2726	0.0925	AAVSO
2419407.9	-3641	0.2134	0.0873	AAVSO
2419767.282	-3585	0.2831	0.1003	AAVSO
2420004.659	-3548	0.2576	0.03	Szabados1991 Arch.
2420120.138	-3530	0.2437	0.0643	AAVSO
2420466.575	-3476	0.2004	0.0772	AAVSO
2421429.028	-3326	0.2105	0.03	Szabados1991 Arch.
2421666.472	-3289	0.2518	0.05	Szabados1991 Arch.
2426536.328	-2530	0.1444	0.05	Szabados1991 Arch.
2427094.575	-2443	0.1743	0.05	Szabados1991 Arch.
2427235.809	-2421	0.2498	0.0188	Floria1953
2432766.435	-1559	0.0346	0.0469	Eggen1951
2432766.457	-1559	0.0569	0.0377	AAVSO
2432766.463	-1559	0.0628	0.0152	Mitchell1964
2432997.457	-1523	0.0704	0.02	Szabados1991 Arch.
2433119.358	-1504	0.0621	0.0282	Eggen1951
2433119.372	-1504	0.0757	0.0708	AAVSO
2433119.424	-1504	0.128	0.0316	Mitchell1964
2433536.423	-1439	0.0681	0.05	Szabados1991 Arch.
2434915.905	-1224	0.0478	0.0318	Asarnova1957
2434967.24	-1216	0.0527	0.05	Szabados1991 Arch.
2436032.321	-1050	0.0297	0.02	Szabados1991 Arch.
2436821.509	-927	0.0146	0.0261	AAVSO
2436821.524	-927	0.0292	0.0075	Mitchell1964
2436834.345	-925	0.0176	0.02	Szabados1991 Arch.
2437174.358	-873	-0.0323	0.0346	Mitchell1964
2437174.377	-873	-0.0141	0.0647	AAVSO
2437212.868	-866	-0.0205	0.02	Szabados1991 Arch.
2437578.687	-809	0.07	0.05	Szabados1991 Arch.
2438239.445	-706	-0.0497	0.05	Szabados1991 Arch.
2440581.457	-341	0.0168	0.02	Szabados1991 Arch.
2442320.325	-70	0.0706	0.0608	AAVSO
2442641.063	-21	-0.0058	0.0165	Szabados1980
2442775.827	0	0.016	0.02	Szabados1991 Arch.
2444097.61	206	0.0434	0.0095	Moffett1984
2444334.973	243	0.0037	0.02	Szabados1991 Arch.
2444456.897	262	0.0186	0.0185	Moffett1984
2444816.242	318	0.0513	0.009	Moffett1984
2444931.69	336	0.0058	0.02	Szabados1991 Arch.
2445586.193	438	0.0476	0.1053	AAVSO
2445932.636	492	0.0112	0.0471	AAVSO
2446279.145	546	0.0405	0.07	AAVSO
2446606.382	597	0.0464	0.0077	Berdnikov2008
2446676.881	607	-0.0335	0.0726	AAVSO
2447048.975	665	-0.084	0.0911	AAVSO
2447395.585	720	0.0456	0.0086	Berdnikov2008
2447742.072	774	0.0533	0.0106	Berdnikov2008
2447761.398	777	0.1305	0.0602	AAVSO
2447883.19	796	0.0133	0.0088	Hipp
2448101.394	830	0.0635	0.0079	Berdnikov2008
2448229.707	850	0.0503	0.0107	Hipp
2448499.205	892	0.0641	0.009	Berdnikov2008
2448601.813	908	0.0113	0.0137	Hipp
2448852.11	947	0.0737	0.0068	Berdnikov2008
2448967.658	965	0.1278	0.0913	Hipp
2449615.646	1066	0.0708	0.0105	Berdnikov2008
2450186.792	1155	0.1676	0.1112	AAVSO
2450302.194	1173	0.0759	0.0077	Berdnikov2008
2452855.861	1571	0.0601	0.0636	AAVSO
2453221.72	1628	0.1905	0.0507	AAVSO
2453574.66	1683	0.235	0.0954	AAVSO
2453985.185	1747	0.1171	0.0522	AAVSO
2454331.63	1801	0.0825	0.0519	AAVSO
2454697.265	1857	-0.0113	0.0725	AAVSO
2455056.84	1914	0.2517	0.1509	AAVSO
2455756.062	2023	0.0979	0.0135	KWS
2456102.605	2077	0.1618	0.021	KWS
2456481.134	2136	0.1301	0.0082	KWS
2456846.895	2193	0.1622	0.0091	KWS
2457142.126	2239	0.2435	0.0197	ASASSN-V
2457219.029	2251	0.1513	0.0063	KWS
2457495.001	2294	0.2229	0.0159	ASASSN-V
2457604.034	2311	0.1792	0.0053	KWS
2457629.715	2315	0.1948	0.0662	AAVSO
2457867.126	2352	0.2038	0.0177	ASASSN-V
2457950.521	2365	0.1861	0.0097	KWS
2457976.347	2369	0.3471	0.1278	AAVSO
2458226.432	2408	0.1972	0.025	ASASSN-V
2458232.827	2409	0.1753	0.013	ASASSN-g
2458309.848	2421	0.2012	0.007	KWS
2458322.68	2423	0.2011	0.0308	AAVSO
2458585.717	2464	0.1702	0.013	ASASSN-g
2458694.827	2481	0.2029	0.0059	KWS
2458951.4	2521	0.1242	0.02	ASASSN-g
2459060.64	2538	0.2875	0.0276	KWS
