HJD	Epoch	O-C	O-Cerr	Source
2413088.387	-5683	1.1013	0.1312	Harvard
2414555.294	-5450	1.0541	0.2462	Harvard
2414907.743	-5394	0.9309	0.083	Harvard
2415367.334	-5321	0.9183	0.0528	Harvard
2415713.416	-5266	0.7242	0.1154	Harvard
2416059.786	-5211	0.8168	0.0392	Harvard
2416406.152	-5156	0.9066	0.0391	Harvard
2416739.956	-5103	1.0259	0.1	Szabados1980 Arch.
2416764.933	-5099	0.8188	0.038	Harvard
2417111.066	-5044	0.6749	0.0561	Harvard
2417186.849	-5032	0.9072	0.05	Szabados1980 Arch.
2417356.876	-5005	0.9439	0.05	Szabados1980 Arch.
2417457.411	-4989	0.7436	0.0897	Harvard
2417514.206	-4980	0.8754	0.05	Szabados1980 Arch.
2417520.375	-4979	0.7485	0.05	Szabados1980 Arch.
2417791.273	-4936	0.9211	0.1	Szabados1980 Arch.
2417803.692	-4934	0.7475	0.0802	Harvard
2418181.72	-4874	1.0196	0.1381	Harvard
2418546.675	-4816	0.8106	0.0399	Harvard
2418943.257	-4753	0.7477	0.1211	Harvard
2419289.75	-4698	0.9649	0.0632	Harvard
2419616.75	-4646	0.5758	0.1	Szabados1980 Arch.
2419667.177	-4638	0.6351	0.0406	Harvard
2420013.588	-4583	0.7692	0.1068	Harvard
2420384.987	-4524	0.7081	0.0534	Harvard
2420750.117	-4466	0.6732	0.0584	Harvard
2421096.307	-4411	0.5867	0.0441	Harvard
2421366.977	-4368	0.5317	0.05	Szabados1980 Arch.
2421480.352	-4350	0.58	0.0456	Harvard
2421845.447	-4292	0.5106	0.0491	Harvard
2422191.725	-4237	0.5118	0.1348	Harvard
2422569.451	-4177	0.4814	0.0354	Harvard
2422915.802	-4122	0.5551	0.0624	Harvard
2423261.934	-4067	0.4109	0.3533	Harvard
2423608.24	-4012	0.4406	0.0342	Harvard
2423960.857	-3956	0.4843	0.032	Harvard
2424042.682	-3943	0.4627	0.1	Szabados1980 Arch.
2424344.878	-3895	0.4535	0.0392	Harvard
2424722.707	-3835	0.5258	0.0889	Harvard
2425081.504	-3778	0.4542	0.0534	Harvard
2425125.528	-3771	0.4072	0.05	Szabados1980 Arch.
2425427.745	-3723	0.4193	0.0212	Harvard
2425792.852	-3665	0.3612	0.0234	Harvard
2426183.185	-3603	0.3466	0.0209	Harvard
2426548.31	-3545	0.3066	0.0227	Harvard
2426900.871	-3489	0.2947	0.023	Harvard
2427272.316	-3430	0.2798	0.0283	Harvard
2427637.448	-3372	0.247	0.0229	Harvard
2427750.741	-3354	0.2136	0.1	Szabados1980 Arch.
2427983.713	-3317	0.2354	0.0238	Harvard
2428336.378	-3261	0.3282	0.0188	Harvard
2428726.724	-3199	0.3259	0.0186	Harvard
2429072.918	-3144	0.243	0.0218	Harvard
2429098.068	-3140	0.2096	0.05	Szabados1980 Arch.
2429431.786	-3087	0.2424	0.0177	Harvard
2429469.627	-3081	0.3082	0.1	Szabados1980 Arch.
2429809.529	-3027	0.2295	0.0154	Harvard
2430168.329	-2970	0.1603	0.0211	Harvard
2430546.091	-2910	0.1666	0.0104	Harvard
2430697.211	-2886	0.1841	0.05	Szabados1980 Arch.
2430898.689	-2854	0.1918	0.0197	Harvard
2431011.804	-2836	-0.0198	0.1	Szabados1980 Arch.
2431282.661	-2793	0.112	0.0223	Harvard
2431358.296	-2781	0.1955	0.05	Szabados1980 Arch.
2431641.552	-2736	0.1339	0.0111	Harvard
2431994.165	-2680	0.1742	0.0201	Harvard
2432340.476	-2625	0.2089	0.0199	Harvard
2432705.487	-2568	0.0551	0.0325	Harvard
2433070.753	-2509	0.1567	0.0233	Harvard
2433184.001	-2491	0.0782	0.05	Szabados1980 Arch.
2433442.171	-2450	0.1143	0.0239	Harvard
2433832.544	-2388	0.1393	0.0574	Harvard
2434210.335	-2328	0.1736	0.0573	Harvard
2435872.175	-2064	-0.1137	0.1	Szabados1980 Arch.
2436073.59	-2032	-0.1694	0.07	Erleksova1982 Arch.
2436401.01	-1980	-0.1376	0.1	Szabados1980 Arch.
2436741.147	-1926	0.0184	0.0038	Mitchell1964
2436766.328	-1922	0.0159	0.01	Szabados1980 Arch.
2436772.644	-1921	0.0357	0.0069	Oosterhoff1960
2436791.473	-1918	-0.0228	0.01	Szabados1980 Arch.
2436879.6	-1904	-0.039	0.01	Szabados1980 Arch.
2436986.66	-1887	-0.0105	0.03	Erleksova1982 Arch.
2437024.67	-1881	0.2244	0.1	Szabados1980 Arch.
2437181.865	-1856	0.0209	0.009	Mitchell1964
2437219.574	-1850	-0.0457	0.01	Szabados1980 Arch.
2437364.543	-1827	0.1167	0.1	Szabados1980 Arch.
2437842.87	-1751	-0.0482	0.04	Erleksova1982 Arch.
2438541.85	-1640	0.0831	0.1	Szabados1980 Arch.
2438762.04	-1605	-0.0853	0.03	Erleksova1982 Arch.
2439045.323	-1560	-0.119	0.1	Szabados1980 Arch.
2439599.46	-1472	-0.0252	0.03	Erleksova1982 Arch.
2440096.672	-1393	-0.1918	0.1	Szabados1980 Arch.
2440115.768	-1391	0.0163	0.1584	Harvard
