HJD	Epoch	O-C	O-Cerr	Source
2412076.018	-4063	0.3355	0.3368	Harvard
2412537.425	-4002	0.1646	0.1111	Harvard
2413241.056	-3909	0.0796	0.4928	Harvard
2413846.501	-3829	0.1774	0.2754	Harvard
2414353.6	-3762	0.2976	0.1119	Harvard
2414913.467	-3688	0.2191	0.0632	Harvard
2415367.6	-3628	0.3412	0.0608	Harvard
2415813.874	-3569	0.172	0.0592	Harvard
2416373.96	-3495	0.3114	0.0338	Harvard
2416533.795	-3474	0.2716	0.05	Szabados1991 Arch.
2416820.215	-3436	0.1226	0.0278	Harvard
2417266.813	-3377	0.2775	0.06	Harvard
2417879.702	-3296	0.2522	0.0399	Harvard
2418326.183	-3237	0.2898	0.0295	Harvard
2418780.02	-3177	0.1156	0.0469	Harvard
2419302.129	-3108	0.1128	0.0349	Harvard
2419748.675	-3049	0.2158	0.0377	Harvard
2420194.96	-2990	0.0567	0.0372	Harvard
2420754.973	-2916	0.1238	0.0209	Harvard
2421655.422	-2797	0.1185	0.023	Harvard
2421936.353	-2760	0.1052	0.05	Szabados1991 Arch.
2422192.635	-2726	0.0863	0.0318	Harvard
2422639.1	-2667	0.1075	0.0292	Harvard
2423085.555	-2608	0.1184	0.0641	Harvard
2423532.034	-2549	0.154	0.0528	Harvard
2424061.657	-2479	0.0976	0.053	Harvard
2424508.04	-2420	0.0375	0.0654	Harvard
2424977.336	-2358	0.1889	0.0611	Harvard
2425326.322	-2312	0.1294	0.05	Szabados1991 Arch.
2425522.176	-2286	0.2168	0.0548	Harvard
2425968.471	-2227	0.068	0.0394	Harvard
2426393.242	-2171	0.1248	0.05	Szabados1991 Arch.
2426414.827	-2168	-0.0193	0.042	Harvard
2426959.676	-2096	0.0167	0.0389	Harvard
2427233.264	-2060	0.2275	0.05	Szabados1991 Arch.
2427406.223	-2037	0.1202	0.0465	Harvard
2427581.209	-2014	0.0978	0.05	Szabados1991 Arch.
2427852.605	-1978	0.0582	0.0637	Harvard
2427982.333	-1961	0.1792	0.05	Szabados1991 Arch.
2428450.325	-1899	-0.002	0.0564	Harvard
2428565.06	-1884	0.2594	0.05	Szabados1991 Arch.
2428896.833	-1840	0.0622	0.0416	Harvard
2429064.379	-1818	0.1669	0.05	Szabados1991 Arch.
2429306.578	-1786	0.227	0.05	Szabados1991 Arch.
2429343.21	-1781	-0.0039	0.0491	Harvard
2429798.322	-1721	0.1264	0.05	Szabados1991 Arch.
2429873.06	-1711	0.1668	0.0311	Harvard
2430319.447	-1652	0.1108	0.0285	Harvard
2430751.793	-1595	0.1754	0.05	Szabados1991 Arch.
2430765.862	-1593	0.0818	0.0308	Harvard
2431039.385	-1557	0.2274	0.05	Szabados1991 Arch.
2431325.733	-1519	0.0067	0.0504	Harvard
2431772.234	-1460	0.0641	0.037	Harvard
2432226.217	-1400	0.0364	0.0919	Harvard
2432672.592	-1341	-0.0323	0.0586	Harvard
2433149.514	-1278	0.1791	0.0397	Harvard
2433595.788	-1219	0.009	0.0553	Harvard
2433892.019	-1180	0.1624	0.05	Szabados1991 Arch.
2433960.037	-1171	0.0788	0.05	Szabados1991 Arch.
2434042.433	-1160	0.2111	0.127	Harvard
2435162.194	-1012	0.0793	0.0101	Mitchell1964
2435162.27	-1012	0.155	0.0191	AAVSO
2435162.295	-1012	0.1799	0.0342	AAVSO
2435178.286	-1010	0.0664	0.03	Szabados1991 Arch.
2435208.5	-1006	0.013	0.03	Szabados1991 Arch.
2435525.488	-964	0.1654	0.0337	AAVSO
2436192.193	-876	0.0167	0.02	Szabados1991 Arch.
2436282.987	-864	0.0086	0.05	Szabados1991 Arch.
2436811.747	-794	0.061	0.0097	Mitchell1964
2436811.775	-794	0.0889	0.0203	AAVSO
2436811.782	-794	0.0959	0.0197	AAVSO
2436835.395	-791	0.0372	0.02	Szabados1991 Arch.
2437047.28	-763	0.0507	0.02	Szabados1991 Arch.
2438076.401	-627	0.0813	0.05	Szabados1991 Arch.
2439906.62	-385	0.0959	0.1697	Harvard
2440640.598	-288	0.0905	0.012	Pel1976
2440777.748	-270	0.0661	0.02	Szabados1991 Arch.
2442078.367	-98	0.1594	0.0423	AAVSO
2442403.625	-55	0.0435	0.0071	Szabados1980
2442456.579	-48	0.0292	0.055	AAVSO
2442820.794	0	0.065	0.02	Szabados1991 Arch.
2442850.091	4	0.0659	0.0238	Szabados1980
2444212.164	184	0.1072	0.0207	Moffett1984
2444440.057	214	0.024	0.02	Szabados1991 Arch.
2444636.057	240	0.2577	0.0382	AAVSO
2444644.241	241	-0.0967	0.05	Szabados1991 Arch.
2444795.791	261	0.1165	0.05	Szabados1991 Arch.
2444885.584	273	0.079	0.0041	Moffett1984
2444969.752	284	0.0402	0.02	Szabados1991 Arch.
2445279.067	325	0.0864	0.0406	AAVSO
2445301.74	328	0.0584	0.0506	AAVSO
2445657.437	375	0.1138	0.0454	AAVSO
2445725.592	384	0.1674	0.0304	AAVSO
2446005.591	421	0.1934	0.0353	AAVSO
2446172.012	443	0.1432	0.0254	AAVSO
2446361.199	468	0.1597	0.0273	AAVSO
2446679.064	510	0.2172	0.0255	AAVSO
2446732.019	517	0.2047	0.0254	AAVSO
2447095.174	565	0.1513	0.0308	AAVSO
2447125.479	569	0.1885	0.0255	AAVSO
2447450.78	612	0.1159	0.0367	AAVSO
2447571.899	628	0.165	0.0327	AAVSO
2447798.951	658	0.2119	0.0344	AAVSO
2447957.896	679	0.2532	0.0287	Hipp
2448207.596	712	0.2469	0.032	AAVSO
2448207.63	712	0.2814	0.0301	AAVSO
2448487.629	749	0.307	0.0066	Hipp
2448578.339	761	0.2153	0.0871	AAVSO
2448653.981	771	0.1892	0.064	AAVSO
2448926.249	807	0.0506	0.1	AAVSO
2449652.801	903	0.1857	0.0812	AAVSO
2449705.735	910	0.1524	0.0555	AAVSO
2450000.785	949	0.095	0.0776	AAVSO
2450152.268	969	0.2417	0.0403	AAVSO
2450349.038	995	0.2733	0.0369	AAVSO
2450704.661	1042	0.2552	0.0449	AAVSO
2450704.742	1042	0.3362	0.0552	AAVSO
2451052.733	1088	0.2525	0.037	AAVSO
2451158.704	1102	0.2873	0.0415	AAVSO
2451461.18	1142	0.0896	0.0404	AAVSO
2451604.983	1161	0.1229	0.0504	AAVSO
2451824.423	1190	0.1248	0.0486	AAVSO
2452172.556	1236	0.1828	0.3384	AAVSO
2452618.997	1295	0.1799	0.0037	ASAS
2453065.434	1354	0.1739	0.0083	Berdnikov2008
2453065.454	1354	0.1939	0.0066	ASAS
2453625.372	1428	0.1656	0.0089	ASAS
2454086.965	1489	0.1813	0.006	ASAS
2454533.404	1548	0.1763	0.0074	ASAS
2455123.596	1626	0.1547	0.0196	ASAS
2455524.721	1679	0.2373	0.0145	KWS
2455585.39	1687	0.3711	0.1113	AAVSO
2455933.351	1733	0.2582	0.044	AAVSO
2455971.182	1738	0.2545	0.0055	KWS
2456220.8	1771	0.1669	0.0374	AAVSO
2456288.899	1780	0.1638	0.0431	AAVSO
2456576.494	1818	0.2197	0.0046	KWS
2456629.444	1825	0.2011	0.0055	Berdnikov2015
2456637.039	1826	0.2294	0.0555	AAVSO
2457022.949	1877	0.2302	0.0078	KWS
2457030.584	1878	0.2993	0.0434	AAVSO
2457378.644	1924	0.2845	0.032	AAVSO
2457650.987	1960	0.2205	0.0061	KWS
2457688.931	1965	0.331	0.0381	ASASSN-V
2458074.702	2016	0.1923	0.1311	AAVSO
2458097.449	2019	0.239	0.0052	KWS
2458157.829	2027	0.0842	0.4379	AAVSO
2458157.898	2027	0.1537	0.1395	ASASSN-V
2458218.503	2035	0.2239	0.0149	ASASSN-g
2458543.886	2078	0.2323	0.0066	KWS
2458717.835	2101	0.1443	0.0165	ASASSN-g
2458801.269	2112	0.3426	0.2209	Piszkes
