HJD	Epoch	O-C	O-Cerr	Source
2434895.695	-4203	-0.1328	0.0092	Mitchell1964
2435201.187	-4104	-0.1666	0.0123	Mitchell1964
2440682.217	-2328	-0.0968	0.0059	Pel1976
2441052.579	-2208	-0.0702	0.016	Pel1976
2443154.26	-1527	-0.0405	0.0056	Stobie1979
2444416.515	-1118	-0.0107	0.0191	Eggen1985
2447866.811	0	-0.0038	0.004	Hipp
2448172.336	98	-0.0054	0.0041	Hipp
2448811.162	305	-0.0077	0.009	Hipp
2451897.272	1305	-0.0233	0.0075	ASAS
2452227.506	1412	-0.0049	0.0055	ASAS
2452622.52	1540	-0.0151	0.0028	ASAS
2452955.817	1648	-0.0195	0.0025	ASAS
2453353.93	1777	-0.0169	0.0025	ASAS
2453674.877	1881	-0.0274	0.0029	ASAS
2454091.499	2016	-0.0324	0.0043	ASAS
2454427.896	2125	-0.0229	0.004	ASAS
2454792.063	2243	-0.0191	0.0054	ASAS
2456643.768	2844	0.0102	0.005	Berdnikov2015
2457193.113	3022	0.025	0.0067	Gaia-dr2
2457436.904	3101	0.0122	0.0065	ASASSN-V
2457736.266	3198	0.0201	0.0057	ASASSN-V
2458069.566	3306	0.0185	0.0043	ASASSN-V
