HJD	Epoch	O-C	O-Cerr	Source
2413612.659	-3516	-0.3988	0.3448	Harvard
2414013.505	-3449	0.3982	0.2905	Harvard
2414352.46	-3394	-0.0829	0.3008	Harvard
2414473.492	-3373	-0.2777	0.1	Szabados1989 Arch.
2415115.822	-3268	-0.4511	0.2429	Harvard
2415516.429	-3201	0.1066	0.3414	Harvard
2415837.059	-3149	-0.5144	0.2705	Harvard
2416176.617	-3093	-0.3924	0.1933	Harvard
2416273.792	-3076	-0.1993	0.1	Szabados1989 Arch.
2416558.609	-3030	-0.2661	0.2308	Harvard
2416916.048	-2971	-0.4461	0.1727	Harvard
2417322.344	-2904	-0.261	0.126	Harvard
2417679.832	-2845	-0.3925	0.1823	Harvard
2418013.468	-2790	-0.131	0.2533	Harvard
2418140.658	-2768	-0.2297	0.1	Szabados1989 Arch.
2418358.81	-2733	-0.2858	0.1865	Harvard
2418746.81	-2669	-0.2126	0.1853	Harvard
2419146.768	-2603	-0.3036	0.0986	Harvard
2419516.539	-2542	-0.2751	0.1723	Harvard
2419637.915	-2521	-0.1266	0.1	Szabados1989 Arch.
2419886.319	-2481	-0.2375	0.1749	Harvard
2420268.201	-2418	-0.2211	0.1874	Harvard
2420601.515	-2363	-0.2814	0.1262	Harvard
2420753.194	-2337	-0.1364	0.1	Szabados1989 Arch.
2420928.844	-2309	-0.2658	0.1844	Harvard
2421316.751	-2245	-0.2851	0.1399	Harvard
2421710.793	-2180	-0.231	0.128	Harvard
2422080.38	-2119	-0.3859	0.1841	Harvard
2422456.46	-2057	-0.1096	0.177	Harvard
2423171.589	-1939	-0.2203	0.1277	Harvard
2423195.88	-1934	-0.1752	0.1	Szabados1989 Arch.
2423529.195	-1880	-0.2346	0.1044	Harvard
2424341.574	-1745	-0.0768	0.1	Szabados1989 Arch.
2424644.378	-1696	-0.3406	0.162	Harvard
2424711.17	-1684	-0.2232	0.1	Szabados1989 Arch.
2425074.904	-1624	-0.1704	0.1	Szabados1989 Arch.
2426062.809	-1462	-0.2658	0.293	Harvard
2426474.936	-1394	-0.311	0.1753	Harvard
2426772.015	-1345	-0.2379	0.1328	Harvard
2427135.773	-1285	-0.1611	0.208	Harvard
2427523.611	-1221	-0.2497	0.2231	Harvard
2427893.392	-1160	-0.211	0.1949	Harvard
2428220.752	-1106	-0.1641	0.1397	Harvard
2428596.593	-1044	-0.1263	0.1776	Harvard
2428929.775	-989	-0.3188	0.2072	Harvard
2429341.909	-921	-0.3574	0.2211	Harvard
2429729.898	-857	-0.2946	0.1625	Harvard
2430069.535	-801	-0.0936	0.2115	Harvard
2430414.96	-744	-0.1657	0.1854	Harvard
2430760.427	-687	-0.1954	0.1963	Harvard
2431136.158	-625	-0.2684	0.2044	Harvard
2431487.812	-567	-0.173	0.2118	Harvard
2431869.666	-504	-0.1842	0.184	Harvard
2432269.788	-438	-0.1107	0.1714	Harvard
2432596.915	-384	-0.2973	0.1667	Harvard
2432978.795	-321	-0.2823	0.2289	Harvard
2433354.732	-259	-0.1489	0.123	Harvard
2433821.431	-182	-0.1738	0.2062	Harvard
2434118.329	-133	-0.2829	0.2363	Harvard
2434900.397	-4	-0.1285	0.0204	Mitchell1964
2434900.435	-3	-0.0909	0.05	Szabados1989 Arch.
2435197.473	44	-0.0589	0.0295	Mitchell1964
2435239.876	52	-0.0857	0.01	Szabados1989 Arch.
2437082.477	355	-0.1359	0.0444	Mitchell1964
2437276.489	388	-0.0869	0.05	Szabados1989 Arch.
2437452.27	416	-0.0851	0.0517	Mitchell1964
2440343.509	894	-0.111	0.01	Szabados1989 Arch.
2440713.323	954	-0.039	0.1372	Harvard
2440731.413	957	-0.1331	1.0452	Pel1976
2440779.949	966	-0.0884	0.01	Szabados1989 Arch.
2441089.076	1016	-0.0901	0.1482	Harvard
2441573.959	1097	-0.1155	0.01	Szabados1989 Arch.
2441949.75	1159	-0.1283	0.01	Szabados1989 Arch.
2443537.824	1421	-0.1285	0.01	Szabados1989 Arch.
2444022.725	1501	-0.1357	0.01	Szabados1989 Arch.
2444040.939	1503	-0.1059	0.0093	Moffett1984
2444246.988	1538	-0.1427	0.01	Szabados1989 Arch.
2444380.34	1559	-0.1404	0.0115	Moffett1984
2444392.476	1561	-0.1272	0.0136	Gieren1981
2444834.985	1635	-0.0969	0.03	Szabados1989 Arch.
2445083.47	1675	-0.1276	0.1588	Harvard
2445792.518	1792	-0.2573	0.106	Harvard
2446107.788	1844	-0.1781	0.1563	Harvard
2447235.029	2030	-0.3482	0.0807	Harvard
2447926.094	2144	-0.2776	0.0396	Hipp
2448308.006	2207	-0.23	0.039	Hipp
2448653.551	2264	-0.1829	0.0873	Hipp
2450344.65	2543	-0.2008	0.0166	Berdnikov2008
2450890.193	2633	-0.1795	0.0133	Berdnikov2008
2451247.787	2692	-0.2051	0.0137	Berdnikov2008
2451617.528	2753	-0.2061	0.0137	Berdnikov2008
2451944.874	2807	-0.174	0.0149	Berdnikov2008
2452320.652	2869	-0.1993	0.0186	Berdnikov2008
2452435.763	2888	-0.2544	0.0246	ASAS
2452732.748	2937	-0.2756	0.0628	ASAS
2453035.856	2987	-0.2354	0.0182	ASAS
2453072.253	2993	-0.2062	0.0132	Berdnikov2008
2453405.606	3048	-0.2271	0.034	ASAS
2453757.175	3106	-0.2165	0.0192	ASAS
2454126.93	3167	-0.2046	0.0181	ASAS
2454496.685	3228	-0.1914	0.0225	ASAS
2454848.235	3286	-0.2003	0.0234	ASAS
2456369.618	3537	-0.2166	0.0329	KWS
2456727.185	3596	-0.2689	0.0336	KWS
2457066.622	3652	-0.268	0.0491	KWS
2457430.318	3712	-0.2531	0.0439	KWS
2457775.897	3769	-0.1715	0.1566	ASASSN-V
2457818.239	3776	-0.2592	0.0601	KWS
2458139.484	3829	-0.2658	0.0789	KWS
2458145.571	3830	-0.2398	0.0529	ASASSN-V
2458169.814	3834	-0.2418	0.2485	ASASSN-g
2458509.311	3890	-0.1811	0.2006	ASASSN-g
2458557.699	3898	-0.2838	0.0439	KWS
