HJD	Epoch	O-C	O-Cerr	Source
2411373.592	-1977	1.2972	0.1486	Harvard
2412736.457	-1894	1.7263	0.3091	Harvard
2413230.612	-1864	3.435	1.1544	Harvard
2413852.615	-1826	1.6718	0.3394	Harvard
2414591.168	-1781	1.5551	0.1405	Harvard
2415083.674	-1751	1.6138	0.1591	Harvard
2415625.001	-1718	1.2492	0.0735	Harvard
2416117.251	-1688	1.0527	0.0665	Harvard
2416708.127	-1652	0.9924	0.0443	Harvard
2417200.658	-1622	1.0773	0.0931	Harvard
2417840.93	-1583	1.1684	0.1299	Harvard
2418333.106	-1553	0.8976	0.0707	Harvard
2418858.388	-1521	0.9036	0.0723	Harvard
2419350.813	-1491	0.8815	0.0573	Harvard
2419843.082	-1461	0.7035	0.0954	Harvard
2420335.655	-1431	0.8302	0.0535	Harvard
2420828.004	-1401	0.732	0.0791	Harvard
2421320.921	-1371	1.202	0.072	Harvard
2421829.422	-1340	0.8418	0.0596	Harvard
2422321.759	-1310	0.7316	0.051	Harvard
2422912.499	-1274	0.5356	0.05	Harvard
2423405.043	-1244	0.6335	0.0752	Harvard
2423897.48	-1214	0.6237	0.0711	Harvard
2424389.995	-1184	0.6918	0.0648	Harvard
2424882.424	-1154	0.6746	0.0473	Harvard
2425440.344	-1120	0.4879	0.051	Harvard
2425932.889	-1090	0.5863	0.0378	Harvard
2426425.281	-1060	0.5315	0.0548	Harvard
2426917.644	-1030	0.4473	0.0474	Harvard
2427409.961	-1000	0.3179	0.0631	Harvard
2428000.73	-964	0.1507	0.0559	Harvard
2428493.41	-934	0.3837	0.0444	Harvard
2428985.942	-904	0.4695	0.056	Harvard
2429494.733	-873	0.3986	0.0493	Harvard
2429987.226	-843	0.4453	0.0483	Harvard
2430578.164	-807	0.4473	0.0473	Harvard
2431070.575	-777	0.4109	0.0444	Harvard
2431661.42	-741	0.3199	0.0361	Harvard
2432154.06	-711	0.5137	0.0545	Harvard
2432777.427	-674	0.1142	0.0462	Harvard
2433270.345	-643	0.5858	0.0391	Harvard
2433828.386	-609	0.5209	0.0622	Harvard
2434320.742	-579	0.4297	0.1046	Harvard
2436175.391	-467	0.1957	0.01	Szabados1991 Arch.
2436799.279	-428	0.3182	0.0409	Mitchell1964
2436831.998	-427	0.2071	0.01	Szabados1991 Arch.
2436832.064	-427	0.2731	0.01	Szabados1991 Arch.
2436881.126	-424	0.0904	0.01	Szabados1991 Arch.
2439113.858	-288	0.3973	0.01	Szabados1991 Arch.
2439786.7	-247	0.2287	0.02	Szabados1991 Arch.
2439786.769	-246	0.2984	0.2628	Harvard
2440476.314	-204	0.4178	0.2242	Harvard
2441231.538	-158	0.5564	0.3502	Harvard
2441936.805	-116	-0.017	0.1517	Harvard
2442429.631	-85	0.3623	0.1401	Harvard
2443020.498	-49	0.2938	0.1601	Harvard
2443513.079	-19	0.4277	0.1784	Harvard
2443841.033	0	0.0837	0.01	Szabados1991 Arch.
2444136.176	17	-0.2409	0.394	Moffett1984
2444137.15	18	0.7325	0.1171	Harvard
2444382.912	32	0.2713	0.02	Szabados1991 Arch.
2444629.466	48	0.6019	0.1326	Harvard
2444810.091	59	0.6639	0.0435	Moffett1984
2445039.471	72	0.2346	0.01	Szabados1991 Arch.
2445171.28	81	0.7246	0.0949	Harvard
2445646.999	110	0.4123	0.083	Berdnikov2008
2445663.106	110	0.1044	0.1011	Harvard
2445696.129	112	0.297	0.01	Szabados1991 Arch.
2446156.2	141	0.7518	0.1235	Harvard
2446484.057	160	0.3102	0.02	Szabados1991 Arch.
2446648.186	171	0.2902	0.0705	Harvard
2447140.666	201	0.324	0.0965	Harvard
2447304.896	210	0.4047	0.02	Szabados1991 Arch.
2447403.299	217	0.3188	0.0216	Berdnikov2008
2447928.575	249	0.3181	0.0208	Hipp
2448470.122	282	0.1737	0.0234	Hipp
2448847.835	305	0.3443	0.0408	Berdnikov2008
2451408.641	461	0.4276	0.0554	NSVS
2456168.958	751	0.426	0.0125	KWS
2456661.366	781	0.3869	0.0122	KWS
2457006.096	802	0.4048	0.0152	ASASSN-V
2457252.384	817	0.4688	0.0121	KWS
2457597.173	838	0.5457	0.0125	ASASSN-V
2457744.893	847	0.5313	0.0095	KWS
2458089.65	868	0.5757	0.0139	ASASSN-V
2458401.572	887	0.615	0.0115	KWS
2458778.892	910	0.3925	0.0224	Piszkes
