HJD	Epoch	O-C	O-Cerr	Source
2415816.346	-2409	0.6188	0.05	Szabados1988 Arch.
2417675.876	-2249	0.2683	0.05	Szabados1988 Arch.
2421883.775	-1887	0.1877	0.05	Szabados1988 Arch.
2425115.17	-1609	0.0401	0.0258	Hellerich1935
2425243.04	-1598	0.0436	0.05	Szabados1988 Arch.
2426452.036	-1494	0.1173	0.05	Szabados1988 Arch.
2430044.005	-1185	0.1921	0.05	Szabados1988 Arch.
2433461.772	-891	0.4287	0.03	Szabados1988 Arch.
2436228.191	-653	0.2755	0.02	Szabados1988 Arch.
2437239.322	-566	0.0968	0.0211	Mitchell1964
2437611.331	-534	0.1294	0.02	Szabados1988 Arch.
2437634.646	-532	0.1959	0.0239	Mitchell1964
2437634.909	-532	0.4586	0.0439	AAVSO
2437936.955	-506	0.2743	0.05	Szabados1988 Arch.
2439064.236	-410	0.0028	0.02	Szabados1988 Arch.
2439494.259	-373	-0.0716	0.02	Szabados1988 Arch.
2441005.34	-243	-0.1435	0.03	Szabados1988 Arch.
2441040.347	-240	-0.0092	0.03	Szabados1988 Arch.
2442319.128	-129	0.1037	0.0611	AAVSO
2442714.331	-95	0.0824	0.0564	AAVSO
2443109.642	-61	0.1685	0.0789	AAVSO
2443423.222	-35	-0.1058	0.0071	Moffett1984
2443423.267	-35	-0.0607	0.0699	Harris1980
2443434.963	-33	0.0102	0.0098	Szabados1981
2443504.72	-28	0.0222	0.0707	AAVSO
2443818.531	-1	-0.0215	0.0158	Moffett1984
2443830.028	0	-0.1489	0.02	Szabados1988 Arch.
2443830.15	0	-0.0271	0.0174	Szabados1981
2443923.08	7	-0.0907	0.0873	AAVSO
2443946.243	9	-0.1765	0.02	Szabados1988 Arch.
2444213.841	33	0.0633	0.0085	Moffett1984
2444318.505	42	0.1095	0.0471	AAVSO
2445666.826	157	0.0171	0.0094	Berdnikov2008
2445689.89	159	-0.1674	0.02	Szabados1988 Arch.
2447224.531	292	0.0723	0.0375	AAVSO
2447398.794	306	-0.0291	0.0126	Berdnikov2008
2447619.651	325	-0.0324	0.0287	AAVSO
2447921.826	351	-0.0885	0.0049	Hipp
2448014.936	359	0.0284	0.0405	AAVSO
2448317.031	385	-0.1074	0.0072	Hipp
2448468.324	399	0.07	0.0616	AAVSO
2448863.374	432	-0.1048	0.0731	AAVSO
2449258.695	466	-0.008	0.0618	AAVSO
2449653.778	500	-0.1494	0.0574	AAVSO
2450002.59	530	-0.0654	0.0167	Berdnikov2008
2450049.011	534	-0.1415	0.0484	AAVSO
2450444.234	568	-0.1429	0.046	AAVSO
2450839.516	602	-0.0853	0.0349	AAVSO
2455512.66	1004	0.1085	0.0216	KWS
2455907.897	1038	0.1207	0.009	KWS
2456303.131	1072	0.1304	0.0063	KWS
2456698.399	1107	0.1738	0.0062	KWS
2456907.67	1125	0.2086	0.012	Gaia-dr2
2457279.654	1157	0.2159	0.0066	KWS
2457302.966	1159	0.2799	0.0084	Gaia-dr2
2457674.897	1191	0.2347	0.0063	KWS
2458023.751	1221	0.3613	0.0204	ASASSN-V
2458070.141	1225	0.2546	0.0069	KWS
2458418.996	1255	0.382	0.0375	ASASSN-V
2458465.391	1259	0.2795	0.0066	KWS
2458698.01	1279	0.4133	0.0134	ASASSN-g
2458860.646	1293	0.3095	0.0088	KWS
