HJD	Epoch	O-C	O-Cerr	Source
2411411.346	-4626	0.3436	0.179	Harvard
2413626.453	-4346	0.054	0.1886	Harvard
2414583.795	-4225	0.0279	0.1975	Harvard
2414963.529	-4177	-0.0207	0.0586	Harvard
2415311.625	-4133	-0.0586	0.0485	Harvard
2415659.782	-4089	-0.0353	0.031	Harvard
2416031.688	-4042	0.0004	0.0329	Harvard
2416379.821	-3998	-0.0005	0.0192	Harvard
2416727.971	-3954	0.0158	0.0242	Harvard
2417076.08	-3910	-0.0096	0.0214	Harvard
2417448.031	-3863	0.0713	0.0476	Harvard
2417843.468	-3813	-0.0984	0.0482	Harvard
2418191.734	-3769	0.0343	0.0253	Harvard
2418547.703	-3724	-0.0428	0.0331	Harvard
2418895.853	-3680	-0.0271	0.0401	Harvard
2419291.446	-3630	-0.041	0.0268	Harvard
2419441.739	-3611	-0.0778	0.05	Szabados1980 Arch.
2419639.716	-3586	0.0953	0.0424	Harvard
2419995.658	-3541	-0.0081	0.0361	Harvard
2420359.695	-3494	0.0708	0.08	Szabados1980 Arch.
2420367.524	-3494	-0.0128	0.0265	Harvard
2420723.592	-3449	0.0091	0.0344	Harvard
2421111.21	-3400	-0.0676	0.0292	Harvard
2421459.378	-3356	-0.0329	0.0479	Harvard
2421807.53	-3312	-0.0145	0.0345	Harvard
2422155.649	-3268	-0.0298	0.0286	Harvard
2422456.455	-3229	0.1155	0.08	Szabados1980 Arch.
2422527.456	-3221	-0.0929	0.0338	Harvard
2422638.225	-3207	-0.0935	0.05	Szabados1980 Arch.
2422907.217	-3173	-0.1143	0.032	Harvard
2422970.647	-3164	0.0189	0.08	Szabados1980 Arch.
2423310.799	-3122	-0.0512	0.0406	Harvard
2423311.012	-3121	0.1622	0.05	Szabados1980 Arch.
2423658.931	-3078	-0.0529	0.0358	Harvard
2424014.932	-3033	-0.0976	0.0349	Harvard
2424054.691	-3027	0.1007	0.05	Szabados1980 Arch.
2424363.02	-2989	-0.1434	0.0392	Harvard
2424394.803	-2984	-0.0091	0.05	Szabados1980 Arch.
2424734.956	-2942	-0.0783	0.0339	Harvard
2424774.609	-2936	0.0146	0.05	Szabados1980 Arch.
2425091.008	-2897	-0.0716	0.0265	Harvard
2425138.576	-2890	0.0234	0.05	Szabados1980 Arch.
2425431.351	-2853	0.0495	0.05	Szabados1980 Arch.
