HJD	Epoch	O-C	O-Cerr	Source
2414947.333	-6944	0.151	0.1272	Harvard
2415335.568	-6862	0.0775	0.0624	Harvard
2415663.006	-6792	0.0275	0.0206	Harvard
2416018.654	-6716	0.1164	0.037	Harvard
2416397.537	-6635	0.0484	0.0163	Harvard
2416753.058	-6559	0.0099	0.0127	Harvard
2417118.104	-6481	0.1404	0.0466	Harvard
2417501.66	-6399	0.0669	0.0283	Harvard
2417866.424	-6321	-0.0851	0.0461	Harvard
2418226.821	-6244	0.0745	0.0305	Harvard
2418587.033	-6167	0.0491	0.0288	Harvard
2418961.348	-6087	0.0913	0.0185	Harvard
2419321.526	-6010	0.0318	0.025	Harvard
2419691.12	-5931	0.0322	0.0172	Harvard
2420041.943	-5856	-0.0253	0.0275	Harvard
2420430.314	-5773	0.0379	0.0232	Harvard
2420767.245	-5701	0.1232	0.022	Harvard
2421122.778	-5625	0.0967	0.02	Harvard
2421487.627	-5547	0.0306	0.0283	Harvard
2421857.224	-5468	0.0334	0.0215	Harvard
2422236.095	-5387	-0.0471	0.0261	Harvard
2422587.006	-5312	-0.0164	0.028	Harvard
2422965.979	-5231	0.0052	0.0415	Harvard
2423344.952	-5150	0.0271	0.033	Harvard
2423700.527	-5074	0.0433	0.0248	Harvard
2424074.778	-4994	0.0215	0.0254	Harvard
2424453.814	-4913	0.1064	0.041	Harvard
2424799.887	-4839	-0.0231	0.0226	Harvard
2425164.863	-4761	0.0376	0.0637	Harvard
2425543.817	-4680	0.0401	0.032	Harvard
2425899.399	-4604	0.0631	0.035	Harvard
2426240.958	-4531	0.0989	0.0224	Harvard
2426619.879	-4450	0.0686	0.0285	Harvard
2426956.645	-4378	-0.011	0.0191	Harvard
2427330.999	-4298	0.0702	0.0209	Harvard
2427681.801	-4223	-0.0082	0.0318	Harvard
2428088.891	-4136	0.0606	0.0226	Harvard
2428435.072	-4062	0.039	0.0129	Harvard
2428790.629	-3986	0.0376	0.0175	Harvard
2429183.661	-3902	0.0834	0.017	Harvard
2429314.616	-3873	0.0423	0.02	Vinko1991 Arch.
2429515.825	-3831	0.0801	0.0122	Harvard
2429688.786	-3793	-0.0603	0.02	Vinko1991 Arch.
2429899.446	-3749	0.0712	0.0135	Harvard
2430053.786	-3715	0.0238	0.03	Vinko1991 Arch.
2430236.256	-3677	0.0359	0.0118	Harvard
2430619.889	-3595	0.0398	0.0151	Harvard
2431003.486	-3513	0.007	0.0171	Harvard
2431143.696	-3482	-0.1352	0.03	Vinko1991 Arch.
2431377.714	-3433	-0.0375	0.0247	Harvard
2431677.21	-3369	0.0406	0.021	Harvard
2431878.376	-3325	0.0347	0.03	Vinko1991 Arch.
2432056.01	-3288	-0.1107	0.0374	Harvard
2432421.146	-3210	0.1093	0.0248	Harvard
2432804.685	-3128	0.0197	0.0286	Harvard
2433155.645	-3053	0.0987	0.0258	Harvard
2433328.516	-3015	-0.1318	0.03	Vinko1991 Arch.
2433572.068	-2963	0.1433	0.0409	Harvard
2434283.18	-2812	0.1373	0.0711	Harvard
2435157.895	-2625	-0.0104	0.016	AAVSO
2435157.938	-2625	0.0325	0.0237	Mitchell1964
2435223.421	-2610	0.018	0.005	Vinko1991 Arch.
2437623.361	-2098	-0.0653	0.0525	AAVSO
2437623.542	-2097	0.1156	0.0505	Mitchell1964
2437656.155	-2090	-0.0202	0.005	Vinko1991 Arch.
2439069.036	-1788	-0.0184	0.005	Vinko1991 Arch.
2440664.402	-1448	0.011	0.0049	Pel1976
2440715.901	-1436	0.047	0.005	Vinko1991 Arch.
2440921.838	-1393	0.1341	0.0324	Harvard
2441305.534	-1310	0.2012	0.182	Harvard
2441993.083	-1163	0.0236	0.005	Vinko1991 Arch.
2442016.557	-1159	0.1057	0.1781	Harvard
2442353.309	-1086	0.0122	0.005	Vinko1991 Arch.
2443078.605	-931	0.1554	0.0769	Harvard
2444304.282	-669	0.0894	0.0544	Eggen1985
2444547.525	-618	0.0556	0.0821	Harvard
2444561.537	-614	0.0316	0.005	Vinko1991 Arch.
2444655.123	-594	0.0495	0.005	Vinko1991 Arch.
2444907.767	-540	0.0594	0.0049	Moffett1984
2444907.787	-541	0.08	0.0802	Harvard
2444912.45	-539	0.064	0.005	Vinko1991 Arch.
2445647.013	-383	0.1177	0.0316	Harvard
2445665.641	-378	0.0314	0.0317	AAVSO
2446358.184	-230	0.1705	0.0565	Harvard
2446376.712	-227	-0.0151	0.0388	AAVSO
2446788.582	-138	0.1546	0.0784	Harvard
2447111.408	-69	0.1709	0.0398	Harvard
2447452.841	2	0.0794	0.0339	Harvard
2447958.031	111	0.0022	0.0092	Hipp
