HJD	Epoch	O-C	O-Cerr	Source
2437597.498	-3439	0.1118	0.0402	Mitchell1964
2440861.071	-2672	0.0832	0.0053	Pel1976
2444911.744	-1721	-0.0241	0.0129	Moffett1984
2447958.334	-1005	-0.029	0.0037	Hipp
2448307.276	-922	0.0018	0.0059	Hipp
2448698.72	-831	-0.0164	0.0498	Hipp
2450804.951	-336	-0.0211	0.0045	Berdnikov2008
2451868.69	-86	-0.0371	0.0032	ASAS
2452217.639	-4	-0.0001	0.0181	ASAS
2452566.517	77	-0.0329	0.0106	ASAS
2452915.443	159	-0.0195	0.0032	ASAS
2453072.846	196	-0.0522	0.0047	Berdnikov2008
2453272.851	243	-0.0328	0.0071	ASAS
2453621.789	325	-0.007	0.0042	ASAS
2454081.337	433	-0.0014	0.0042	ASAS
2454430.271	516	0.0211	0.0114	ASAS
2454779.182	598	0.0208	0.0056	ASAS
2455145.156	684	0.0627	0.0461	ASAS
2455523.82	773	0.0302	0.0178	KWS
2455889.729	859	0.007	0.0211	KWS
2456238.663	941	0.0291	0.007	KWS
2456591.826	1024	0.0261	0.0091	KWS
2456638.617	1035	0.0111	0.0053	Berdnikov2015
2456957.753	1110	0.0208	0.0052	KWS
2457293.905	1189	0.0263	0.0025	ASASSN-V
2457306.686	1192	0.0421	0.0071	KWS
2457642.819	1271	0.0285	0.0021	ASASSN-V
2457664.114	1276	0.0487	0.0063	KWS
2457991.735	1353	0.0324	0.0018	ASASSN-V
2458051.312	1367	0.039	0.0055	KWS
2458225.751	1408	0.0222	0.0026	ASASSN-g
2458340.676	1435	0.0624	0.006	ASASSN-V
2458408.745	1451	0.0505	0.0079	KWS
2458574.656	1490	0.0164	0.0025	ASASSN-g
2458774.686	1537	0.0602	0.0052	KWS
2458923.589	1572	0.0373	0.0049	ASASSN-g
