HJD	Epoch	O-C	O-Cerr	Source
2433783.37	-424	-0.917	0.05	Szabados2013 Arch.
2434517.899	-389	-0.7354	0.2815	AAVSO
2434803.323	-374	-0.8908	0.05	Szabados2013 Arch.
2434844.017	-372	-0.9934	0.02	Szabados2013 Arch.
2435190.808	-355	-0.978	0.05	Szabados2013 Arch.
2440759.67	-82	-0.9149	0.02	Szabados2013 Arch.
2441636.684	-40	-1.0382	0.105	Madore1975
2441717.898	-36	-1.4182	0.02	Szabados2013 Arch.
2441860.93	-28	-1.1754	0.02	Szabados2013 Arch.
2442452.438	0	-1.2247	0.02	Szabados2013 Arch.
2444369.852	93	-1.2726	0.02	Szabados2013 Arch.
2444390.189	94	-1.3341	0.03	Szabados2013 Arch.
2445002.096	124	-1.3836	0.02	Szabados2013 Arch.
2446919.805	218	-1.1367	0.0753	AAVSO
2447266.227	235	-1.4894	0.1049	AAVSO
2447898.805	266	-1.2664	0.0254	Hipp
2447960.002	269	-1.2648	0.0661	AAVSO
2448225.242	282	-1.2054	0.02	Szabados2013 Arch.
2448245.785	283	-1.0606	0.0188	Hipp
2448307.035	286	-1.0062	0.1692	AAVSO
2448633.298	302	-1.1206	0.0146	Hipp
2448796.393	310	-1.2135	0.02	Szabados2013 Arch.
2449000.564	320	-1.0276	0.0822	AAVSO
2449183.971	329	-1.208	0.05	Szabados2013 Arch.
2449347.172	337	-1.1948	0.0823	AAVSO
2449694.02	354	-1.1214	0.0907	AAVSO
2449796.13	359	-1.0047	0.0588	Berdnikov2008
2449816.606	361	-0.9267	0.02	Szabados2013 Arch.
2450041.099	371	-0.8175	0.0762	AAVSO
2450143.003	377	-0.9064	0.03	Szabados2013 Arch.
2450346.928	386	-0.9665	0.0341	Berdnikov2008
2450387.85	389	-0.8424	0.02	Szabados2013 Arch.
2450408.028	389	-1.063	0.0796	AAVSO
2450510.171	395	-0.9117	0.02	Szabados2013 Arch.
2450571.252	398	-1.0267	0.02	Szabados2013 Arch.
2450755.036	406	-0.8293	0.0757	AAVSO
2450877.369	412	-0.8881	0.0245	Berdnikov2008
2450897.863	414	-0.7919	0.02	Szabados2013 Arch.
2451122.142	424	-0.897	0.0366	AAVSO
2451244.435	430	-0.9949	0.0304	Berdnikov2008
2451264.954	432	-0.8748	0.02	Szabados2013 Arch.
2451469.107	441	-0.7073	0.0657	AAVSO
2451611.725	448	-0.8793	0.0449	Berdnikov2008
2451652.57	451	-0.8307	0.02	Szabados2013 Arch.
2451815.752	458	-0.8368	0.0603	AAVSO
2451938.09	465	-0.8905	0.03	Szabados2013 Arch.
2451958.55	465	-0.8289	0.0304	Berdnikov2008
2451958.574	466	-0.8045	0.02	Szabados2013 Arch.
2452182.943	476	-0.8199	0.0594	AAVSO
2452305.425	482	-0.7292	0.0169	Berdnikov2008
2452346.231	485	-0.7196	0.03	Szabados2013 Arch.
2452427.961	488	-0.5837	0.029	ASAS
2452652.195	500	-0.7341	0.03	Szabados2013 Arch.
2452652.215	500	-0.7137	0.03	Szabados2013 Arch.
2452652.231	499	-0.6976	0.0319	Berdnikov2008
2452753.968	504	-0.9534	0.0599	IOMC
2452774.67	505	-0.6502	0.0228	ASAS
2452937.686	513	-0.8221	0.0626	AAVSO
2452998.985	517	-0.7194	0.03	Szabados2013 Arch.
2452999.013	516	-0.6915	0.0372	Berdnikov2008
2452999.066	517	-0.6378	0.03	Szabados2013 Arch.
2453121.417	522	-0.6787	0.0302	ASAS
2453305.046	531	-0.636	0.0604	AAVSO
2453427.244	538	-0.8296	0.03	Szabados2013 Arch.
2453468.08	539	-0.7905	0.0358	ASAS
2453651.654	548	-0.8035	0.0534	AAVSO
2453753.692	554	-0.7581	0.03	Szabados2013 Arch.
2453814.861	556	-0.7843	0.0485	ASAS
2453998.382	565	-0.8505	0.0562	AAVSO
2454161.684	573	-0.7363	0.0308	ASAS
2454181.971	575	-0.8479	0.03	Szabados2013 Arch.
2454345.221	582	-0.7859	0.0618	AAVSO
2454508.333	590	-0.8627	0.0302	ASAS
2454508.378	591	-0.8173	0.03	Szabados2013 Arch.
2454691.822	599	-0.9606	0.1029	AAVSO
2454814.24	606	-0.9338	0.03	Szabados2013 Arch.
2454855.045	607	-0.9254	0.0721	ASAS
2455038.563	616	-0.9947	0.1008	AAVSO
2455120.162	621	-0.9892	0.03	Szabados2013 Arch.
2455385.622	633	-0.7101	0.0918	AAVSO
2455732.47	650	-0.6374	0.1029	AAVSO
2456079.192	667	-0.6908	0.08	AAVSO
2456425.825	684	-0.8327	0.0685	AAVSO
2456772.92	701	-0.5126	0.0852	AAVSO
2456915.497	708	-0.7254	0.0681	Gaia-dr2
2457119.577	718	-0.6305	0.0556	AAVSO
2457282.968	726	-0.4276	0.0513	Gaia-dr2
2457405.076	732	-0.711	0.0256	ASASSN-V
2457466.225	735	-0.7571	0.0579	AAVSO
2457752.049	749	-0.5128	0.0162	ASASSN-V
2457813.314	752	-0.4438	0.0807	AAVSO
2458098.908	766	-0.4289	0.0156	ASASSN-V
2458160.174	769	-0.3584	0.0677	AAVSO
2458262.074	774	-0.4511	0.0119	ASASSN-g
2458608.962	791	-0.3382	0.01	ASASSN-g
2458976.286	809	-0.1882	0.0361	ASASSN-g
