HJD	Epoch	O-C	O-Cerr	Source
2411939.153	-6217	0.6454	0.0264	AAVSO
2412335.303	-6149	0.6414	0.0243	AAVSO
2412743.028	-6079	0.5596	0.0306	AAVSO
2412981.739	-6038	0.4133	0.1203	Harvard
2413162.527	-6007	0.6007	0.0159	AAVSO
2413564.417	-5938	0.5107	0.0163	AAVSO
2414496.537	-5778	0.5024	0.0144	AAVSO
2414985.834	-5694	0.432	0.109	AAVSO
2415387.977	-5625	0.5949	0.0189	AAVSO
2415498.392	-5606	0.3199	0.1018	Harvard
2415912.215	-5535	0.5107	0.0302	Harvard
2416081.101	-5506	0.4493	0.0398	AAVSO
2416308.224	-5467	0.3659	0.072	Harvard
2416500.667	-5434	0.5571	0.0243	AAVSO
2416821.025	-5379	0.496	0.0719	Harvard
2416920.095	-5362	0.5271	0.0244	AAVSO
2417234.861	-5308	0.7003	0.0569	Harvard
2417648.091	-5237	0.2983	0.1295	Harvard
2417665.841	-5234	0.5706	0.0139	AAVSO
2418044.332	-5169	0.3852	0.0452	Harvard
2418201.797	-5142	0.5538	0.0362	AAVSO
2418440.534	-5101	0.4321	0.0491	Harvard
2418696.99	-5057	0.5533	0.0156	AAVSO
2419832.987	-4862	0.5195	0.0513	AAVSO
2419902.726	-4850	0.3483	0.0938	Harvard
2420298.934	-4782	0.4014	0.0462	Harvard
2420543.749	-4740	0.533	0.0267	AAVSO
2420695.288	-4714	0.6019	0.1219	Harvard
2420951.572	-4670	0.5505	0.0301	AAVSO
2421091.273	-4646	0.4325	0.0558	Harvard
2421347.756	-4602	0.5795	0.0281	AAVSO
2421668.286	-4547	0.6911	0.1378	Harvard
2422070.083	-4478	0.5078	0.0634	Harvard
2422466.158	-4410	0.4278	0.1567	Harvard
2422868.31	-4341	0.5997	0.0784	Harvard
2423917.137	-4161	0.7822	0.205	Harvard
2425245.324	-3933	0.6865	0.3635	Harvard
2426031.513	-3798	0.3928	0.1195	Harvard
2426829.941	-3661	0.6865	0.0615	Harvard
2427895.81	-3478	0.4336	0.0566	Harvard
2429136.745	-3265	0.4729	0.0914	Harvard
2429608.537	-3184	0.3745	0.0945	Harvard
2430004.713	-3116	0.3966	0.1063	Harvard
2430401.174	-3048	0.703	0.1265	Harvard
2430797.137	-2980	0.5119	0.087	Harvard
2431193.645	-2912	0.8655	0.2176	Harvard
2431601.118	-2842	0.5319	0.0858	Harvard
2432003.151	-2773	0.5844	0.1418	Harvard
2432410.992	-2703	0.6197	0.1134	Harvard
2432865.495	-2625	0.7098	0.1937	Harvard
2433820.687	-2461	0.4712	0.147	Harvard
2434519.739	-2341	0.4272	0.0773	AAVSO
2434822.69	-2289	0.4365	0.0509	Mitchell1964
2434915.909	-2273	0.4418	0.045	AAVSO
2435166.319	-2230	0.3432	0.0632	Irwin1961
2440263.88	-1355	0.328	0.0943	Stobie1970
2440659.914	-1287	0.2071	0.0156	Pel1976
2441801.778	-1091	0.2148	0.0433	Dean1977
2444417.404	-642	0.0554	0.0227	Berdnikov2008
2445088.04	-527	-0.0017	0.02	Walker1991 Arch.
2445483.518	-459	0.0478	0.1002	Harvard
2445490.023	-458	0.0011	0.02	Walker1991 Arch.
2445833.756	-399	0.0118	0.02	Walker1991 Arch.
2446537.924	-278	-0.016	0.3215	Harvard
2447866.204	-50	-0.018	0.0127	Hipp
2448035.974	-21	0.077	0.1	Walker1991 Arch.
2448262.362	18	-0.0151	0.0077	Hipp
2448658.521	86	-0.0104	0.0086	Hipp
2450540.269	409	0.0039	0.0019	Berdnikov2008
2451245.203	530	0.0157	0.0031	Berdnikov2008
2451647.177	599	0.0098	0.0035	Berdnikov2008
2452317.151	714	0.0164	0.0035	Berdnikov2008
2452439.494	735	0.018	0.0225	ASAS
2452835.625	803	-0.0053	0.0067	ASAS
2452981.285	828	0.0092	0.0025	Berdnikov2008
2453354.128	892	0.0012	0.0066	ASAS
2453750.279	960	-0.002	0.0048	ASAS
2454146.449	1028	0.0128	0.0037	ASAS
2454542.588	1096	-0.0024	0.0041	ASAS
2454938.761	1164	0.0158	0.0068	ASAS
2457426.416	1591	0.0543	0.0084	ASASSN-V
2457822.523	1659	0.0071	0.0079	ASASSN-V
2458171.934	1719	-0.0368	0.0177	ASASSN-g
2458218.698	1727	0.0271	0.0153	ASASSN-V
2458568.157	1787	0.0321	0.0077	ASASSN-g
