HJD	Epoch	O-C	O-Cerr	Source
2411855.99	-8551	-0.0525	0.0605	AAVSO
2412205.259	-8448	0.1195	0.0503	AAVSO
2412554.342	-8345	0.1068	0.0299	AAVSO
2412903.33	-8242	-0.0013	0.0197	AAVSO
2413252.506	-8139	0.0779	0.0185	AAVSO
2413601.597	-8036	0.0729	0.0175	AAVSO
2414496.328	-7772	0.0332	0.0121	AAVSO
2414991.147	-7626	0.0166	0.0818	AAVSO
2415394.446	-7507	-0.0094	0.0179	AAVSO
2416116.35	-7294	-0.0232	0.0563	AAVSO
2416258.771	-7251	0.0481	0.05	Szabados1989 Arch.
2416502.789	-7180	0.0381	0.0317	AAVSO
2416933.27	-7053	0.0799	0.0256	AAVSO
2417668.681	-6836	0.0159	0.0203	AAVSO
2418119.49	-6702	0.0502	0.05	Szabados1989 Arch.
2420278.371	-6065	-0.0427	0.05	Szabados1989 Arch.
2421647.717	-5661	0.0326	0.05	Szabados1989 Arch.
2423809.96	-5023	-0.0876	0.05	Szabados1989 Arch.
2425728.422	-4457	0.0397	0.05	Szabados1989 Arch.
2434560.771	-1852	-0.0856	0.0153	Mitchell1964
2434560.952	-1852	0.0957	0.043	AAVSO
2434920.146	-1746	0.0253	0.0136	Mitchell1964
2434920.185	-1745	0.0644	0.05	Szabados1989 Arch.
2434920.203	-1746	0.0826	0.0141	AAVSO
2435201.496	-1662	0.0649	0.02	Szabados1989 Arch.
2437320.016	-1037	0.2824	0.0921	AAVSO
2440339.608	-146	0.0223	0.05	Szabados1989 Arch.
2440678.577	-47	0.0626	0.0149	Pel1976
2440770.068	-19	0.0433	0.02	Szabados1989 Arch.
2441732.756	264	0.1744	0.1066	AAVSO
2442410.493	464	0.0548	0.02	Szabados1989 Arch.
2443234.059	707	0.0248	0.02	Szabados1989 Arch.
2444393.212	1048	0.0432	0.0026	Gieren1981
2444416.927	1056	0.0327	0.02	Szabados1989 Arch.
2444420.301	1056	0.0171	0.0417	Eggen1985
2444420.35	1056	0.0668	0.0414	Berdnikov2008
2444681.284	1134	0.0255	0.02	Szabados1989 Arch.
2445057.299	1244	-0.1703	0.0165	Eggen1985
2447873.949	2075	-0.0151	0.0112	Hipp
2448263.744	2190	0.0123	0.0029	Hipp
2448612.847	2293	0.0194	0.0019	Hipp
2448992.468	2405	0.0404	0.0077	Hipp
2449107.676	2439	0.0131	0.0156	AAVSO
2450351.535	2806	0.0043	0.002	Berdnikov2008
2450697.325	2908	0.0878	0.0926	AAVSO
2450890.42	2965	-0.0072	0.002	Berdnikov2008
2451246.287	3070	-0.0142	0.0025	Berdnikov2008
2451354.831	3102	0.0719	0.0544	AAVSO
2451622.497	3181	-0.0147	0.0026	Berdnikov2008
2451951.415	3279	0.142	0.0664	ASAS
2452324.069	3388	-0.0253	0.0026	Berdnikov2008
2452439.306	3422	-0.0232	0.0109	ASAS
2452788.391	3525	-0.0346	0.0086	ASAS
2452917.097	3563	-0.1213	0.0827	AAVSO
2452995.124	3586	-0.0486	0.0024	Berdnikov2008
2453140.873	3629	-0.0387	0.0034	ASAS
2453489.962	3732	-0.0456	0.0024	ASAS
2453503.57	3736	0.0053	0.1667	AAVSO
2453839.049	3835	-0.0551	0.0034	ASAS
2453856.151	3840	0.101	0.0969	AAVSO
2454188.16	3938	-0.0404	0.0044	ASAS
2454205.193	3943	0.0464	0.0264	AAVSO
2454537.24	4041	-0.0568	0.0026	ASAS
2454886.337	4144	-0.0558	0.0029	ASAS
2455469.323	4316	-0.0269	0.0778	AAVSO
2457462.176	4904	-0.0722	0.007	ASASSN-V
2457811.248	5007	-0.0963	0.0069	ASASSN-V
2458160.362	5110	-0.079	0.0052	ASASSN-V
2458302.686	5152	-0.1052	0.0116	ASASSN-g
