HJD	Epoch	O-C	O-Cerr	Source
2431576.037	-1086	-6.0869	0.086	Madore1975
2435161.482	-796	-3.5205	0.1659	Irwin1961
2435161.765	-796	-3.2372	0.1933	AAVSO
2443528.724	-119	-0.4452	0.1135	AAVSO
2443899.532	-89	-0.2802	0.0652	Coulson1985
2444220.809	-63	-0.2263	0.1252	AAVSO
2444245.512	-61	-0.233	0.1124	Coulson1985
2444641.023	-29	-0.074	0.0448	Coulson1985
2445283.37	22	-0.1738	0.1216	AAVSO
2445654.313	53	0.1259	0.1004	Berdnikov2008
2445703.77	57	0.1647	0.1269	AAVSO
2447853.876	231	0.5439	0.8208	AAVSO
2447903.349	235	0.5977	0.0277	Hipp
2448249.177	263	0.4922	0.0401	Hipp
2448595.452	291	0.8345	0.0209	Hipp
2450806.829	470	0.7106	0.0514	Berdnikov2008
2451856.957	555	0.6852	0.0181	ASAS
2452202.837	583	0.6319	0.0255	ASAS
2452548.834	611	0.6957	0.0229	ASAS
2452610.585	616	0.673	0.0285	Berdnikov2008
2452894.782	639	0.7106	0.0284	ASAS
2452981.286	646	0.7318	0.0395	Berdnikov2008
2454525.532	771	0.6332	0.0992	AAVSO
2455513.796	851	0.5173	0.2213	KWS
2455884.252	881	0.3304	0.1701	KWS
2456230.376	909	0.5214	0.035	KWS
2456576.143	937	0.3553	0.0256	KWS
2456637.994	942	0.4325	0.0382	Berdnikov2015
2456934.463	966	0.3876	0.0325	KWS
2457304.901	996	0.1829	0.0253	KWS
2457416.156	1005	0.2458	0.0108	ASASSN-V
2457663.174	1025	0.1683	0.0253	KWS
2457762.036	1033	0.1925	0.0101	ASASSN-V
2457786.457	1034	-0.0965	0.7472	AAVSO
2458046.057	1056	0.0545	0.0286	KWS
2458107.923	1061	0.146	0.0118	ASASSN-V
